"model","predictor","n","n_zeros","n_evec","slope","slope_se","statistic","p.value","r.squared","cor_with_distance","rmse","rmse_loocv"
"A_geography","geodist_H1_span (per 100 km)",65,0,0,-0.0164260761732334,0.00803838436366015,-2.04345493200005,0.0451946691083244,0.0621609831851813,-0.249321044408974,0.21659754416964,0.222733133117934
"B_ancestry_given_geography","phylo eigenvectors, migration distance scrubbed",65,0,2,NA,NA,17.9582447300883,7.36937900258787e-07,0.347555770441032,-0.240915159122921,0.180659613620386,0.190161914689475
