"model","r.squared","adj.r.squared","aic","n","term","estimate","std.error","statistic","p.value"
"OLS (unweighted)",0.0265486260099464,0.00221234166019513,-0.451308860012529,42,"(Intercept)",0.279589075534581,0.0607434908888507,4.60278247830993,4.15850268756035e-05
"OLS (unweighted)",0.0265486260099464,0.00221234166019513,-0.451308860012529,42,"dist",-0.000130937591992597,0.000125363312916061,-1.04446499495645,0.302541552608823
"WLS (inverse variance)",0.0210163345255447,-0.00345825711131664,52.1641632098501,42,"(Intercept)",0.195556644117397,0.0441732594248485,4.42703677889325,7.19586494337628e-05
"WLS (inverse variance)",0.0210163345255447,-0.00345825711131664,52.1641632098501,42,"dist",-9.80663298879194e-05,0.000105827652603618,-0.926660730680963,0.359660400844265
