tip,ruhlen_language,iso6393,glottocode,inventory_size
Roviana,Roviana,rug,rovi1238,23
Rukai,Rukai,dru,ruka1240,22
Saa,Saa,apb,saaa1240,20
Saaroa,Saaroa,sxr,saar1237,18
SaipanCarolinian,Carolinian,cal,caro1242,27
Saisiat,Saisiyat,xsy,sais1237,23
SakaoPortOlry,Sakao,sku,saka1289,30
Samoan,Samoan,smo,samo1305,17
SangilSaraganiIslands,Sangil,snl,sang1337,25
SaranganiBlaan,Sarangani Bilaan,bps,sara1326,23
Savu,Savu,hvn,sabu1255,27
Sediq,Sedeq,trv,taro1264,22
Seimat,Seimat,ssg,seim1238,17
Sika,Sikka,ski,sika1262,28
Simbo,Simbo,sbb,simb1256,23
Sisingga,Babatana,baa,baba1268,24
SouthEfate,South Efate,erk,sout2856,17
SquliqAtayal,Atayal,tay,atay1247,25
Suau,Suau,swp,suau1242,20
SubanonSiocon,Siocon Subanon,suc,west2557,20
SubanunSindangan,Sindangan,syb,cent2089,22
Sunda,Sundanese,sun,sund1252,27
SyeErromangan,Sie,erg,siee1239,24
TaeSToraja,Sadan,sda,tora1261,21
Tagalog,Tagalog,tgl,taga1270,20
TagbanwaKalamianCoronIsland_D,Kalamianen,tbk,cala1258,21
TahitianModern,Tahitian,tah,tahi1242,15
TausugJolo_D,Tausug,tsg,taus1251,21
TboliTagabili,Tboli,tbl,tbol1240,22
Teop,Teop,tio,teop1238,17
Thao,Thao,ssf,thao1240,24
Tigak,Tigak,tgc,tiga1245,18
Tikopia,Tikopia,tkp,tiko1237,15
TimugonMurut,Timugon,tih,timu1262,18
Toambaita,Toabaita,mlu,toab1237,20
TobaBatak,Toba Batak,bbc,bata1289,24
Tolo,Talise,tlr,tali1259,20
Tongan,Tongan,ton,tong1325,18
Tontemboan,Tontemboan,tnt,tont1239,20
Tsou,Tsou,tsu,tsou1248,21
Tuamotu,Paumotu,pmt,tuam1242,16
Tuvalu,Tuvalu,tvl,tuva1244,19
UveaEast,East Uvea,wls,wall1257,20
UveaWest,West Uvea,uve,west2516,18
VaeakauTaumako,Pileni,piv,pile1238,25
Vano,Vano,vnk,vano1237,24
WBukidnonManobo,Western Bukidnon,mbb,west2555,23
Wolio,Wolio,wlo,woli1241,24
Yakan,Yakan,yka,yaka1277,22
