phoneme,n_languages,n_total,freq,IDF
phoneme_001,0,241,0,5.488937726156687
phoneme_002,0,241,0,5.488937726156687
phoneme_003,0,241,0,5.488937726156687
phoneme_004,0,241,0,5.488937726156687
phoneme_005,0,241,0,5.488937726156687
phoneme_006,0,241,0,5.488937726156687
phoneme_007,0,241,0,5.488937726156687
phoneme_008,0,241,0,5.488937726156687
phoneme_009,0,241,0,5.488937726156687
phoneme_010,0,241,0,5.488937726156687
phoneme_011,0,241,0,5.488937726156687
phoneme_012,36,241,0.14937759336099585,1.878019813512462
phoneme_013,0,241,0,5.488937726156687
phoneme_014,0,241,0,5.488937726156687
phoneme_015,0,241,0,5.488937726156687
phoneme_016,0,241,0,5.488937726156687
phoneme_017,0,241,0,5.488937726156687
phoneme_018,0,241,0,5.488937726156687
phoneme_019,0,241,0,5.488937726156687
phoneme_020,1,241,0.004149377593360996,4.795790545596741
phoneme_021,0,241,0,5.488937726156687
phoneme_022,0,241,0,5.488937726156687
phoneme_023,0,241,0,5.488937726156687
phoneme_024,0,241,0,5.488937726156687
phoneme_025,0,241,0,5.488937726156687
phoneme_026,0,241,0,5.488937726156687
phoneme_027,0,241,0,5.488937726156687
phoneme_028,0,241,0,5.488937726156687
phoneme_029,1,241,0.004149377593360996,4.795790545596741
phoneme_030,0,241,0,5.488937726156687
phoneme_031,3,241,0.012448132780082987,4.102643365036796
phoneme_032,0,241,0,5.488937726156687
phoneme_033,0,241,0,5.488937726156687
phoneme_034,0,241,0,5.488937726156687
phoneme_035,0,241,0,5.488937726156687
phoneme_036,0,241,0,5.488937726156687
phoneme_037,0,241,0,5.488937726156687
phoneme_038,48,241,0.1991701244813278,1.5971174280460598
phoneme_039,0,241,0,5.488937726156687
phoneme_040,0,241,0,5.488937726156687
phoneme_041,0,241,0,5.488937726156687
phoneme_042,0,241,0,5.488937726156687
phoneme_043,0,241,0,5.488937726156687
phoneme_044,0,241,0,5.488937726156687
phoneme_045,0,241,0,5.488937726156687
phoneme_046,0,241,0,5.488937726156687
phoneme_047,0,241,0,5.488937726156687
phoneme_048,0,241,0,5.488937726156687
phoneme_049,0,241,0,5.488937726156687
phoneme_050,0,241,0,5.488937726156687
phoneme_051,0,241,0,5.488937726156687
phoneme_052,0,241,0,5.488937726156687
phoneme_053,0,241,0,5.488937726156687
phoneme_054,0,241,0,5.488937726156687
phoneme_055,0,241,0,5.488937726156687
phoneme_056,0,241,0,5.488937726156687
phoneme_057,0,241,0,5.488937726156687
phoneme_058,0,241,0,5.488937726156687
phoneme_059,0,241,0,5.488937726156687
phoneme_060,0,241,0,5.488937726156687
phoneme_061,0,241,0,5.488937726156687
phoneme_062,0,241,0,5.488937726156687
phoneme_063,0,241,0,5.488937726156687
phoneme_064,0,241,0,5.488937726156687
phoneme_065,0,241,0,5.488937726156687
phoneme_066,0,241,0,5.488937726156687
phoneme_067,0,241,0,5.488937726156687
phoneme_068,0,241,0,5.488937726156687
phoneme_069,3,241,0.012448132780082987,4.102643365036796
phoneme_070,0,241,0,5.488937726156687
phoneme_071,0,241,0,5.488937726156687
phoneme_072,8,241,0.03319502074688797,3.291713148820467
phoneme_073,0,241,0,5.488937726156687
phoneme_074,0,241,0,5.488937726156687
phoneme_075,0,241,0,5.488937726156687
phoneme_076,0,241,0,5.488937726156687
phoneme_077,0,241,0,5.488937726156687
phoneme_078,0,241,0,5.488937726156687
phoneme_079,0,241,0,5.488937726156687
phoneme_080,0,241,0,5.488937726156687
phoneme_081,0,241,0,5.488937726156687
phoneme_082,0,241,0,5.488937726156687
phoneme_083,0,241,0,5.488937726156687
phoneme_084,0,241,0,5.488937726156687
phoneme_085,0,241,0,5.488937726156687
phoneme_086,2,241,0.008298755186721992,4.390325437488577
phoneme_087,0,241,0,5.488937726156687
phoneme_088,0,241,0,5.488937726156687
phoneme_089,19,241,0.07883817427385892,2.4932054526026954
phoneme_090,0,241,0,5.488937726156687
phoneme_091,0,241,0,5.488937726156687
phoneme_092,0,241,0,5.488937726156687
phoneme_093,0,241,0,5.488937726156687
phoneme_094,0,241,0,5.488937726156687
phoneme_095,0,241,0,5.488937726156687
phoneme_096,0,241,0,5.488937726156687
phoneme_097,0,241,0,5.488937726156687
phoneme_098,0,241,0,5.488937726156687
phoneme_099,0,241,0,5.488937726156687
phoneme_100,0,241,0,5.488937726156687
phoneme_101,0,241,0,5.488937726156687
phoneme_102,0,241,0,5.488937726156687
phoneme_103,0,241,0,5.488937726156687
phoneme_104,0,241,0,5.488937726156687
phoneme_105,0,241,0,5.488937726156687
phoneme_106,1,241,0.004149377593360996,4.795790545596741
phoneme_107,0,241,0,5.488937726156687
phoneme_108,0,241,0,5.488937726156687
phoneme_109,0,241,0,5.488937726156687
phoneme_110,0,241,0,5.488937726156687
phoneme_111,0,241,0,5.488937726156687
phoneme_112,0,241,0,5.488937726156687
phoneme_113,0,241,0,5.488937726156687
phoneme_114,0,241,0,5.488937726156687
phoneme_115,0,241,0,5.488937726156687
phoneme_116,0,241,0,5.488937726156687
phoneme_117,0,241,0,5.488937726156687
phoneme_118,0,241,0,5.488937726156687
phoneme_119,1,241,0.004149377593360996,4.795790545596741
phoneme_120,1,241,0.004149377593360996,4.795790545596741
phoneme_121,194,241,0.8049792531120332,0.21593816759293963
phoneme_122,0,241,0,5.488937726156687
phoneme_123,224,241,0.9294605809128631,0.0728373239522663
phoneme_124,0,241,0,5.488937726156687
phoneme_125,8,241,0.03319502074688797,3.291713148820467
phoneme_126,0,241,0,5.488937726156687
phoneme_127,0,241,0,5.488937726156687
phoneme_128,62,241,0.2572614107883817,1.3458029997651537
phoneme_129,0,241,0,5.488937726156687
phoneme_130,4,241,0.016597510373443983,3.879499813722586
phoneme_131,0,241,0,5.488937726156687
phoneme_132,0,241,0,5.488937726156687
phoneme_133,0,241,0,5.488937726156687
phoneme_134,12,241,0.04979253112033195,2.9239883686951496
phoneme_135,0,241,0,5.488937726156687
phoneme_136,8,241,0.03319502074688797,3.291713148820467
phoneme_137,0,241,0,5.488937726156687
phoneme_138,0,241,0,5.488937726156687
phoneme_139,59,241,0.24481327800829875,1.3945931639345857
phoneme_140,0,241,0,5.488937726156687
phoneme_141,35,241,0.14522821576763487,1.9054187877005764
phoneme_142,0,241,0,5.488937726156687
phoneme_143,1,241,0.004149377593360996,4.795790545596741
phoneme_144,0,241,0,5.488937726156687
phoneme_145,228,241,0.946058091286307,0.05521572260244677
phoneme_146,0,241,0,5.488937726156687
phoneme_147,0,241,0,5.488937726156687
phoneme_148,0,241,0,5.488937726156687
phoneme_149,0,241,0,5.488937726156687
phoneme_150,0,241,0,5.488937726156687
phoneme_151,0,241,0,5.488937726156687
phoneme_152,0,241,0,5.488937726156687
phoneme_153,0,241,0,5.488937726156687
phoneme_154,0,241,0,5.488937726156687
phoneme_155,0,241,0,5.488937726156687
phoneme_156,0,241,0,5.488937726156687
phoneme_157,0,241,0,5.488937726156687
phoneme_158,0,241,0,5.488937726156687
phoneme_159,0,241,0,5.488937726156687
phoneme_160,0,241,0,5.488937726156687
phoneme_161,0,241,0,5.488937726156687
phoneme_162,0,241,0,5.488937726156687
phoneme_163,0,241,0,5.488937726156687
phoneme_164,0,241,0,5.488937726156687
phoneme_165,0,241,0,5.488937726156687
phoneme_166,0,241,0,5.488937726156687
phoneme_167,0,241,0,5.488937726156687
phoneme_168,0,241,0,5.488937726156687
phoneme_169,0,241,0,5.488937726156687
phoneme_170,0,241,0,5.488937726156687
phoneme_171,0,241,0,5.488937726156687
phoneme_172,0,241,0,5.488937726156687
phoneme_173,0,241,0,5.488937726156687
phoneme_174,0,241,0,5.488937726156687
phoneme_175,0,241,0,5.488937726156687
phoneme_176,0,241,0,5.488937726156687
phoneme_177,0,241,0,5.488937726156687
phoneme_178,0,241,0,5.488937726156687
phoneme_179,0,241,0,5.488937726156687
phoneme_180,0,241,0,5.488937726156687
phoneme_181,0,241,0,5.488937726156687
phoneme_182,0,241,0,5.488937726156687
phoneme_183,0,241,0,5.488937726156687
phoneme_184,0,241,0,5.488937726156687
phoneme_185,0,241,0,5.488937726156687
phoneme_186,0,241,0,5.488937726156687
phoneme_187,0,241,0,5.488937726156687
phoneme_188,0,241,0,5.488937726156687
phoneme_189,0,241,0,5.488937726156687
phoneme_190,0,241,0,5.488937726156687
phoneme_191,0,241,0,5.488937726156687
phoneme_192,0,241,0,5.488937726156687
phoneme_193,0,241,0,5.488937726156687
phoneme_194,0,241,0,5.488937726156687
phoneme_195,0,241,0,5.488937726156687
phoneme_196,0,241,0,5.488937726156687
phoneme_197,0,241,0,5.488937726156687
phoneme_198,0,241,0,5.488937726156687
phoneme_199,0,241,0,5.488937726156687
phoneme_200,0,241,0,5.488937726156687
phoneme_201,0,241,0,5.488937726156687
phoneme_202,0,241,0,5.488937726156687
phoneme_203,0,241,0,5.488937726156687
phoneme_204,0,241,0,5.488937726156687
phoneme_205,0,241,0,5.488937726156687
phoneme_206,0,241,0,5.488937726156687
phoneme_207,0,241,0,5.488937726156687
phoneme_208,0,241,0,5.488937726156687
phoneme_209,0,241,0,5.488937726156687
phoneme_210,0,241,0,5.488937726156687
phoneme_211,0,241,0,5.488937726156687
phoneme_212,0,241,0,5.488937726156687
phoneme_213,0,241,0,5.488937726156687
phoneme_214,0,241,0,5.488937726156687
phoneme_215,0,241,0,5.488937726156687
phoneme_216,0,241,0,5.488937726156687
phoneme_217,0,241,0,5.488937726156687
phoneme_218,0,241,0,5.488937726156687
phoneme_219,0,241,0,5.488937726156687
phoneme_220,0,241,0,5.488937726156687
phoneme_221,0,241,0,5.488937726156687
phoneme_222,0,241,0,5.488937726156687
phoneme_223,0,241,0,5.488937726156687
phoneme_224,0,241,0,5.488937726156687
phoneme_225,0,241,0,5.488937726156687
phoneme_226,0,241,0,5.488937726156687
phoneme_227,0,241,0,5.488937726156687
phoneme_228,0,241,0,5.488937726156687
phoneme_229,0,241,0,5.488937726156687
phoneme_230,0,241,0,5.488937726156687
phoneme_231,0,241,0,5.488937726156687
phoneme_232,0,241,0,5.488937726156687
phoneme_233,0,241,0,5.488937726156687
phoneme_234,0,241,0,5.488937726156687
phoneme_235,0,241,0,5.488937726156687
phoneme_236,0,241,0,5.488937726156687
phoneme_237,0,241,0,5.488937726156687
phoneme_238,0,241,0,5.488937726156687
phoneme_239,0,241,0,5.488937726156687
phoneme_240,0,241,0,5.488937726156687
phoneme_241,0,241,0,5.488937726156687
phoneme_242,0,241,0,5.488937726156687
phoneme_243,0,241,0,5.488937726156687
phoneme_244,0,241,0,5.488937726156687
phoneme_245,0,241,0,5.488937726156687
phoneme_246,0,241,0,5.488937726156687
phoneme_247,0,241,0,5.488937726156687
phoneme_248,0,241,0,5.488937726156687
phoneme_249,0,241,0,5.488937726156687
phoneme_250,0,241,0,5.488937726156687
phoneme_251,0,241,0,5.488937726156687
phoneme_252,0,241,0,5.488937726156687
phoneme_253,0,241,0,5.488937726156687
phoneme_254,0,241,0,5.488937726156687
phoneme_255,0,241,0,5.488937726156687
phoneme_256,0,241,0,5.488937726156687
phoneme_257,0,241,0,5.488937726156687
phoneme_258,0,241,0,5.488937726156687
phoneme_259,0,241,0,5.488937726156687
phoneme_260,0,241,0,5.488937726156687
phoneme_261,0,241,0,5.488937726156687
phoneme_262,0,241,0,5.488937726156687
phoneme_263,0,241,0,5.488937726156687
phoneme_264,0,241,0,5.488937726156687
phoneme_265,0,241,0,5.488937726156687
phoneme_266,0,241,0,5.488937726156687
phoneme_267,0,241,0,5.488937726156687
phoneme_268,0,241,0,5.488937726156687
phoneme_269,0,241,0,5.488937726156687
phoneme_270,0,241,0,5.488937726156687
phoneme_271,0,241,0,5.488937726156687
phoneme_272,0,241,0,5.488937726156687
phoneme_273,0,241,0,5.488937726156687
phoneme_274,0,241,0,5.488937726156687
phoneme_275,0,241,0,5.488937726156687
phoneme_276,0,241,0,5.488937726156687
phoneme_277,0,241,0,5.488937726156687
phoneme_278,0,241,0,5.488937726156687
phoneme_279,0,241,0,5.488937726156687
phoneme_280,0,241,0,5.488937726156687
phoneme_281,0,241,0,5.488937726156687
phoneme_282,0,241,0,5.488937726156687
phoneme_283,0,241,0,5.488937726156687
phoneme_284,18,241,0.07468879668049792,2.544498746990246
phoneme_285,0,241,0,5.488937726156687
phoneme_286,0,241,0,5.488937726156687
phoneme_287,0,241,0,5.488937726156687
phoneme_288,0,241,0,5.488937726156687
phoneme_289,0,241,0,5.488937726156687
