phoneme,n_languages,freq,IDF
phoneme_001,1,5.64334085778781e-4,7.4798641311650265
phoneme_002,3,0.001693002257336343,6.3812518424969165
phoneme_003,13,0.007336343115124154,4.914914773703489
phoneme_005,1,5.64334085778781e-4,7.4798641311650265
phoneme_007,1,5.64334085778781e-4,7.4798641311650265
phoneme_009,3,0.001693002257336343,6.3812518424969165
phoneme_010,1,5.64334085778781e-4,7.4798641311650265
phoneme_012,501,0.2827313769751693,1.2632580300801615
phoneme_015,2,0.001128668171557562,6.786716950605081
phoneme_016,1,5.64334085778781e-4,7.4798641311650265
phoneme_018,1,5.64334085778781e-4,7.4798641311650265
phoneme_020,17,0.009593679458239277,4.64665078710881
phoneme_021,2,0.001128668171557562,6.786716950605081
phoneme_022,5,0.0028216704288939053,5.870426218730926
phoneme_023,6,0.003386004514672686,5.688104661936971
phoneme_024,1,5.64334085778781e-4,7.4798641311650265
phoneme_025,1,5.64334085778781e-4,7.4798641311650265
phoneme_026,2,0.001128668171557562,6.786716950605081
phoneme_029,27,0.015237020316027089,4.184027265160697
phoneme_031,117,0.06602708803611738,2.71769019636727
phoneme_033,3,0.001693002257336343,6.3812518424969165
phoneme_034,4,0.002257336343115124,6.093569770045136
phoneme_035,2,0.001128668171557562,6.786716950605081
phoneme_036,1,5.64334085778781e-4,7.4798641311650265
phoneme_037,15,0.008465011286681716,4.771813930062816
phoneme_038,790,0.445823927765237,0.8078311857039591
phoneme_039,1,5.64334085778781e-4,7.4798641311650265
phoneme_040,1,5.64334085778781e-4,7.4798641311650265
phoneme_041,3,0.001693002257336343,6.3812518424969165
phoneme_042,15,0.008465011286681716,4.771813930062816
phoneme_043,15,0.008465011286681716,4.771813930062816
phoneme_044,1,5.64334085778781e-4,7.4798641311650265
phoneme_045,1,5.64334085778781e-4,7.4798641311650265
phoneme_046,1,5.64334085778781e-4,7.4798641311650265
phoneme_047,1,5.64334085778781e-4,7.4798641311650265
phoneme_048,1,5.64334085778781e-4,7.4798641311650265
phoneme_049,1,5.64334085778781e-4,7.4798641311650265
phoneme_050,2,0.001128668171557562,6.786716950605081
phoneme_051,74,0.0417607223476298,3.1757990379608563
phoneme_052,20,0.011286681715575621,4.484131857611035
phoneme_053,66,0.03724604966139955,3.290209389138601
phoneme_055,3,0.001693002257336343,6.3812518424969165
phoneme_056,1,5.64334085778781e-4,7.4798641311650265
phoneme_058,2,0.001128668171557562,6.786716950605081
phoneme_059,2,0.001128668171557562,6.786716950605081
phoneme_060,5,0.0028216704288939053,5.870426218730926
phoneme_061,2,0.001128668171557562,6.786716950605081
phoneme_063,2,0.001128668171557562,6.786716950605081
phoneme_064,2,0.001128668171557562,6.786716950605081
phoneme_065,3,0.001693002257336343,6.3812518424969165
phoneme_066,1,5.64334085778781e-4,7.4798641311650265
phoneme_067,2,0.001128668171557562,6.786716950605081
phoneme_068,1,5.64334085778781e-4,7.4798641311650265
phoneme_069,183,0.10327313769751693,2.270377978323605
phoneme_070,1,5.64334085778781e-4,7.4798641311650265
phoneme_072,35,0.019751693002257337,3.9245160696756125
phoneme_073,2,0.001128668171557562,6.786716950605081
phoneme_074,5,0.0028216704288939053,5.870426218730926
phoneme_075,4,0.002257336343115124,6.093569770045136
phoneme_076,1,5.64334085778781e-4,7.4798641311650265
phoneme_077,170,0.09593679458239278,2.3440656941147644
phoneme_078,2,0.001128668171557562,6.786716950605081
phoneme_079,2,0.001128668171557562,6.786716950605081
phoneme_080,2,0.001128668171557562,6.786716950605081
phoneme_081,52,0.029345372460496615,3.528620412583599
phoneme_082,3,0.001693002257336343,6.3812518424969165
phoneme_085,169,0.09537246049661399,2.349965416241953
phoneme_086,10,0.0056433408577878106,5.177279038170981
phoneme_087,1,5.64334085778781e-4,7.4798641311650265
phoneme_088,1,5.64334085778781e-4,7.4798641311650265
phoneme_089,449,0.2533860045146727,1.372841243422772
phoneme_090,13,0.007336343115124154,4.914914773703489
phoneme_091,1,5.64334085778781e-4,7.4798641311650265
phoneme_093,2,0.001128668171557562,6.786716950605081
phoneme_094,2,0.001128668171557562,6.786716950605081
phoneme_095,13,0.007336343115124154,4.914914773703489
phoneme_096,1,5.64334085778781e-4,7.4798641311650265
phoneme_097,1,5.64334085778781e-4,7.4798641311650265
phoneme_098,5,0.0028216704288939053,5.870426218730926
phoneme_099,1,5.64334085778781e-4,7.4798641311650265
phoneme_102,3,0.001693002257336343,6.3812518424969165
phoneme_104,15,0.008465011286681716,4.771813930062816
phoneme_105,1,5.64334085778781e-4,7.4798641311650265
phoneme_106,6,0.003386004514672686,5.688104661936971
phoneme_107,1,5.64334085778781e-4,7.4798641311650265
phoneme_109,1,5.64334085778781e-4,7.4798641311650265
phoneme_110,11,0.006207674943566591,5.081968858366656
phoneme_111,20,0.011286681715575621,4.484131857611035
phoneme_112,2,0.001128668171557562,6.786716950605081
phoneme_113,1,5.64334085778781e-4,7.4798641311650265
phoneme_114,10,0.0056433408577878106,5.177279038170981
phoneme_115,2,0.001128668171557562,6.786716950605081
phoneme_116,1,5.64334085778781e-4,7.4798641311650265
phoneme_118,3,0.001693002257336343,6.3812518424969165
phoneme_119,90,0.050790067720090294,2.9800544608347614
phoneme_120,10,0.0056433408577878106,5.177279038170981
phoneme_121,1307,0.7375846501128668,0.30437441754080435
phoneme_122,32,0.01805869074492099,4.0141282283652995
phoneme_123,1528,0.8623024830699775,0.14814916143856038
phoneme_124,2,0.001128668171557562,6.786716950605081
phoneme_125,33,0.018623024830699775,3.983356569698546
phoneme_126,2,0.001128668171557562,6.786716950605081
phoneme_127,4,0.002257336343115124,6.093569770045136
phoneme_128,565,0.31884875846501126,1.1430384000185854
phoneme_129,1,5.64334085778781e-4,7.4798641311650265
phoneme_130,92,0.05191873589164785,2.958075554115986
phoneme_131,1,5.64334085778781e-4,7.4798641311650265
phoneme_132,2,0.001128668171557562,6.786716950605081
phoneme_133,1,5.64334085778781e-4,7.4798641311650265
phoneme_134,234,0.13205417607223477,2.0245430158073248
phoneme_135,2,0.001128668171557562,6.786716950605081
phoneme_136,72,0.040632054176072234,3.2031980121489707
phoneme_137,27,0.015237020316027089,4.184027265160697
phoneme_138,4,0.002257336343115124,6.093569770045136
phoneme_139,513,0.2895033860045147,1.2395882859942566
phoneme_140,1,5.64334085778781e-4,7.4798641311650265
phoneme_141,249,0.14051918735891647,1.9624112347003186
phoneme_142,1,5.64334085778781e-4,7.4798641311650265
phoneme_143,21,0.011851015801354402,4.435341693441603
phoneme_144,1,5.64334085778781e-4,7.4798641311650265
phoneme_145,1610,0.9085778781038375,0.09587467318651757
phoneme_146,1,5.64334085778781e-4,7.4798641311650265
phoneme_147,9,0.005079006772009029,5.2826395538288065
phoneme_148,1,5.64334085778781e-4,7.4798641311650265
phoneme_149,1,5.64334085778781e-4,7.4798641311650265
phoneme_150,1,5.64334085778781e-4,7.4798641311650265
phoneme_151,1,5.64334085778781e-4,7.4798641311650265
phoneme_152,24,0.013544018058690745,4.30181030081708
phoneme_154,17,0.009593679458239277,4.64665078710881
phoneme_155,2,0.001128668171557562,6.786716950605081
phoneme_156,1,5.64334085778781e-4,7.4798641311650265
phoneme_157,1,5.64334085778781e-4,7.4798641311650265
phoneme_158,1,5.64334085778781e-4,7.4798641311650265
phoneme_159,2,0.001128668171557562,6.786716950605081
phoneme_160,1,5.64334085778781e-4,7.4798641311650265
phoneme_161,1,5.64334085778781e-4,7.4798641311650265
phoneme_163,1,5.64334085778781e-4,7.4798641311650265
phoneme_164,24,0.013544018058690745,4.30181030081708
phoneme_165,11,0.006207674943566591,5.081968858366656
phoneme_166,23,0.012979683972911963,4.344369915235877
phoneme_167,4,0.002257336343115124,6.093569770045136
phoneme_168,14,0.007900677200902935,4.840806801549768
phoneme_169,1,5.64334085778781e-4,7.4798641311650265
phoneme_170,1,5.64334085778781e-4,7.4798641311650265
phoneme_171,21,0.011851015801354402,4.435341693441603
phoneme_172,2,0.001128668171557562,6.786716950605081
phoneme_173,1,5.64334085778781e-4,7.4798641311650265
phoneme_174,20,0.011286681715575621,4.484131857611035
phoneme_176,2,0.001128668171557562,6.786716950605081
phoneme_177,15,0.008465011286681716,4.771813930062816
phoneme_178,27,0.015237020316027089,4.184027265160697
phoneme_179,1,5.64334085778781e-4,7.4798641311650265
phoneme_180,1,5.64334085778781e-4,7.4798641311650265
phoneme_181,2,0.001128668171557562,6.786716950605081
phoneme_183,1,5.64334085778781e-4,7.4798641311650265
phoneme_184,2,0.001128668171557562,6.786716950605081
phoneme_185,1,5.64334085778781e-4,7.4798641311650265
phoneme_187,15,0.008465011286681716,4.771813930062816
phoneme_188,10,0.0056433408577878106,5.177279038170981
phoneme_189,26,0.014672686230248307,4.221767593143544
phoneme_190,1,5.64334085778781e-4,7.4798641311650265
phoneme_191,1,5.64334085778781e-4,7.4798641311650265
phoneme_192,1,5.64334085778781e-4,7.4798641311650265
phoneme_193,1,5.64334085778781e-4,7.4798641311650265
phoneme_194,1,5.64334085778781e-4,7.4798641311650265
