treemix_name,language,iso6393,Language_type
Tagula,Tagula,tgo,Austronesian
Kehelala,Kehelala,tbo,Austronesian
Suau,Suau,swp,Austronesian
Dobu,Dobu,dob,Austronesian
Bwaidoka,Bwaidoka,bwd,Austronesian
Iduna,Iduna,viv,Austronesian
Muyuw,Muyuw,myw,Austronesian
Roro,Roro,rro,Austronesian
Nara,Nara,nrz,Austronesian
Gabadi,Gabadi,kbt,Austronesian
Sinagoro,Sinagoro,snc,Austronesian
Motu,Motu,meu,Austronesian
Keapara,Keapara,khz,Austronesian
Bileki,Bileki,nak,Austronesian
Mengen,Mengen,mee,Austronesian
Sursurunga,Sursurunga,sgz,Austronesian
Tangga,Tangga,tgg,Austronesian
Tolai,Tolai,ksd,Austronesian
Duke_of_York,Duke of York,rai,Austronesian
Tigak,Tigak,tgc,Austronesian
Seimat,Seimat,ssg,Austronesian
Gele,Gele,sbc,Austronesian
Nehan,Nehan,nsn,Austronesian
Halia,Halia,hla,Austronesian
Petats,Petats,pex,Austronesian
Tinputs,Tinputs,tpz,Austronesian
Teop,Teop,tio,Austronesian
Mono,Mono,mte,Austronesian
Uruava,Uruava,urv,Austronesian
Torau,Torau,ttu,Austronesian
Babatana,Babatana,baa,Austronesian
Simbo,Simbo,sbb,Austronesian
Roviana,Roviana,rug,Austronesian
Kia,Kia,kji,Austronesian
Gao,Gao,gga,Austronesian
Nembao,Nembao,utp,Austronesian
Vano,Vano,vnk,Austronesian
Aneityum,Aneityum,aty,Austronesian
Sie,Sie,erg,Austronesian
Kwamera,Kwamera,tnk,Austronesian
Whitesands,Whitesands,tnp,Austronesian
Lenakel,Lenakel,tnl,Austronesian
Kumak,Kumak,nee,Austronesian
Caac,Caac,msq,Austronesian
Yuaga,Yuaga,nua,Austronesian
Fwai,Fwai,fwa,Austronesian
Cemuhi,Cemuhi,cam,Austronesian
Paici,Paici,pri,Austronesian
Ajie,Ajie,aji,Austronesian
Tiri,Tiri,cir,Austronesian
Xaracuu,Xaracuu,ane,Austronesian
Xaragure,Xaragure,axx,Austronesian
Numee,Numee,kdk,Austronesian
Iaai,Iaai,iai,Austronesian
Dehu,Dehu,dhv,Austronesian
Nengone,Nengone,nen,Austronesian
Nauruan,Nauruan,nau,Austronesian
Gilbertese,Gilbertese,gil,Austronesian
Marshallese,Marshallese,mah,Austronesian
Kusaiean,Kusaiean,kos,Austronesian
Mokilese,Mokilese,mkj,Austronesian
Ponapean,Ponapean,pon,Austronesian
Trukese,Trukese,chk,Austronesian
Carolinian,Carolinian,cal,Austronesian
Ulithian,Ulithian,uli,Austronesian
Bughotu,Bughotu,bgt,Austronesian
Gela,Gela,nlg,Austronesian
Lengo,Lengo,lgr,Austronesian
Ghari,Ghari,gri,Austronesian
Talise,Talise,tlr,Austronesian
Longgu,Longgu,lgu,Austronesian
Lau,Lau,llu,Austronesian
Toabaita,Toabaita,mlu,Austronesian
Kwaraae,Kwaraae,kwf,Austronesian
Kwaio,Kwaio,kwd,Austronesian
Marau_sub_2_nosupersub,Marau\sub 2\nosupersub,alu,Austronesian
Oroha,Oroha,ora,Austronesian
Saa,Saa,apb,Austronesian
Arosi,Arosi,aia,Austronesian
Fagani,Fagani,faf,Austronesian
Sakao,Sakao,sku,Austronesian
Shark_Bay,Shark Bay,ssv,Austronesian
Labo,Labo,mwi,Austronesian
Big_Nambas,Big Nambas,nmb,Austronesian
Toga,Toga,lht,Austronesian
Lehali,Lehali,tql,Austronesian
Motlav,Motlav,mlv,Austronesian
Mota,Mota,mtt,Austronesian
Vatrata,Vatrata,vlr,Austronesian
Mosina,Mosina,msn,Austronesian
Nume,Nume,tgs,Austronesian
Lakona,Lakona,lkn,Austronesian
Merlav,Merlav,mrm,Austronesian
Marino,Marino,mrb,Austronesian
Northeast_Aoban,Northeast Aoban,omb,Austronesian
Raga,Raga,lml,Austronesian
North_Ambrym,North Ambrym,mmg,Austronesian
Lonwolwol,Lonwolwol,crc,Austronesian
Southeast_Ambrym,Southeast Ambrym,tvk,Austronesian
Paama,Paama,pma,Austronesian
Nokuku,Nokuku,nkk,Austronesian
Tolomako,Tolomako,tlm,Austronesian
Tangoa,Tangoa,tgp,Austronesian
Malo,Malo,mla,Austronesian
Atchin,Atchin,upv,Austronesian
Uripiv,Uripiv,upv,Austronesian
Rerep,Rerep,pgk,Austronesian
Aulua,Aulua,aul,Austronesian
Maskelynes,Maskelynes,klv,Austronesian
Southwest_Bay,Southwest Bay,sns,Austronesian
Lewo,Lewo,lww,Austronesian
Baki,Baki,bki,Austronesian
Namakura,Namakura,nmk,Austronesian
North_Efate,North Efate,llp,Austronesian
South_Efate,South Efate,erk,Austronesian
Rotuman,Rotuman,rtm,Austronesian
Fijian,Fijian,fij,Austronesian
Niuean,Niuean,niu,Austronesian
Tongan,Tongan,ton,Austronesian
Samoan,Samoan,smo,Austronesian
Tuvalu,Tuvalu,tvl,Austronesian
East_Uvea,East Uvea,wls,Austronesian
Pileni,Pileni,piv,Austronesian
Tikopia,Tikopia,tkp,Austronesian
West_Uvea,West Uvea,uve,Austronesian
Emae,Emae,mmw,Austronesian
Mele,Mele,mxe,Austronesian
West_Futuna,West Futuna,fut,Austronesian
Luangiua,Luangiua,ojv,Austronesian
Kapingamarangi,Kapingamarangi,kpg,Austronesian
Nukuoro,Nukuoro,nkr,Austronesian
Rapanui,Rapanui,rap,Austronesian
Tahitian,Tahitian,tah,Austronesian
Rarotongan,Rarotongan,rar,Austronesian
Paumotu,Paumotu,pmt,Austronesian
Maori,Maori,mri,Austronesian
Mangareva,Mangareva,mrv,Austronesian
Marquesan,Marquesan,mqm,Austronesian
Hawaiian,Hawaiian,haw,Austronesian
Aiwo,Aiwo,nfl,Austronesian
Santa_Cruz,Santa Cruz,stc,Austronesian
Nanggu,Nanggu,ngr,Austronesian
English,English,eng,Language of Interest
