"","Spanish","Spanish","Spanish","Spanish","Spanish","Spanish","Spanish","Spanish","Spanish","English","English","English","English","Japanese","Isnag","Yogad","Agta","Gaddang","Ga-dang","Ibanag","Ibanag","Atta","Umiray Dumaget","Casiguran Dumagat","Ilokano","Itneg","North Kalinga","Central Kalinga","South Kalinga","Balangaw","Central Ifugao","Central Ifugao","East Ifugao","Central Bontok","North Kankanay","Ilongot","Pangasinan","Inibaloi","North Kallahan","North Kallahan","Itbayaten","Ivatanen","Kapampangan","Tina","Iraya","Siocon Subanon","Sindangan","Binukid","Ata","Tigwa","Dibabawon","Ilianen","Western Bukidnon","Sarangani Manobo","Kalamansig","Magindanao","Maranao","Hanunoo","Buhid","Kalamianen","Batak","Tagbanwa","Tagalog","Naga","Mansakan","Kalagan","Tagakaolo","Mamanwa","Tausug","Cebuano","Waray","Hiligaynon","Kuyunon","Tiruray","Tboli","Cotabato Bilaan","Sarangani Bilaan","Sangil","Kolod","Sumambu","Timugon","Kadazan-Dusun","Eastern Kadazan","Yakan","North Sama","Basque","Hungarian","Finnish","Estonian","Gagauz","Turkish","Udihe","Korean","Sedang"
"Spanish",0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.244326148648207,0.244326148648207,0.244326148648207,0.244326148648207,0.172453930470861,0.148927846801521,0.0606601202622395,0.116901029979087,0.0854494745576439,0.231656604305768,0.175910227910572,0.175910227910572,0.113463199222386,0.152852756231278,0.229358289399418,0.167771702210446,0.131513828870525,0.0934047543992772,0.140150263635382,0.0878681062337871,0.0663655244578486,0.1427239521824,0.1427239521824,0.103394621600723,0.0965872176438101,0.063387159589935,0.0682447827150528,0.0715955395893889,0.10332426553557,0.0507742753804562,0.0507742753804562,0.271371021531651,0.15111745178406,0.289929362852874,0.109664463010416,0.223240845311316,0.106866177665162,0.0484051323350722,0.0687462624970228,0.0856779922085911,0.0728691400626672,0.104762327422842,0.0860570187088547,0.0449503290114265,0.046227228753962,0.0611334844090282,0.074509511393768,0.262608440104312,0.282217472128619,0.37329713808765,0.068643840425757,0.264092939852504,0.104762327422842,0.129054270233917,0.195672922875781,0.0360511059783452,0.0510438327256277,0.0553343498741174,0.184454964765488,0.165503643364887,0.168170606888525,0.149257380196288,0.300425685292731,0.215139649747858,0.179933664757374,0.150953880502125,0.14853006997666,0.155593743202147,0.0630932844732368,0.140150263635382,0.133546306151902,0.140150263635382,0.13174175887441,0.117335140833622,0.0697243716228884,0.106432056935133,0.725957788806449,0.0971862980747396,0.0484891463600413,0.0103009458727109,0.0772195420166835,0.0939180131108433,0.239246351043148,0.0201916980509913,0.0602389877416114
"Spanish",0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.244326148648207,0.244326148648207,0.244326148648207,0.244326148648207,0.172453930470861,0.148927846801521,0.0606601202622395,0.116901029979087,0.0854494745576439,0.231656604305768,0.175910227910572,0.175910227910572,0.113463199222386,0.152852756231278,0.229358289399418,0.167771702210446,0.131513828870525,0.0934047543992772,0.140150263635382,0.0878681062337871,0.0663655244578486,0.1427239521824,0.1427239521824,0.103394621600723,0.0965872176438101,0.063387159589935,0.0682447827150528,0.0715955395893889,0.10332426553557,0.0507742753804562,0.0507742753804562,0.271371021531651,0.15111745178406,0.289929362852874,0.109664463010416,0.223240845311316,0.106866177665162,0.0484051323350722,0.0687462624970228,0.0856779922085911,0.0728691400626672,0.104762327422842,0.0860570187088547,0.0449503290114265,0.046227228753962,0.0611334844090282,0.074509511393768,0.262608440104312,0.282217472128619,0.37329713808765,0.068643840425757,0.264092939852504,0.104762327422842,0.129054270233917,0.195672922875781,0.0360511059783452,0.0510438327256277,0.0553343498741174,0.184454964765488,0.165503643364887,0.168170606888525,0.149257380196288,0.300425685292731,0.215139649747858,0.179933664757374,0.150953880502125,0.14853006997666,0.155593743202147,0.0630932844732368,0.140150263635382,0.133546306151902,0.140150263635382,0.13174175887441,0.117335140833622,0.0697243716228884,0.106432056935133,0.725957788806449,0.0971862980747396,0.0484891463600413,0.0103009458727109,0.0772195420166835,0.0939180131108433,0.239246351043148,0.0201916980509913,0.0602389877416114
"Spanish",0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.244326148648207,0.244326148648207,0.244326148648207,0.244326148648207,0.172453930470861,0.148927846801521,0.0606601202622395,0.116901029979087,0.0854494745576439,0.231656604305768,0.175910227910572,0.175910227910572,0.113463199222386,0.152852756231278,0.229358289399418,0.167771702210446,0.131513828870525,0.0934047543992772,0.140150263635382,0.0878681062337871,0.0663655244578486,0.1427239521824,0.1427239521824,0.103394621600723,0.0965872176438101,0.063387159589935,0.0682447827150528,0.0715955395893889,0.10332426553557,0.0507742753804562,0.0507742753804562,0.271371021531651,0.15111745178406,0.289929362852874,0.109664463010416,0.223240845311316,0.106866177665162,0.0484051323350722,0.0687462624970228,0.0856779922085911,0.0728691400626672,0.104762327422842,0.0860570187088547,0.0449503290114265,0.046227228753962,0.0611334844090282,0.074509511393768,0.262608440104312,0.282217472128619,0.37329713808765,0.068643840425757,0.264092939852504,0.104762327422842,0.129054270233917,0.195672922875781,0.0360511059783452,0.0510438327256277,0.0553343498741174,0.184454964765488,0.165503643364887,0.168170606888525,0.149257380196288,0.300425685292731,0.215139649747858,0.179933664757374,0.150953880502125,0.14853006997666,0.155593743202147,0.0630932844732368,0.140150263635382,0.133546306151902,0.140150263635382,0.13174175887441,0.117335140833622,0.0697243716228884,0.106432056935133,0.725957788806449,0.0971862980747396,0.0484891463600413,0.0103009458727109,0.0772195420166835,0.0939180131108433,0.239246351043148,0.0201916980509913,0.0602389877416114
"Spanish",0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.244326148648207,0.244326148648207,0.244326148648207,0.244326148648207,0.172453930470861,0.148927846801521,0.0606601202622395,0.116901029979087,0.0854494745576439,0.231656604305768,0.175910227910572,0.175910227910572,0.113463199222386,0.152852756231278,0.229358289399418,0.167771702210446,0.131513828870525,0.0934047543992772,0.140150263635382,0.0878681062337871,0.0663655244578486,0.1427239521824,0.1427239521824,0.103394621600723,0.0965872176438101,0.063387159589935,0.0682447827150528,0.0715955395893889,0.10332426553557,0.0507742753804562,0.0507742753804562,0.271371021531651,0.15111745178406,0.289929362852874,0.109664463010416,0.223240845311316,0.106866177665162,0.0484051323350722,0.0687462624970228,0.0856779922085911,0.0728691400626672,0.104762327422842,0.0860570187088547,0.0449503290114265,0.046227228753962,0.0611334844090282,0.074509511393768,0.262608440104312,0.282217472128619,0.37329713808765,0.068643840425757,0.264092939852504,0.104762327422842,0.129054270233917,0.195672922875781,0.0360511059783452,0.0510438327256277,0.0553343498741174,0.184454964765488,0.165503643364887,0.168170606888525,0.149257380196288,0.300425685292731,0.215139649747858,0.179933664757374,0.150953880502125,0.14853006997666,0.155593743202147,0.0630932844732368,0.140150263635382,0.133546306151902,0.140150263635382,0.13174175887441,0.117335140833622,0.0697243716228884,0.106432056935133,0.725957788806449,0.0971862980747396,0.0484891463600413,0.0103009458727109,0.0772195420166835,0.0939180131108433,0.239246351043148,0.0201916980509913,0.0602389877416114
"Spanish",0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.244326148648207,0.244326148648207,0.244326148648207,0.244326148648207,0.172453930470861,0.148927846801521,0.0606601202622395,0.116901029979087,0.0854494745576439,0.231656604305768,0.175910227910572,0.175910227910572,0.113463199222386,0.152852756231278,0.229358289399418,0.167771702210446,0.131513828870525,0.0934047543992772,0.140150263635382,0.0878681062337871,0.0663655244578486,0.1427239521824,0.1427239521824,0.103394621600723,0.0965872176438101,0.063387159589935,0.0682447827150528,0.0715955395893889,0.10332426553557,0.0507742753804562,0.0507742753804562,0.271371021531651,0.15111745178406,0.289929362852874,0.109664463010416,0.223240845311316,0.106866177665162,0.0484051323350722,0.0687462624970228,0.0856779922085911,0.0728691400626672,0.104762327422842,0.0860570187088547,0.0449503290114265,0.046227228753962,0.0611334844090282,0.074509511393768,0.262608440104312,0.282217472128619,0.37329713808765,0.068643840425757,0.264092939852504,0.104762327422842,0.129054270233917,0.195672922875781,0.0360511059783452,0.0510438327256277,0.0553343498741174,0.184454964765488,0.165503643364887,0.168170606888525,0.149257380196288,0.300425685292731,0.215139649747858,0.179933664757374,0.150953880502125,0.14853006997666,0.155593743202147,0.0630932844732368,0.140150263635382,0.133546306151902,0.140150263635382,0.13174175887441,0.117335140833622,0.0697243716228884,0.106432056935133,0.725957788806449,0.0971862980747396,0.0484891463600413,0.0103009458727109,0.0772195420166835,0.0939180131108433,0.239246351043148,0.0201916980509913,0.0602389877416114
"Spanish",0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.244326148648207,0.244326148648207,0.244326148648207,0.244326148648207,0.172453930470861,0.148927846801521,0.0606601202622395,0.116901029979087,0.0854494745576439,0.231656604305768,0.175910227910572,0.175910227910572,0.113463199222386,0.152852756231278,0.229358289399418,0.167771702210446,0.131513828870525,0.0934047543992772,0.140150263635382,0.0878681062337871,0.0663655244578486,0.1427239521824,0.1427239521824,0.103394621600723,0.0965872176438101,0.063387159589935,0.0682447827150528,0.0715955395893889,0.10332426553557,0.0507742753804562,0.0507742753804562,0.271371021531651,0.15111745178406,0.289929362852874,0.109664463010416,0.223240845311316,0.106866177665162,0.0484051323350722,0.0687462624970228,0.0856779922085911,0.0728691400626672,0.104762327422842,0.0860570187088547,0.0449503290114265,0.046227228753962,0.0611334844090282,0.074509511393768,0.262608440104312,0.282217472128619,0.37329713808765,0.068643840425757,0.264092939852504,0.104762327422842,0.129054270233917,0.195672922875781,0.0360511059783452,0.0510438327256277,0.0553343498741174,0.184454964765488,0.165503643364887,0.168170606888525,0.149257380196288,0.300425685292731,0.215139649747858,0.179933664757374,0.150953880502125,0.14853006997666,0.155593743202147,0.0630932844732368,0.140150263635382,0.133546306151902,0.140150263635382,0.13174175887441,0.117335140833622,0.0697243716228884,0.106432056935133,0.725957788806449,0.0971862980747396,0.0484891463600413,0.0103009458727109,0.0772195420166835,0.0939180131108433,0.239246351043148,0.0201916980509913,0.0602389877416114
"Spanish",0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.244326148648207,0.244326148648207,0.244326148648207,0.244326148648207,0.172453930470861,0.148927846801521,0.0606601202622395,0.116901029979087,0.0854494745576439,0.231656604305768,0.175910227910572,0.175910227910572,0.113463199222386,0.152852756231278,0.229358289399418,0.167771702210446,0.131513828870525,0.0934047543992772,0.140150263635382,0.0878681062337871,0.0663655244578486,0.1427239521824,0.1427239521824,0.103394621600723,0.0965872176438101,0.063387159589935,0.0682447827150528,0.0715955395893889,0.10332426553557,0.0507742753804562,0.0507742753804562,0.271371021531651,0.15111745178406,0.289929362852874,0.109664463010416,0.223240845311316,0.106866177665162,0.0484051323350722,0.0687462624970228,0.0856779922085911,0.0728691400626672,0.104762327422842,0.0860570187088547,0.0449503290114265,0.046227228753962,0.0611334844090282,0.074509511393768,0.262608440104312,0.282217472128619,0.37329713808765,0.068643840425757,0.264092939852504,0.104762327422842,0.129054270233917,0.195672922875781,0.0360511059783452,0.0510438327256277,0.0553343498741174,0.184454964765488,0.165503643364887,0.168170606888525,0.149257380196288,0.300425685292731,0.215139649747858,0.179933664757374,0.150953880502125,0.14853006997666,0.155593743202147,0.0630932844732368,0.140150263635382,0.133546306151902,0.140150263635382,0.13174175887441,0.117335140833622,0.0697243716228884,0.106432056935133,0.725957788806449,0.0971862980747396,0.0484891463600413,0.0103009458727109,0.0772195420166835,0.0939180131108433,0.239246351043148,0.0201916980509913,0.0602389877416114
"Spanish",0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.244326148648207,0.244326148648207,0.244326148648207,0.244326148648207,0.172453930470861,0.148927846801521,0.0606601202622395,0.116901029979087,0.0854494745576439,0.231656604305768,0.175910227910572,0.175910227910572,0.113463199222386,0.152852756231278,0.229358289399418,0.167771702210446,0.131513828870525,0.0934047543992772,0.140150263635382,0.0878681062337871,0.0663655244578486,0.1427239521824,0.1427239521824,0.103394621600723,0.0965872176438101,0.063387159589935,0.0682447827150528,0.0715955395893889,0.10332426553557,0.0507742753804562,0.0507742753804562,0.271371021531651,0.15111745178406,0.289929362852874,0.109664463010416,0.223240845311316,0.106866177665162,0.0484051323350722,0.0687462624970228,0.0856779922085911,0.0728691400626672,0.104762327422842,0.0860570187088547,0.0449503290114265,0.046227228753962,0.0611334844090282,0.074509511393768,0.262608440104312,0.282217472128619,0.37329713808765,0.068643840425757,0.264092939852504,0.104762327422842,0.129054270233917,0.195672922875781,0.0360511059783452,0.0510438327256277,0.0553343498741174,0.184454964765488,0.165503643364887,0.168170606888525,0.149257380196288,0.300425685292731,0.215139649747858,0.179933664757374,0.150953880502125,0.14853006997666,0.155593743202147,0.0630932844732368,0.140150263635382,0.133546306151902,0.140150263635382,0.13174175887441,0.117335140833622,0.0697243716228884,0.106432056935133,0.725957788806449,0.0971862980747396,0.0484891463600413,0.0103009458727109,0.0772195420166835,0.0939180131108433,0.239246351043148,0.0201916980509913,0.0602389877416114
"Spanish",0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.999999999959593,0.244326148648207,0.244326148648207,0.244326148648207,0.244326148648207,0.172453930470861,0.148927846801521,0.0606601202622395,0.116901029979087,0.0854494745576439,0.231656604305768,0.175910227910572,0.175910227910572,0.113463199222386,0.152852756231278,0.229358289399418,0.167771702210446,0.131513828870525,0.0934047543992772,0.140150263635382,0.0878681062337871,0.0663655244578486,0.1427239521824,0.1427239521824,0.103394621600723,0.0965872176438101,0.063387159589935,0.0682447827150528,0.0715955395893889,0.10332426553557,0.0507742753804562,0.0507742753804562,0.271371021531651,0.15111745178406,0.289929362852874,0.109664463010416,0.223240845311316,0.106866177665162,0.0484051323350722,0.0687462624970228,0.0856779922085911,0.0728691400626672,0.104762327422842,0.0860570187088547,0.0449503290114265,0.046227228753962,0.0611334844090282,0.074509511393768,0.262608440104312,0.282217472128619,0.37329713808765,0.068643840425757,0.264092939852504,0.104762327422842,0.129054270233917,0.195672922875781,0.0360511059783452,0.0510438327256277,0.0553343498741174,0.184454964765488,0.165503643364887,0.168170606888525,0.149257380196288,0.300425685292731,0.215139649747858,0.179933664757374,0.150953880502125,0.14853006997666,0.155593743202147,0.0630932844732368,0.140150263635382,0.133546306151902,0.140150263635382,0.13174175887441,0.117335140833622,0.0697243716228884,0.106432056935133,0.725957788806449,0.0971862980747396,0.0484891463600413,0.0103009458727109,0.0772195420166835,0.0939180131108433,0.239246351043148,0.0201916980509913,0.0602389877416114
"English",0.244326148648207,0.244326148648207,0.244326148648207,0.244326148648207,0.244326148648207,0.244326148648207,0.244326148648207,0.244326148648207,0.244326148648207,0.999999999987719,0.999999999987719,0.999999999987719,0.999999999987719,0.157898920481065,0.301838960191276,0.0381256970587093,0.120423431894473,0.0856655250902522,0.189576058714073,0.116262424190345,0.116262424190345,0.121447542581261,0.0833931259218368,0.115889408159165,0.118042711490449,0.170422375073037,0.0857442371695821,0.089560055721912,0.0561502510674006,0.120201696456163,0.108881231878946,0.108881231878946,0.190484838592046,0.0620811047853353,0.0415516654674365,0.113731634618317,0.140592731479354,0.0723772327548282,0.0441270911821464,0.0441270911821464,0.116165980140246,0.163762786654988,0.0879733192173564,0.060832746606289,0.0538096051239624,0.0839864202786642,0.0518113750582695,0.0611612468438014,0.0673345675817042,0.0633293762215554,0.0611589990424656,0.105725663197295,0.0552238901243095,0.0792624529641746,0.0938292200443846,0.0526532184356951,0.13320904581716,0.0986274052971916,0.12092330173199,0.0325843037029387,0.132936238452961,0.0611589990424656,0.465077246435815,0.252436951646969,0.0171129729736314,0.0471099997566061,0.0583193791471358,0.167294858239596,0.215196283778538,0.0587710976194964,0.123599899964284,0.074015673742953,0.0652798629884909,0.0344882303284441,0.163500328798182,0.0976557163035128,0.224387494562235,0.0344223182263144,0.089560055721912,0.169821448986567,0.089560055721912,0.103536207347755,0.130804886361989,0.115154821657912,0.0890245745393079,0.065986041266596,0.387666678068498,0.203071914552434,0.0637097127153957,0.211102152259976,0.136677797810568,0.154543986480811,0.0874699387593945,0.0362044373927202
