"language","latitude","longitude","cossim_span","cossim_jap","cossim_eng","cossim_unr","span_influenced","jap_influenced","eng_influenced","geodist_H1_span","geodist_H2_span","using_network"
"Magindanao",6.98166,124.52305,0.0797052282275844,0.0789908496733944,0.0447130497583386,0.0659768376280486,FALSE,FALSE,FALSE,1011.84552010753,2187.57865102473,TRUE
"Maranao",7.81502,124.22438,0.206490997357064,0.221378551885084,0.0974130801104755,0.0847854368788915,TRUE,TRUE,FALSE,591.839904897241,1816.20723036453,TRUE
"Hanunoo",12.41035,121.2367,0.223334864458786,0.28089351245737,0.0500929740616936,0.0886980865221916,TRUE,TRUE,FALSE,511.014242269517,827.329503482096,TRUE
"Buhid",12.64484,121.222,0.310200374612958,0.221145500685182,0.102870071181544,0.0948196976901568,TRUE,TRUE,FALSE,395.894936780118,712.210197992697,TRUE
"Kalamianen",11.91139,119.99355,0.0643761061215559,0.0511021295816935,0.0289265411395062,0.0592959213055288,FALSE,FALSE,FALSE,474.093841022301,776.240731583505,FALSE
"Batak",10.16456,119.08504,0.206785937996226,0.221234607703985,0.0973497404331412,0.0849957070349782,TRUE,TRUE,FALSE,277.276842555302,1335.31098037763,FALSE
"Tagbanwa",9.63679,118.52075,0.0939298208011367,0.0887580937679182,0.0501819078218311,0.0761276967979738,FALSE,FALSE,FALSE,338.037473221468,1128.68922516474,FALSE
"Tagalog",14.21913,121.38616,0.0903070251518836,0.113852127137909,0.373234513183395,0.0732918321416802,FALSE,FALSE,TRUE,250.890669278544,250.890669278544,TRUE
"Naga",13.61531,123.39831,0.127789685632883,0.280121587251207,0.229900359831998,0.10602341322545,FALSE,TRUE,TRUE,288.875255319837,1005.47762473901,TRUE
"Mansakan",7.2864,126.164,0.0398515763871084,0.0316344144320237,0.017906772143875,0.0296511710262802,FALSE,FALSE,FALSE,986.900885232581,2162.63401614977,TRUE
"Kalagan",7.30352,125.92716,0.0455206793426632,0.2185692061862,0.0219069942720186,0.0801678195321609,FALSE,TRUE,FALSE,934.438837352534,2110.17196826973,TRUE
"Mamanwa",9.43926,125.53517,0.110460500685652,0.118424463997406,0.256234857003283,0.0993791517081492,FALSE,FALSE,TRUE,75.0830681334348,1250.81619905063,TRUE
"Tausug",5.95478,121.11477,0.128826820884197,0.0458961377506572,0.272630033259957,0.110478673862359,FALSE,FALSE,TRUE,139.678515404723,1740.66455176087,FALSE
"Cebuano",10.20178,123.64698,0.0998547226957875,0.125589633582114,0.0223969510805792,0.0660624521932198,FALSE,FALSE,FALSE,99.5083518181366,1145.88588020506,TRUE
"Waray",11.78931,125.0147,0.124356001697927,0.17286213839443,0.0664370629169772,0.0985944172663869,FALSE,FALSE,FALSE,139.356880492102,1000.31185147125,TRUE
"Hiligaynon",9.74388,122.64284,0.240387130244072,0.257418129379814,0.0539177181730421,0.0772582555658952,TRUE,TRUE,FALSE,416.694209898281,1444.87722240293,FALSE
"Kuyunon",10.73557,119.51679,0.18124784389326,0.216459260109774,0.0341917451726789,0.0820014129618423,TRUE,TRUE,FALSE,314.530532273127,1052.79019064451,FALSE
"Tiruray",6.78126,124.12327,0.2396984740249,0.0408138528348475,0.0846675198627914,0.104748191994906,TRUE,FALSE,FALSE,679.941746296662,2021.71144837972,TRUE
"Tboli",6.17584,124.56778,0.143756597951944,0.0675169912632769,0.221917888511759,0.113156016935032,FALSE,FALSE,TRUE,848.794762812824,2190.56446489588,TRUE
"Cotabato Bilaan",6.21229,125.01141,0.154380071406951,0.0759286589137294,0.137901355756918,0.0986854733353983,FALSE,FALSE,FALSE,1355.74727021975,2531.48040113694,TRUE
"Sarangani Bilaan",6.06694,125.34999,0.13762554405486,0.208335627149588,0.240365568565986,0.126807794605448,FALSE,FALSE,TRUE,1449.62994127886,2625.36307219605,TRUE
"Sangil",5.40063,125.38747,0.0448125513262631,0.0427129517033046,0.0211638590931415,0.0573683969440042,FALSE,FALSE,FALSE,1696.50872270469,2872.24185362188,TRUE
