"model","lambda","r.squared","adj.r.squared","aic","n","term","estimate","std.error","statistic","p.value"
"OLS (lambda fixed ~0)",1e-06,0.356635460856834,0.33189067088979,-92.5259965882286,28,"(Intercept)",0.375271326305887,0.0162116912152082,23.1481911001269,0
"OLS (lambda fixed ~0)",1e-06,0.356635460856834,0.33189067088979,-92.5259965882286,28,"geodist_H1_span",0.000123140060806659,3.24361266764674e-05,3.79638611092235,0.000793295083131973
"ML (lambda estimated)",1,0.434704107273673,0.41296195755343,-94.1109405075183,28,"(Intercept)",0.366143928994429,0.0248767020714993,14.718346826765,3.99680288865056e-14
"ML (lambda estimated)",1,0.434704107273673,0.41296195755343,-94.1109405075183,28,"geodist_H1_span",0.000148046014858604,3.31093832274212e-05,4.47142170670192,0.000135648053126936
