"model","lambda","r.squared","adj.r.squared","aic","n","term","estimate","std.error","statistic","p.value"
"OLS (lambda fixed ~0)",1e-06,0.0621609860341397,0.0472746524791261,-10.4008954211514,65,"(Intercept)",0.463085705108137,0.0476147763658297,9.72567216424996,3.66373598126302e-14
"OLS (lambda fixed ~0)",1e-06,0.0621609860341397,0.0472746524791261,-10.4008954211514,65,"geodist_H1_span",-0.000164260757819734,8.0383839757735e-05,-2.04345498193159,0.0451946640185654
"ML (lambda estimated)",1,0.0305452811645663,0.0151571110243213,-54.8782733219359,65,"(Intercept)",0.458605634838137,0.118442198407993,3.87197840805351,0.000259185967037112
"ML (lambda estimated)",1,0.0305452811645663,0.0151571110243213,-54.8782733219359,65,"geodist_H1_span",-0.000107295072307615,7.61554875715152e-05,-1.40889482464225,0.163782959785213
