language,Language_Type,PC1,PC2,cluster
Georgian,Unrelated Language,-0.24497446643414802,1.4338868641049867,2
Basque,Unrelated Language,-0.16598424433621353,1.0238174180747586,2
Kabardian,Unrelated Language,-0.2739066051876246,1.343624253000739,2
Hunzib,Unrelated Language,1.9817885223908978,0.9463715937595828,2
Lezgi,Unrelated Language,-0.3764103059216455,1.03688475052646,2
Hungarian,Unrelated Language,-0.0814423866846277,0.034373320603860565,2
Eastern Saami,Unrelated Language,-0.5033591602996349,0.9646006378928894,2
Southern Saami,Unrelated Language,-0.22740039641836016,0.2995758190799087,2
Finnish,Unrelated Language,-0.3763642271451597,1.039321700821209,2
Ingrian,Unrelated Language,-0.41272319070291597,0.9740716218058232,2
Vepsian,Unrelated Language,-0.4703528788146131,1.1557864382488645,2
Livonian,Unrelated Language,-0.47628233840514145,0.8759457003198495,2
Chuvash,Unrelated Language,-0.2731771781282657,1.2867660173417526,2
Gagauz,Unrelated Language,-0.3733539790565151,1.1598231808030321,2
Turkish,Unrelated Language,-0.40477759149021175,0.8935769091927863,2
Crimean Turkish,Unrelated Language,-0.4798838872606278,0.8974610918612346,2
Turkmen,Unrelated Language,-0.48775600868253866,0.7621343124667256,2
Azerbaijani,Unrelated Language,-0.3686078044108926,1.2669383763773265,2
Uzbek,Unrelated Language,-0.3818657226588581,0.9354902325244326,2
Bashkir,Unrelated Language,-0.45158725180738024,1.1354932187327667,2
Tatar,Unrelated Language,-0.36860883461505334,1.2669358154588273,2
Baraba,Unrelated Language,-0.36860883461505334,1.2669358154588273,2
Kalmyk,Unrelated Language,-0.2785461500011457,1.2587115023908582,2
Greenlandic,Unrelated Language,-0.26004158382486386,0.4663044407794782,2
Malto,Unrelated Language,0.22994087883423303,0.7704279617362478,2
Kannada,Unrelated Language,0.4854153112272471,0.5236554327721283,2
Kodagu,Unrelated Language,-0.15514402148161807,0.9633261350589982,2
Tamil,Unrelated Language,0.40417152887633373,0.7028271210769026,2
Malayalam,Unrelated Language,0.6577761512028709,0.7476050627761428,2
Newari,Unrelated Language,-0.3198253048212669,1.053567976398698,2
Lepcha,Unrelated Language,-0.27804253980724675,0.974774800413351,2
Thakali,Unrelated Language,0.11957739906669239,1.0001258856820245,2
Chepang,Unrelated Language,-0.16020040482696127,0.9080443238755497,2
Thulung,Unrelated Language,-0.43931628247169496,0.9205508919162876,2
Sunwar,Unrelated Language,-0.10886109626120571,0.96206932553736,2
Khaling,Unrelated Language,-0.21270274847882506,0.8689763270701388,2
Bodo,Unrelated Language,-0.34679860537068574,0.9677602262049807,2
Garo,Unrelated Language,-0.4354348212364767,0.977626926863649,2
Nocte,Unrelated Language,-0.29112082216161483,0.9398394486317979,2
Lotha,Unrelated Language,-0.36930224401084855,0.5196013900799906,2
Ao,Unrelated Language,-0.4378624934335106,0.9580021875161971,2
Angami,Unrelated Language,0.3441181804734765,0.5353336262912759,2
Tangkhul,Unrelated Language,-0.4010354604319474,0.7784268987289226,2
Thado,Unrelated Language,0.20831199696877561,1.083915838156706,2
Khasi,Unrelated Language,1.2022699490795437,-0.8955734834058982,Noise
Kusunda,Unrelated Language,-0.43564983320719375,1.1288081001721697,2
Maung,Unrelated Language,1.6169005338462068,0.9635862286156792,2
Ngalkbon,Unrelated Language,-0.12331584265330903,1.7276255501473683,2
Wagiman,Unrelated Language,-0.2900556124770274,1.6270342471977959,2
Marithiyel,Unrelated Language,0.6983926331509166,1.4318814051025377,2
Maranungku,Unrelated Language,-0.14239650712029675,1.1401510463233602,2
Gugu Yalandyi,Unrelated Language,-0.17369924560238828,1.045296250770926,2
Pitta-Pitta,Unrelated Language,-0.1663613923815847,1.0735038244618893,2
Kalkatungu,Unrelated Language,-0.19149811610433168,0.40395888525246165,2
Yalarnnga,Unrelated Language,-1.024319198213304,-0.7192048500183259,1
Aranda,Unrelated Language,-0.4452406008194998,-0.5738039886941196,6
Nhanda,Unrelated Language,-0.38841706247688806,0.615565903136483,2
Eyak,Unrelated Language,0.38979138982014494,1.3787734631791573,2
Hare,Unrelated Language,1.2608405085746959,1.6866212541331496,8
Slave,Unrelated Language,1.2608405085746959,1.6866212541331496,8
Chipewyan,Unrelated Language,-0.2704837016956143,1.3353401177298705,2
Yurok,Unrelated Language,-0.2838298711178351,0.761693942886496,2
Blackfoot,Unrelated Language,0.2922472541876737,1.1124726856757696,2
Arapaho,Unrelated Language,-1.1535150875448548,-0.7365713346306332,1
Shawnee,Unrelated Language,0.8339758292890317,-2.0616866899784636,Noise
Micmac,Unrelated Language,-0.680198688610652,0.062304332795338736,2
Bella Coola,Unrelated Language,1.2779259738110524,-3.4998878153887287,Noise
Halkomelem,Unrelated Language,-1.3676737217282202,-2.202919385249465,1
Lushootseed,Unrelated Language,0.24430087990168042,-2.958417547180886,9
Upper Chehalis,Unrelated Language,1.2308995591590484,-1.4778016644572092,Noise
Cowlitz,Unrelated Language,0.14822992728489642,-2.7225217427830852,9
Coeur dAlene,Unrelated Language,-1.6092736124852143,-1.5786348691022356,1
