"model","WAIC","dWAIC","WAIC_SE","pWAIC","LOOIC","nRMSE"
"m_lin",-91.8370079219105,0,7.4686239963404,2.75078720827548,-91.7235597705235,0.189224260328492
"m_spline",-89.3059402849962,2.53106763691424,7.18993943650619,5.35281402765479,-88.4048433832515,0.189566675669227
"m_exp",-76.0849109603429,15.7520969615676,7.70434729645985,1.58901931059702,-76.0406550969634,0.262296779016764
