"population","glottocode","glottolog_name","level","subgroup","colour","match_tier","note"
"Kinaray-a","kina1250","Kinaray-a","language","Central Philippine","#565153",1,NA
"Lambanguian","tiru1241","Tiruray","language","Bilic","#BA7862",5,"Lambangian are a Teduray-Dulangan community, Maguindanao"
"Maguindanaon","magu1243","Maguindanao","language","Danaw","#C573F1",4,NA
"Malaweg","mala1534","Malaweg","language","Cagayan Valley","#79F287",1,NA
"Mamanwa","mama1275","Minamanwa","language","Central Philippine","#565153",4,NA
"Mandaya","kara1489","Mandaya","language","Central Philippine","#565153",1,NA
"Manguangan","diba1242","Dibabawon Manobo","language","Manobo","#F16DEF",5,"no Mangguangan row in this Glottolog build; nearest attested relative, Davao de Oro neighbour"
"MangyanBangon","east2482","Eastern Tawbuid","language","South Mangyan","#85DEF2",5,"no Bangon Mangyan row; Bangon groups with Tawbuid, same province"
"MangyanBuhid","buhi1245","Buhid","language","South Mangyan","#85DEF2",4,NA
"MangyanHanunuo","hanu1241","Hanunoo","language","South Mangyan","#85DEF2",4,NA
"MangyanIraya","iray1237","Iraya","language","North Mangyan","#ECBEBD",4,NA
"ManoboAgusan","agus1235","Agusan Manobo","language","Manobo","#F16DEF",3,NA
"ManoboDulangan","cota1241","Cotabato Manobo","language","Manobo","#F16DEF",4,NA
"ManoboIlianen","ilia1236","Ilianen Manobo","language","Manobo","#F16DEF",3,NA
"ManoboRK","raja1254","Rajah Kabunsuwan Manobo","language","Manobo","#F16DEF",4,NA
"ManoboSarangani","sara1327","Sarangani Manobo","language","Manobo","#F16DEF",3,NA
"ManoboTagabawa","taga1272","Tagabawa","language","Manobo","#F16DEF",4,NA
"Mansaka","mans1262","Mansaka","language","Central Philippine","#565153",1,NA
"Meranao","mara1404","Maranao","language","Danaw","#C573F1",4,NA
"Molbog","molb1237","Molbog","language","Palawanic-Kalamian","#87B1F1",1,NA
"Obo","obom1235","Obo Manobo","language","Manobo","#F16DEF",4,NA
"OvuManuvo","obom1235","Obo Manobo","language","Manobo","#F16DEF",4,NA
"Palawano","cent2091","Central Palawano","language","Palawanic-Kalamian","#87B1F1",4,NA
"Pangasinan","pang1290","Pangasinan","language","Meso-Cordilleran","#EA7B81",1,NA
"SamaBangingi","bala1311","Balangingi","language","Greater Barito linkage","#A74B82",4,NA
"SamaDeyaBonggao","cent2092","Central Sama","language","Greater Barito linkage","#A74B82",4,NA
"SamaDilautBonggao","sout2918","Southern Sama","language","Greater Barito linkage","#A74B82",4,NA
"SamaDilautMampang","sout2918","Southern Sama","language","Greater Barito linkage","#A74B82",4,NA
"SamaDilautTaluksangay","sout2918","Southern Sama","language","Greater Barito linkage","#A74B82",4,NA
"SamaKabingaan","kabi1262","Kabinga'an","dialect","Greater Barito linkage","#A74B82",5,"Glottolog dialect-level node, no language-level entry"
"Sambal","tina1248","Tinà Sambal","language","Sambalic","#F1C878",4,NA
"Sangil","sang1337","Sangil","language","Sangiric","#A852A0",1,NA
"Subanen","suba1253","Subanen","family","Subanen","#7CF2D9",1,NA
"Subanon","west2557","Western Subanon","language","Subanen","#7CF2D9",4,NA
"Sulodnon","sulo1237","Sulod","language","Central Philippine","#565153",4,NA
"Surigaonon","suri1273","Surigaonon","language","Central Philippine","#565153",1,NA
"Tagakaolo","taga1268","Tagakaulu Kalagan","language","Central Philippine","#565153",4,NA
"Tagalog","taga1270","Tagalog","language","Central Philippine","#565153",1,NA
"Tagbanwa","tagb1258","Tagbanwa","language","Palawanic-Kalamian","#87B1F1",1,NA
"Tausug","taus1251","Tausug","language","Central Philippine","#565153",1,NA
"Tboli","tbol1240","Tboli","language","Tboli-Blaan","#5C7193",1,NA
"Teduray","tiru1241","Tiruray","language","Bilic","#BA7862",4,NA
"TuwaliIfugao","tuwa1243","Tuwali Ifugao","language","Meso-Cordilleran","#EA7B81",2,NA
"Waray","wara1247","Waray","dialect","Central Philippine","#565153",1,NA
"Yakan","yaka1277","Yakan","language","Greater Barito linkage","#A74B82",1,NA
"Yogad","yoga1237","Yogad","language","Cagayan Valley","#79F287",1,NA
