lon,lat,log_w_ratio_null_mean,log_w_ratio_null_sd,log_w_ratio_obs,z_obs_vs_null
119.14448586473975,4.036578851930726,-0.29859366184044545,0.6967637436802179,0.04992535305813561,0.5001968286377069
119.18192926107471,4.036578851930726,-0.2985921214859787,0.6960205966100305,0.05091941031158198,0.5021568808449882
119.14448586473975,4.08179095018668,-0.29742822782977185,0.6899975381161753,0.04967695957314788,0.5030527911021002
119.18192926107471,4.08179095018668,-0.29879728481390594,0.6975982389743038,0.050340044660103445,0.5004848205857784
119.21937265740966,4.08179095018668,-0.29853279957623696,0.6962944241240138,0.0490472331352203,0.49918543172126767
119.25681605374461,4.08179095018668,-0.29815569668011216,0.6936627007737239,0.049089929066732374,0.500597228825365
119.29425945007956,4.08179095018668,-0.29767082497430236,0.6897713450050567,0.05041063104874244,0.5046331056569088
119.33170284641452,4.08179095018668,-0.29718595326849245,0.6859007756984719,0.0517313330307525,0.5086993609883773
119.36914624274947,4.08179095018668,-0.296701081562683,0.6820513467369879,0.053052035012762566,0.5127958741650532
119.40658963908442,4.08179095018668,-0.29621620985687314,0.6782234180828647,0.05437273699477263,0.5169225029749874
119.44403303541937,4.08179095018668,-0.2957313381510633,0.6744173558372905,0.055693438976782694,0.5210790826869386
119.1070424684048,4.127003048442634,-0.29320199712691875,0.6668747062198729,0.04468891984917356,0.5066782617853368
119.14448586473975,4.127003048442634,-0.2965437338221865,0.6848087860730155,0.049524809171572315,0.5053506176202307
119.18192926107471,4.127003048442634,-0.2988697976245122,0.6976132307486044,0.051333751628006574,0.5020024475119509
119.21937265740966,4.127003048442634,-0.29860531238684346,0.6963100738222922,0.05004094010312343,0.5007054552235966
119.25681605374461,4.127003048442634,-0.2983408271491746,0.6950130755963361,0.04874812857824029,0.4993991737919537
119.29425945007956,4.127003048442634,-0.2980763419115061,0.693722270614057,0.04745531705335715,0.4980835611043762
119.33170284641452,4.127003048442634,-0.29771927187424524,0.6913362773071807,0.04726044782188321,0.49900421982751525
119.36914624274947,4.127003048442634,-0.2972344001684357,0.6874463485197447,0.048581149803893275,0.5030436931070505
119.40658963908442,4.127003048442634,-0.29674952846262587,0.6835772930939128,0.04990185178590334,0.5071136559840421
119.44403303541937,4.127003048442634,-0.2962646567568163,0.6797294674665539,0.051222553767913404,0.511213986087528
119.48147643175432,4.127003048442634,-0.29577978505100655,0.6759032342128731,0.05254325574992347,0.5153445392321159
119.51891982808927,4.127003048442634,-0.2952949133451965,0.6720989621066003,0.05386395773193353,0.519505148442337
119.55636322442422,4.127003048442634,-0.2948100416393868,0.6683170261772565,0.055184659713943596,0.5236956229520059
119.59380662075918,4.127003048442634,-0.2943251699335769,0.6645578077641884,0.05650536169595455,0.5279157471790928
119.63125001709413,4.127003048442634,-0.29384029822776736,0.6608216945671288,0.05782606367796461,0.5321652796766774
119.66869341342908,4.127003048442634,-0.29335542652195756,0.6571090806929173,0.059146765659974676,0.5364439520607766
119.70613680976403,4.127003048442634,-0.29287055481614804,0.6534203666981185,0.06046746764198474,0.5407514679158687
119.74358020609898,4.127003048442634,-0.29238568311033813,0.6497559596271582,0.061788169623994804,0.5450875016791911
119.06959907206985,4.172215146698588,-0.2912658020675538,0.6564653933217048,0.04048538958993575,0.5053597570145071
119.1070424684048,4.172215146698588,-0.29019895767535814,0.6502712836923612,0.043811008275710606,0.5136471105636068
119.14448586473975,4.172215146698588,-0.29565923981460246,0.6796351708990579,0.0493726587700003,0.5076722238023321
119.18192926107471,4.172215146698588,-0.29894231043511854,0.697630247234649,0.052327458595909704,0.5035185478603226
119.21937265740966,4.172215146698588,-0.2986778251974496,0.6963277519906387,0.05103464707102656,0.5022239473706596
119.25681605374461,4.172215146698588,-0.2984133399597809,0.6950314177651017,0.04974183554614342,0.5009200542695318
119.29425945007956,4.172215146698588,-0.2981488547221123,0.6937412790957234,0.04844902402126028,0.4996068263303509
119.33170284641452,4.172215146698588,-0.2978843694844436,0.6924573706118988,0.04715621249637714,0.4982842217072817
119.36914624274947,4.172215146698588,-0.2976198842467748,0.6911797270324779,0.04586340097149311,0.49695219894973564
119.40658963908442,4.172215146698588,-0.2972828470683787,0.6890416449926281,0.04543096657703405,0.49737750415517973
119.44403303541937,4.172215146698588,-0.29679797536256874,0.6851533333007406,0.04675166855904411,0.5014200868972719
119.48147643175432,4.172215146698588,-0.29631310365675917,0.681285983637105,0.04807237054105418,0.5054932619621517
119.51891982808927,4.172215146698588,-0.29582823195094926,0.6774399550040809,0.04939307252306424,0.5095969051189694
119.55636322442422,4.172215146698588,-0.2953433602451396,0.673615612600969,0.050713774505074305,0.5137308700640352
119.59380662075918,4.172215146698588,-0.2948584885393298,0.6698133278846549,0.05203447648708526,0.5178949874317098
119.63125001709413,4.172215146698588,-0.2943736168335201,0.6660334786272751,0.05335517846909532,0.522089063779947
119.66869341342908,4.172215146698588,-0.29388874512771024,0.6622764489705745,0.054675880451105385,0.5263128805510381
119.70613680976403,4.172215146698588,-0.29340387342190066,0.6585426294767038,0.05599658243311545,0.5305661930081267
119.74358020609898,4.172215146698588,-0.29291900171609087,0.6548324171751136,0.05731728441512551,0.5348487291482961
119.78102360243393,4.172215146698588,-0.292434130010281,0.6511462156052237,0.05863798639713558,0.539160188593132
119.81846699876888,4.172215146698588,-0.29194925830447144,0.6474844348545382,0.05995868837914564,0.543500241457813
119.85591039510383,4.172215146698588,-0.2914643865986614,0.6438474915918276,0.061279390361155706,0.5478685271999816
119.89335379143878,4.172215146698588,-0.29097951489285184,0.6402358090950315,0.06260009234316577,0.5522646534497965
119.93079718777373,4.172215146698588,-0.29049464318704193,0.6366498172734701,0.06392079432517583,0.5566881948227752
119.96824058410868,4.172215146698588,-0.29000977148123247,0.6330899526839844,0.0652414963071859,0.5611386917172368
120.00568398044365,4.172215146698588,-0.2895248997754225,0.6295566585405693,0.06656219828919596,0.5656156490983596
119.0321556757349,4.217427244954542,-0.2893296070081887,0.6461283824052024,0.036281859330696165,0.5039423668819523
