phoneme,ipa,class,rate_structure,q01_base,q10_base,stationary_p_present,austronesian_prevalence,loglik_1reg,base_rate_saturated,start_used
phoneme_598,ˀd,consonant,ER,0.010932577079090273,0.010932577079090273,0.5,0.01744186046511628,-13.829575605869422,FALSE,bounded_1d
phoneme_609,ͫb,consonant,ARD,0.028919822410781514,0.33257966608924233,0.07999962193799787,0.13372093023255813,-48.676573167833055,FALSE,ip
phoneme_619,ṭ,consonant,ER,0.011112952091304674,0.011112952091304674,0.5,0.02906976744186046,-16.452811024526667,FALSE,bounded_1d
phoneme_631,kʰ,consonant,ER,0.02727697014779099,0.02727697014779099,0.5,0.04651162790697674,-33.15473154322698,FALSE,bounded_1d
phoneme_632,b,consonant,ER,0.10956969611768486,0.10956969611768486,0.5,0.5697674418604651,-66.82454628513152,FALSE,bounded_1d
phoneme_633,c,consonant,ARD,0.15427657697081854,2.164966172982636,0.06652023682036508,0.06976744186046512,-40.22364659061759,FALSE,ace
phoneme_634,d,consonant,ER,0.08450353129151905,0.08450353129151905,0.5,0.5523255813953488,-63.326206856119164,FALSE,bounded_1d
phoneme_639,k,consonant,ARD,6.577853277765898,0.11977804672404578,0.9821163571237377,0.9825581395348836,-15.07383857651032,TRUE,ip
phoneme_644,ḍ,consonant,ER,0.011122757136795518,0.011122757136795518,0.5,0.02906976744186046,-16.15160340657531,FALSE,bounded_1d
phoneme_648,p,consonant,ER,0.05302978239781322,0.05302978239781322,0.5,0.8895348837209303,-53.57046668557541,FALSE,bounded_1d
phoneme_649,q,consonant,ARD,9.999999999999982e-9,0.19585355704355267,5.105855436258787e-8,0.03488372093023256,-12.804892467099164,FALSE,ace
phoneme_652,t,consonant,ARD,12.703022986464765,0.2274825296825964,0.9824072980442627,0.9825581395348836,-15.100432986707755,TRUE,ace
phoneme_653,ɡ,consonant,ER,0.06545100898279495,0.06545100898279495,0.5,0.5406976744186046,-56.63592431544159,FALSE,bounded_1d
phoneme_703,ɾ̣,consonant,ER,0.010913597964594866,0.010913597964594866,0.5,0.01744186046511628,-15.05004745376673,FALSE,bounded_1d
phoneme_704,r,consonant,ER,0.40281113063787966,0.40281113063787966,0.5,0.48255813953488375,-109.39653732102518,FALSE,bounded_1d
phoneme_706,ɹ,consonant,ARD,0.24929392395564515,10.345900471681329,0.02352896177707722,0.02325581395348837,-18.966690817335007,TRUE,ace
phoneme_711,ɾ,consonant,ARD,0.28571059959978984,1.0115089795160492,0.220248448450435,0.2616279069767442,-95.043092074914,FALSE,ace
phoneme_718,ɹ̣,consonant,ARD,0.029450239133410754,1.2234781924705738,0.023505124786504284,0.02325581395348837,-18.601079199154213,FALSE,ip
