model,beta,beta_se,beta_excl_saturated,n_phonemes_D1,loglik,loglik_baseline,LR,df,p_value,beta_at_bound,se_na
austronesian,0,NA,0,NA,-3613.3123407124235,-3613.3123407124235,0,0,NA,FALSE,NA
span,0.047894670105712,0.17689579548523326,0.030002160231528765,24,-3613.2762633573643,-3613.3123407124235,0.07215471011841146,1,0.788224976910728,FALSE,FALSE
eng,0.12017893485746631,0.16485106263613128,0.055650415639680394,32,-3613.0588095621947,-3613.3123407124235,0.5070623004576191,1,0.47641333651061907,FALSE,FALSE
jap,0.3165211476094612,0.15450223405717545,0.3267253931257474,23,-3611.415819085738,-3613.3123407124235,3.793043253371252,1,0.051465995181958345,FALSE,FALSE
unrelated,0.3269866808571706,0.21423351077777314,0.3238444106991707,81,-3612.2097409068074,-3613.3123407124235,2.205199611232274,1,0.13754608859833198,FALSE,FALSE
