"phoneme","ruhlen_ipa","ipa","class","modification_type","global_n_ruhlen","global_n_phoible","IDF_ruhlen","IDF_phoible","idf_shift","variance_shift_dir","in_ruhlen","in_phoible"
"phoneme_194","ˀn!","ˀn!","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_195","ɡǁkˣˀ","ɡǁkˣˀ","click","glottalized",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_196","+kˣˀ","+kˣˀ","click","glottalized",0,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_197","ʘkˣˀ","ʘkˣˀ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_199","!kˣˀ","!kˣˀ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_202","ˀnǂ","ˀnǂ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_203","ˀn/","ˀn/","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_207","ɡ!kˣˀ","ɡ!kˣˀ","click","glottalized",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_216","ǁˀ","ǁˀ","click","glottalized",27,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_218","+ˀ","+ˀ","click","glottalized",0,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_228","ˀnǁ","ˀnǁ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_246","!ˀ","!ˀ","click","glottalized",24,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_247","ɡʘkˣˀ","ɡʘkˣˀ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_255","q!ˀ","q!ˀ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_257","ǂˣˀ","ǂˣˀ","click","glottalized",13,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_259","ʘˣˀ","ʘˣˀ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_268","qʘˀ","qʘˀ","click","glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_273","ɡǂkˣˀ","ɡǂkˣˀ","click","glottalized",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_275","ǂˀ","ǂˀ","click","glottalized",18,NA,1,NA,NA,NA,TRUE,FALSE
