lon,lat,log_w_ratio_null_mean
110.12492656946229,0.5169609350794968,-1.2884642856538627e-05
110.18731072153703,0.5169609350794968,-1.2912346014757891e-05
110.24969487361176,0.5169609350794968,-1.2940049172977149e-05
110.3120790256865,0.5169609350794968,-1.2967752331196403e-05
110.37446317776124,0.5169609350794968,-1.2995455489415669e-05
110.43684732983598,0.5169609350794968,-1.3023158647634926e-05
110.49923148191073,0.5169609350794968,-1.3050861805854175e-05
110.56161563398545,0.5169609350794968,-1.3078564964073433e-05
110.6239997860602,0.5169609350794968,-1.3106268122292685e-05
110.68638393813494,0.5169609350794968,-1.3133971280511951e-05
110.74876809020968,0.5169609350794968,-1.3161674438731207e-05
110.81115224228442,0.5169609350794968,-1.3189377596950466e-05
110.87353639435915,0.5169609350794968,-1.3217080755169727e-05
110.93592054643389,0.5169609350794968,-1.324478391338899e-05
110.99830469850863,0.5169609350794968,-1.3272487071608243e-05
111.06068885058338,0.5169609350794968,-1.3300190229827492e-05
111.12307300265812,0.5169609350794968,-1.3327893388046768e-05
111.18545715473284,0.5169609350794968,-1.3355596546266004e-05
111.24784130680759,0.5169609350794968,-1.3383299704485271e-05
111.31022545888233,0.5169609350794968,-1.341100286270451e-05
111.37260961095707,0.5169609350794968,-1.3438706020923793e-05
111.43499376303181,0.5169609350794968,-1.3466409179143047e-05
111.49737791510654,0.5169609350794968,-1.3494112337362289e-05
111.55976206718128,0.5169609350794968,-1.352181549558156e-05
111.62214621925602,0.5169609350794968,-1.3549518653800802e-05
111.68453037133077,0.5169609350794968,-1.3577221812020063e-05
111.74691452340551,0.5169609350794968,-1.3604924970239329e-05
111.80929867548025,0.5169609350794968,-1.3632628128458576e-05
111.87168282755498,0.5169609350794968,-1.3660331286677844e-05
111.93406697962972,0.5169609350794968,-1.368803444489709e-05
111.99645113170446,0.5169609350794968,-1.3715737603116362e-05
112.0588352837792,0.5169609350794968,-1.3743440761335614e-05
110.06254241738755,0.5716563224932484,-1.2871387762112944e-05
110.12492656946229,0.5716563224932484,-1.28861650623427e-05
110.18731072153703,0.5716563224932484,-1.2905982360492125e-05
110.24969487361176,0.5716563224932484,-1.2928929019500454e-05
110.3120790256865,0.5716563224932484,-1.295663217771971e-05
110.37446317776124,0.5716563224932484,-1.2984335335938965e-05
110.43684732983598,0.5716563224932484,-1.3012038494158234e-05
110.49923148191073,0.5716563224932484,-1.3039741652377488e-05
110.56161563398545,0.5716563224932484,-1.3067444810596732e-05
110.6239997860602,0.5716563224932484,-1.3095147968815997e-05
110.68638393813494,0.5716563224932484,-1.3122851127035254e-05
110.74876809020968,0.5716563224932484,-1.3150554285254511e-05
110.81115224228442,0.5716563224932484,-1.3178257443473774e-05
110.87353639435915,0.5716563224932484,-1.320596060169302e-05
110.93592054643389,0.5716563224932484,-1.3233663759912285e-05
110.99830469850863,0.5716563224932484,-1.3261366918131536e-05
111.06068885058338,0.5716563224932484,-1.3289070076350788e-05
111.12307300265812,0.5716563224932484,-1.3316773234570058e-05
111.18545715473284,0.5716563224932484,-1.33444763927893e-05
111.24784130680759,0.5716563224932484,-1.3372179551008574e-05
111.31022545888233,0.5716563224932484,-1.3399882709227815e-05
111.37260961095707,0.5716563224932484,-1.3427585867447089e-05
111.43499376303181,0.5716563224932484,-1.3455289025666346e-05
111.49737791510654,0.5716563224932484,-1.3482992183885589e-05
111.55976206718128,0.5716563224932484,-1.3510695342104851e-05
111.62214621925602,0.5716563224932484,-1.3538398500324107e-05
111.68453037133077,0.5716563224932484,-1.3566101658543378e-05
111.74691452340551,0.5716563224932484,-1.3593804816762622e-05
111.80929867548025,0.5716563224932484,-1.362150797498189e-05
111.87168282755498,0.5716563224932484,-1.3649211133201143e-05
111.93406697962972,0.5716563224932484,-1.3676914291420404e-05
111.99645113170446,0.5716563224932484,-1.3707711439558301e-05
112.0588352837792,0.5716563224932484,-1.3741634496068326e-05
112.12121943585394,0.5716563224932484,-1.3771161759237133e-05
112.18360358792867,0.5716563224932484,-1.3799114718930273e-05
112.24598774000341,0.5716563224932484,-1.3821704351647366e-05
112.30837189207816,0.5716563224932484,-1.384429398436449e-05
112.3707560441529,0.5716563224932484,-1.3866883617081596e-05
109.93777411323806,0.626351709907,-1.2845757942336973e-05
110.0001582653128,0.626351709907,-1.2859619763330988e-05
110.06254241738755,0.626351709907,-1.2873481584324995e-05
110.12492656946229,0.626351709907,-1.2888228379360415e-05
110.18731072153703,0.626351709907,-1.290804567750984e-05
110.24969487361176,0.626351709907,-1.2927862975659257e-05
110.3120790256865,0.626351709907,-1.2947680273808677e-05
110.37446317776124,0.626351709907,-1.2973215182462266e-05
110.43684732983598,0.626351709907,-1.3000918340681522e-05
110.49923148191073,0.626351709907,-1.3028621498900785e-05
110.56161563398545,0.626351709907,-1.305632465712003e-05
110.6239997860602,0.626351709907,-1.3084027815339293e-05
110.68638393813494,0.626351709907,-1.3111730973558559e-05
110.74876809020968,0.626351709907,-1.3139434131777818e-05
110.81115224228442,0.626351709907,-1.3167137289997074e-05
110.87353639435915,0.626351709907,-1.3194840448216331e-05
110.93592054643389,0.626351709907,-1.3222543606435582e-05
110.99830469850863,0.626351709907,-1.3250246764654832e-05
111.06068885058338,0.626351709907,-1.3277949922874091e-05
111.12307300265812,0.626351709907,-1.3305653081093349e-05
111.18545715473284,0.626351709907,-1.3333356239312608e-05
111.24784130680759,0.626351709907,-1.3361059397531865e-05
111.31022545888233,0.626351709907,-1.3388762555751111e-05
111.37260961095707,0.626351709907,-1.3416465713970385e-05
111.43499376303181,0.626351709907,-1.3444168872189641e-05
111.49737791510654,0.626351709907,-1.34718720304089e-05
111.55976206718128,0.626351709907,-1.3499575188628146e-05
111.62214621925602,0.626351709907,-1.3527278346847418e-05
111.68453037133077,0.626351709907,-1.3554981505066676e-05
111.74691452340551,0.626351709907,-1.3582684663285925e-05
111.80929867548025,0.626351709907,-1.361038782150519e-05
111.87168282755498,0.626351709907,-1.3639100084956572e-05
111.93406697962972,0.626351709907,-1.3673023141466595e-05
111.99645113170446,0.626351709907,-1.370694619797662e-05
112.0588352837792,0.626351709907,-1.3740869254486639e-05
