"","Agta","Atta","Balangaw","Batak","Cotabato Bilaan","Sarangani Bilaan","Binukid","Central Bontok","Buhid","Cebuano","Kuyunon","Casiguran Dumagat","Gaddang","Hanunoo","Hiligaynon","Ibanag","Central Ifugao","East Ifugao","Ilokano","Ilongot","Inibaloi","Iraya","Isnag","Itbayaten","Itneg","Ivatanen","Kalagan","North Kalinga","Central Kalinga","South Kalinga","North Kallahan","North Kankanay","Kapampangan","Magindanao","Mamanwa","Ata","Dibabawon","Ilianen","Kalamansig","Sarangani Manobo","Tigwa","Western Bukidnon","Mansakan","Maranao","Naga","Pangasinan","Waray","Tina","Sangil","Siocon Subanon","Sindangan","Tagalog","Tagbanwa","Kalamianen","Tausug","Tboli","Tiruray","Yogad"
"Kuyunon",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4428.04484206979,4428.04484206979,4428.04484206979,6010.6341046086,5090.47159841496,3201.70265576022,0,6010.6341046086,6010.6341046086,5090.47159841496,2505.66236918713,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3833.87636216406,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,3201.70265576022,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,3833.87636216406,4428.04484206979,3201.70265576022,6010.6341046086,3201.70265576022,6010.6341046086,6760.46798272896,4428.04484206979,4428.04484206979,5222.45424519902,4800.21412629267,4800.21412629267,3201.70265576022,4428.04484206979,4428.04484206979,6010.6341046086
"Casiguran Dumagat",3304.84652510398,3304.84652510398,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,0,3304.84652510398,6010.6341046086,6010.6341046086,3304.84652510398,4286.52922538778,4286.52922538778,3934.20179846154,4286.52922538778,4286.52922538778,6010.6341046086,3304.84652510398,4906.1939289813,4286.52922538778,4906.1939289813,6010.6341046086,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3304.84652510398
"Gaddang",2481.36302006827,2481.36302006827,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,3304.84652510398,0,6010.6341046086,6010.6341046086,2481.36302006827,4286.52922538778,4286.52922538778,3934.20179846154,4286.52922538778,4286.52922538778,6010.6341046086,2481.36302006827,4906.1939289813,4286.52922538778,4906.1939289813,6010.6341046086,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2013.7564634882
"Hanunoo",6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,6010.6341046086,2551.61623839372,5090.47159841496,5090.47159841496,6010.6341046086,6010.6341046086,0,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3475.76665788696,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,6010.6341046086,5090.47159841496,6010.6341046086,6760.46798272896,5090.47159841496,5090.47159841496,5222.45424519902,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,6010.6341046086
"Hiligaynon",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4428.04484206979,4428.04484206979,4428.04484206979,6010.6341046086,5090.47159841496,3201.70265576022,2505.66236918713,6010.6341046086,6010.6341046086,5090.47159841496,0,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3833.87636216406,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,3201.70265576022,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,3833.87636216406,4428.04484206979,3201.70265576022,6010.6341046086,3201.70265576022,6010.6341046086,6760.46798272896,4428.04484206979,4428.04484206979,5222.45424519902,4800.21412629267,4800.21412629267,3201.70265576022,4428.04484206979,4428.04484206979,6010.6341046086
"Ibanag",2281.10214041624,873.068701156777,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,3304.84652510398,2481.36302006827,6010.6341046086,6010.6341046086,0,4286.52922538778,4286.52922538778,3934.20179846154,4286.52922538778,4286.52922538778,6010.6341046086,1731.82129266329,4906.1939289813,4286.52922538778,4906.1939289813,6010.6341046086,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2481.36302006827
"Central Ifugao",4286.52922538778,4286.52922538778,2325.01746338406,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2325.01746338406,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,4286.52922538778,6010.6341046086,6010.6341046086,4286.52922538778,0,821.595660098417,4286.52922538778,3538.80768883702,3538.80768883702,6010.6341046086,4286.52922538778,4906.1939289813,2793.63572961396,4906.1939289813,6010.6341046086,2793.63572961396,2793.63572961396,2793.63572961396,3538.80768883702,2325.01746338406,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"East Ifugao",4286.52922538778,4286.52922538778,2325.01746338406,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2325.01746338406,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,4286.52922538778,6010.6341046086,6010.6341046086,4286.52922538778,821.595660098417,0,4286.52922538778,3538.80768883702,3538.80768883702,6010.6341046086,4286.52922538778,4906.1939289813,2793.63572961396,4906.1939289813,6010.6341046086,2793.63572961396,2793.63572961396,2793.63572961396,3538.80768883702,2325.01746338406,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"Ilokano",3934.20179846154,3934.20179846154,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,3934.20179846154,3934.20179846154,6010.6341046086,6010.6341046086,3934.20179846154,4286.52922538778,4286.52922538778,0,4286.52922538778,4286.52922538778,6010.6341046086,3934.20179846154,4906.1939289813,4286.52922538778,4906.1939289813,6010.6341046086,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3934.20179846154
"Ilongot",4286.52922538778,4286.52922538778,3538.80768883702,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,4286.52922538778,6010.6341046086,6010.6341046086,4286.52922538778,3538.80768883702,3538.80768883702,4286.52922538778,0,2752.71455393814,6010.6341046086,4286.52922538778,4906.1939289813,3538.80768883702,4906.1939289813,6010.6341046086,3538.80768883702,3538.80768883702,3538.80768883702,2752.71455393814,3538.80768883702,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2752.71455393814,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"Inibaloi",4286.52922538778,4286.52922538778,3538.80768883702,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,4286.52922538778,6010.6341046086,6010.6341046086,4286.52922538778,3538.80768883702,3538.80768883702,4286.52922538778,2752.71455393814,0,6010.6341046086,4286.52922538778,4906.1939289813,3538.80768883702,4906.1939289813,6010.6341046086,3538.80768883702,3538.80768883702,3538.80768883702,888.535677008973,3538.80768883702,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2188.07628592418,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
