glottocode,PC1,PC2,language,longitude,latitude,subgroup,colour,rotPC1,rotPC2,rotLongitude,rotLatitude
aben1249,-0.8118009945991709,2.888823636931856,Ayta Abellen,120.2,15.4131,Sambalic,#F1C878,-0.1047518596750465,-0.031460603968111525,117.5987255417346,11.336888456052991
agut1237,-0.19090932365459265,0.6201488610351165,Agutyanen,119.655,10.5328,Palawanic-Kalamian,#87B1F1,-0.022812342156827148,-0.006241721667500923,121.2226662662878,12.45224448163095
akla1241,-1.1588921338957114,-0.997364042663991,Aklanon - Bisayan,122.354,11.5543,Central Philippine,#565153,0.008047819348354038,0.05514597951268112,122.58751926313451,15.167239602807973
alab1246,-1.3809830708099566,-0.4869753989746616,Inagta Alabat,122.014,14.1217,Central Philippine,#565153,-0.011996327226886866,0.052008178249918574,121.70102638078653,15.028464001900252
alan1249,0.3476459204082346,-2.2304106462943607,Alangan,121.022,13.0982,North Mangyan,#ECBEBD,0.07542356692803596,0.03287927819207245,125.56734783543402,14.182449746078902
amba1267,-0.8928259549433406,2.7395922610695727,Ayta Ambala,120.283,14.8156,Sambalic,#F1C878,-0.10174291988936425,-0.026051798597400415,117.73180198344829,11.576103802295952
amga1235,-1.6458211428449785,-0.690006013388844,"Ifugao, Amganad",121.042,16.9016,Meso-Cordilleran,#EA7B81,-0.010923189190557805,0.06412415528281112,121.74848807876462,15.564317567031237
arta1239,-0.8862835795534009,0.7622655945024418,Arta,121.656,16.4185,Northern Luzon,#7E6E40,-0.040771245051837164,0.012378872641865159,120.42839749902234,13.275777888672202
atam1240,-0.640717988298561,0.7308549239478853,"Manobo, Ata (down-river); Manobo, Ata (up-river)",125.499,7.7789,Manobo,#F16DEF,-0.03500698126373837,0.0054363170781592226,120.68333371199324,12.968729341135989
atii1237,2.519813775359836,-1.1459606971633065,"Inati (Hamtic); Inati (Jordan, Guimaras); Inati (Nagpana); Sogodnin (Boracay); Sogodnin (Iloilo)",122.512,11.1539,Malayo-Polynesian,#C1E868,0.08449290431748475,-0.05514740932920387,125.96845760646762,10.2892916287524
babu1242,-0.7980215645125804,0.93131990106426,Babuyan,121.96,19.48,Ibatan,#EF7AD0,-0.04424875774130048,0.006360087403545121,120.27459747386726,13.009584950293748
bala1310,-1.6900665510038837,-0.6655621450018935,Balangaw,121.272,17.0994,Meso-Cordilleran,#EA7B81,-0.01253978959667524,0.06500804866894828,121.67699065939361,15.603409537977655
bant1288,1.9691797835669893,0.5213610150790629,Bantoanon (Banton),122.034,12.5194,Central Philippine,#565153,0.02243013850809756,-0.07077924917917557,123.22360638806697,9.597941926584454
bata1298,-1.653012591871623,0.14120705694086497,"Ifugao, Batad",121.23,16.8266,Meso-Cordilleran,#EA7B81,-0.036640753676968695,0.0481056308576422,120.6110768259109,14.855865958212423
bata1301,-0.9953832980820685,1.230236786058063,"Batak, Palawan; Palawan Batak",119.025,10.1115,Palawanic-Kalamian,#87B1F1,-0.057302610243587265,0.00659297543056592,119.69726447108471,13.01988489384899
bino1237,-1.8239481953716927,-0.7195875972477446,"Itneg, Binongan",120.876,17.5972,Meso-Cordilleran,#EA7B81,-0.013493095409015587,0.07018321055264469,121.63482878364758,15.832291528920702
binu1244,-1.6275786407577701,-0.5566027224005679,Binukid,124.892,8.15933,Manobo,#F16DEF,-0.014671697882418571,0.060956455084047505,121.58270270784448,15.424219625266785
boli1256,-0.16504493241383658,3.4148455213262507,Bolinao,119.853,16.3071,Sambalic,#F1C878,-0.10830196998472183,-0.06163892583563755,117.44171474013905,10.002191194867814
boto1242,-0.1750337685788796,3.8454351623154164,"Botolan Sambal; Sambal, Botolan",120.164,15.2315,Sambalic,#F1C878,-0.12174669915643045,-0.06974419928259379,116.84709442686822,9.643719099623498
