"","language","latitude","longitude","cossim_span","cossim_jap","cossim_eng","cossim_unr","cossim_span_norm"
"1","Isnag",18.19955,121.10666,0.108899776345819,0.123235812676959,0.302507064825339,0.085375888830146,0.304755117350309
"2","Yogad",16.69425,121.70617,0.0632479194963265,0.0663262633368575,0.0304863172070214,0.0484062563504234,0.176998776076972
"3","Agta",15.11794,121.38808,0.0859829606290486,0.0970893945961913,0.252128193574665,0.0956172996445041,0.240622599383684
"4","Gaddang",16.58369,121.26426,0.0688265287452882,0.059478465005247,0.0642872534892171,0.0655603565350243,0.192610467609928
"5","Ibanag",17.64993,121.78591,0.162475737218458,0.140408177289886,0.0645374549396239,0.0937419052218963,0.454686997752409
"6","Atta",18.47131,121.29837,0.132135111718311,0.138082834297229,0.0741251729223321,0.0816875023484421,0.369779009921321
"7","Casiguran Dumagat",16.40414,121.99354,0.167173576195882,0.18825967534135,0.16715820395399,0.103242038410451,0.467833861014197
"8","Ilokano",15.70115,120.65378,0.158831436233636,0.135964402267361,0.0655759211508839,0.091796388579842,0.444488451790639
"9","Itneg",17.2618,120.7103,0.113949291758837,0.0969441770927648,0.116009468863714,0.0892231708681251,0.318886144188875
"10","North Kalinga",17.61454,121.36921,0.144869533386152,0.151920488410374,0.0698289933283747,0.0876933080452865,0.405416182925674
"11","Central Kalinga",17.38069,121.03338,0.136411275295768,0.142731657830099,0.0726350656191862,0.083871089513827,0.381745818087377
"12","South Kalinga",17.29229,121.05985,0.136411275295768,0.142731657830099,0.0726350656191862,0.083871089513827,0.381745818087377
"13","Balangaw",17.13492,121.28216,0.0764383030246278,0.0932261680134333,0.0936019584440882,0.0822780525734218,0.213911954551258
"14","Central Ifugao",16.90069,121.00691,0.135330461060444,0.165304855585881,0.0775620873795679,0.0918599309253614,0.37872116844922
"15","East Ifugao",16.84668,121.26145,0.100405372826504,0.122644196473588,0.123774099683167,0.0909155365766092,0.280983599830117
"16","Central Bontok",17.11673,121.002,0.144399421956895,0.152249472539049,0.069980208156393,0.0873700780326754,0.404100580005278
"17","North Kankanay",17.12722,120.80177,0.0681109112650793,0.0716943015648813,0.0364846900661695,0.0651100642475075,0.190607818050149
"18","Ilongot",16.37807,121.49391,0.0719632141737032,0.0752024533755934,0.094930052847038,0.0743956188842701,0.201388455663751
"19","Pangasinan",15.96202,120.38515,0.0509687522255411,0.0433460689337856,0.144996304463041,0.0703608420153493,0.142635628712106
"20","Inibaloi",16.45231,120.68141,0.144784150924615,0.234821252543217,0.114296814008537,0.0954547266648121,0.405177240817999
"21","North Kallahan",16.70893,121.02642,0.0344980800022462,0.0429147473024935,0.0519384432436111,0.0677495189431809,0.0965425896381887
"22","Itbayaten",20.38116,121.93381,0.357335349419714,0.215181133888855,0.0934833200436931,0.139050660191207,1
"23","Ivatanen",20.38116,121.93381,0.243468866426631,0.288133068660042,0.175064595985076,0.160706585964266,0.68134559545258
"24","Kapampangan",15.24905,120.54845,0.247130515165198,0.262517620747838,0.0466202709917887,0.0739305503860995,0.69159268895876
"25","Tina",15.57252,120.04184,0.0969122437996943,0.0973308574726376,0.0498869143668645,0.0779097983894495,0.271208107334112
"26","Iraya",13.35138,120.67441,0.189084809422694,0.21375808070512,0.0417474052097349,0.0752785084413977,0.529152264755652
"27","Siocon Subanon",7.73572,122.37053,0.0913379108175798,0.112819174346851,0.130524986772688,0.0909847249363891,0.255608382898321
"28","Sindangan",8.13155,123.09603,0.0586770247834382,0.061318220304154,0.133377323299335,0.0842987010301455,0.164207165282487
"29","Binukid",8.19325,124.94266,0.0764850928326113,0.0968880108492157,0.0519490680413157,0.0696589428636006,0.214042895439305
"30","Ata",9.715,122.9,0.12786755022612,0.157940019791457,0.0809521301586112,0.0889605562215025,0.357836274619256
"31","Tigwa",7.70798,125.15548,0.0776981149886292,0.0966545086101131,0.0518238696436918,0.0703855060519506,0.217437527842698
"32","Dibabawon",7.85784,125.99118,0.0939298208011367,0.0935921550241074,0.0501819078218311,0.0764569624851567,0.262861821405779
