phoneme,n_languages,n_total,IDF_phoible,global_n_phoible
t̪ʰ,1,88,3.7954891891721947,100
t̪ʰ|tʰ,2,88,3.39002408106403,22
t̪ʲ|tʲ,2,88,3.39002408106403,5
t̪ʷ|tʷ,1,88,3.7954891891721947,2
t̪ː,1,88,3.7954891891721947,13
t̰,1,88,3.7954891891721947,10
t͈,1,88,3.7954891891721947,36
u,83,88,0.057819570888826236,1843
ui,1,88,3.7954891891721947,39
ui̯,1,88,3.7954891891721947,8
uy,1,88,3.7954891891721947,1
uə,5,88,2.6968769005040847,20
uː,14,88,1.7805861686299298,634
ũ,4,88,2.8791984572980396,353
ũə,1,88,3.7954891891721947,1
ṳ,1,88,3.7954891891721947,19
v,15,88,1.7160476474923585,543
v̼,1,88,3.7954891891721947,1
w,63,88,0.329753286372468,1726
w̰,1,88,3.7954891891721947,17
x,9,88,2.186051276738094,334
xʷ,1,88,3.7954891891721947,51
y,8,88,2.2914117923959205,105
z,6,88,2.5427262206768266,582
z̪|z,1,88,3.7954891891721947,21
æ,7,88,2.409194828052304,123
æː,2,88,3.39002408106403,42
æ̃,1,88,3.7954891891721947,26
ç,1,88,3.7954891891721947,89
ð,5,88,2.6968769005040847,101
ø,2,88,3.39002408106403,61
ħ,2,88,3.39002408106403,55
ŋ,74,88,0.17114825619582946,1291
ŋk,5,88,2.6968769005040847,34
ŋm,1,88,3.7954891891721947,67
ŋmʷ,1,88,3.7954891891721947,1
ŋɡ,10,88,2.0907410969337694,222
ŋɡʷ,3,88,3.1023420086122493,45
ŋʷ,3,88,3.1023420086122493,91
ŋː,1,88,3.7954891891721947,22
ŋ̥,3,88,3.1023420086122493,20
ŋ̩,1,88,3.7954891891721947,7
ŋ̰,1,88,3.7954891891721947,1
œ,2,88,3.39002408106403,47
œː,1,88,3.7954891891721947,18
ɐ,2,88,3.39002408106403,41
ɑ,7,88,2.409194828052304,138
ɑː,2,88,3.39002408106403,69
ɑ̃,1,88,3.7954891891721947,31
ɑ̤,1,88,3.7954891891721947,7
ɒ,3,88,3.1023420086122493,33
ɒ̤,1,88,3.7954891891721947,2
ɓ,4,88,2.8791984572980396,232
ɔ,26,88,1.1927995037278107,738
ɔi,1,88,3.7954891891721947,13
ɔə,1,88,3.7954891891721947,1
ɔː,6,88,2.5427262206768266,224
ɔ̃,2,88,3.39002408106403,164
ɔ̤,1,88,3.7954891891721947,15
ɖ,6,88,2.5427262206768266,160
ɖr̠͓,1,88,3.7954891891721947,1
