"unit","method","n","n_evec","df_residual","r.squared","adj.r.squared","aic","raw_cor","partial_cor","geo_phylo_cor","term","estimate","std.error","statistic","p.value"
NA,"moran (population-structure PCA)",42,2,38,0.61581886507734,0.585488775478182,-35.5001253936324,-0.162937491112225,-0.1418051270936,-0.0965171479675413,"(Intercept)",0.221331150417201,0.0410446859760346,5.3924435077036,3.87507434716224e-06
"per 100 km","moran (population-structure PCA)",42,2,38,0.61581886507734,0.585488775478182,-35.5001253936324,-0.162937491112225,-0.1418051270936,-0.0965171479675413,"geodist_H1_span",-0.00717048526328261,0.00811995772242039,-0.883069285383574,0.382751488525736
