"zeros","n","n_evec","geo_slope","geo_std_error","geo_t","geo_p","geo_r2","anc_semipartial_r2","anc_F_p"
"removed",42,2,-0.0130937591992597,0.0125363312916061,-1.04446499495645,0.302541552608823,0.0265486260099464,0.589270239067393,2.12918639191724e-08
"kept",112,2,-0.00681727977583053,0.00476335015782025,-1.43119433800982,0.155209483248305,0.0182806603769802,0.257396665699794,7.39631888385622e-08
