"language_id","language","glottocode","author","latitude","longitude","number_of_entries","number_of_loans","loans_norm","nearest_node","geodist_H1_span","geodist_H2_span","using_network"
"420","Ifugao, Batad","bata1298","L.E. Newell, in Reid (1971)",16.8266,121.23,169,0,0,"3",510.998954717985,982.933284062514,TRUE
"421, 431","Ifugao, Bayninan; Kallahan, Keleyqiq","kele1259","H.C. Conklin in Reid (1971); R & L. Hohulin in Reid (1971)",16.7099,121.035,178,0,0,"3",460.690270774262,932.624600118792,TRUE
"288","Ilokano","ilok1237","Blust",15.9361,120.993,210,0,0,"5",578.236981000154,659.649344351298,FALSE
"422, 31","Ilongot, Kakiduge:n; Kakiduge:n Ilongot","ilon1239","M. Rosaldo in Reid (1971); Reid (1971)",16.3785,121.547,207,0,0,"3",756.59453055739,915.809008407119,FALSE
"250, 248, 252, 249, 157, 425, 251, 427","Imorod; Iraralay; Isamorong; Itbayat; Itbayaten; Ivasay; Ivatan, Basco Dialect","ivat1242","Tsuchida et al. (1987); Lawrence A. Reid; Y. Yamada in Reid (1971); M. Cottle, V. Larson & L. A. Reid in Reid (1971)",20.77,121.85,209,5,0.384615384615385,"1",183.458146371051,910.131091356487,TRUE
"1635","Inagta Alabat","alab1246","Lobel et al. 2020.",14.1217,122.014,210,1,0.0769230769230769,"16",138.890310645079,438.859477325341,FALSE
"1553, 1554, 1260, 1276, 1277","Inati (Hamtic); Inati (Jordan, Guimaras); Inati (Nagpana); Sogodnin (Boracay); Sogodnin (Iloilo)","atii1237","Hsiu, Andrew. 2018. Inati word lists. m.s.; Pennoyer (1987)",11.1539,122.512,209,6,0.461538461538462,"32",645.578554539707,1143.88268926849,FALSE
"1269","Iraya","iray1237","Barbian (1977)",13.381,120.65,161,0,0,"12",73.6855184573687,350.16259068961,TRUE
"1463","Isinay (Dupax)","isin1239","Sarah Eve Perlawan",16.3299,121.12,210,2,0.153846153846154,"4",489.25210215359,801.574026744061,TRUE
"424","Isneg, Dibagat-Kabugao-Isneg","isna1241","G.R. Roe in Reid (1971)",18.2139,121.16,179,0,0,"2",257.874694740914,898.213944278693,TRUE
"678, 978, 1278","Itawis; Malaweg","itaw1240","Tharp & Natividad (1976); Norman Barrias; Laurie Reid",17.7329,121.58,210,5,0.384615384615385,"3",607.168941863192,1079.10327120772,TRUE
"426","Itneg, Binongan","bino1237","C. Walton in Reid (1971)",17.5972,120.876,175,1,0.0769230769230769,"3",272.615563004722,744.549892349251,TRUE
"860","Kagayanen","kaga1256","Multiple contributors from Cagayancillo, Palawan",10.4656,119.872,210,1,0.0769230769230769,"25",162.334423016677,965.484953286621,FALSE
"428","Kalagan","kala1388","D. Murray in Reid (1971)",6.8126,125.328,178,0,0,"37",1083.54031234093,2337.95339133138,TRUE
"711","Kalinga (Minangali)","lowe1412","Kenneth S. Olson, et. al.",17.3441,121.311,171,1,0.0769230769230769,"3",486.692892449583,958.627221794112,TRUE
"429","Kalinga, Guinaang, Lubuagan Dialect","lubu1243","C.R. Geiser in Reid (1971)",17.3879,121.0365,207,1,0.0769230769230769,"3",355.161245931762,827.095575276292,TRUE
"672","Kalinga, Limos","limo1248","Summer Institute of Linguistics (1981)",17.6081,121.381,197,0,0,"3",510.426489486942,982.360818831472,TRUE
"671","Kalinga, Southern","sout2908","Summer Institute of Linguistics (1980)",17.2936,121.068,152,1,0.0769230769230769,"3",374.21502693091,846.14935627544,TRUE
"430","Kallahan, Kayapa Proper","kaya1320","P.O. Afable in Reid (1971)",16.321,120.9,178,0,0,"4",384.872105836342,697.194030426813,TRUE
"1549","Kamayo","kama1363","Summer Institute of Linguistics (unknown authors). 1966. Kamayo available via Zorc, R. David. 1972. Unpublished field notes.",8.10796,126.314,173,6,0.461538461538462,"37",665.431077554561,1919.84415654501,TRUE
"681","Kankanaey","kank1243","Janet Allen",16.8548,120.689,209,0,0,"3",269.128395652753,741.062724997282,TRUE
"432","Kankanay, Northern","nort2877","D. Hettick in Reid (1971)",17.1057,120.786,178,0,0,"3",258.544775741106,730.479105085635,TRUE
"33, 1200","Kapampangan","pamp1243","Blust from: Forman (1971), McFarland 1977; Eduardo John A. Balatbat",14.9603,120.502,210,2,0.153846153846154,"8",258.949375557948,218.883044846306,FALSE
"657","Kinaray-a","kina1250","Arnel Genzola",10.8131,122.297,201,1,0.0769230769230769,"31",634.903726001634,1168.64903855469,FALSE
"685","Maguindanaon","magu1243","Robert E. Sullivan",6.9453,124.509,210,0,0,"37",1030.99669063665,2285.40976962709,TRUE
"433","Mamanwa","mama1275","J. & H. Miller in Reid (1971)",9.44744,125.548,183,2,0.153846153846154,"37",82.6089488124425,1337.02202780289,TRUE
"1258, 1641","Manide; Manide (Labo)","cama1250","Jason Lobel (2010); Doroja (2017)",14.1571,122.835,198,2,0.153846153846154,"17",360.700678113829,628.281174749295,FALSE
"435, 434","Manobo, Ata (down-river); Manobo, Ata (up-river)","atam1240","V. Morey & U. Post in Reid (1971)",7.7789,125.499,201,0,0,"37",647.527652254821,1901.94073124527,TRUE
"436","Manobo, Dibabawon","diba1242","J. Forster in Reid (1971)",7.85664,126.018,178,1,0.0769230769230769,"37",700.853698471257,1955.2667774617,TRUE
"437","Manobo, Ilianen (Kibudtungan Dialect)","ilia1236","J. Shand & H. Wrigglesworth in Reid (1971)",7.34448,124.766,181,0,0,"37",809.008791913203,2063.42187090365,TRUE
"438","Manobo, Kalamansig Cotabato (Paril Dialect)","cota1241","E. C. Johnston in Reid (1971)",6.39417,124.234,186,0,0,"27",630.474028775336,2050.92367893165,TRUE
"439","Manobo, Sarangani, Kayaponga Dialect","sara1327","C. DuBois in Reid (1971)",5.84903,125.499,178,1,0.0769230769230769,"37",1501.75332783552,2756.16640682597,TRUE
"440","Manobo, Tigwa, Iglogsad Dialect","mati1250","C. Strong in Reid (1971)",7.72124,125.16,177,0,0,"37",616.894599453778,1871.30767844422,TRUE
"441, 144","Manobo, Western Bukidnon; Western Bukidnon Manobo","west2555","R.E.Elkins in Reid (1971); Lawrence A. Reid",7.6682,124.825,207,0,0,"37",646.729619256777,1901.14269824722,TRUE
"442","Mansaka","mans1262","G. Svelmoe in Reid (1971)",6.79221,126.181,205,0,0,"37",1214.69409352118,2469.10717251163,TRUE
"86","Maranao","mara1404","McKaughan & Macaraya (1967)",7.79414,124.175,209,0,0,"28",594.537934005623,1897.58520754617,TRUE
"788, 1467, 277, 389, 408","Marinduque Tagalog; Mindoro Tagalog; Tagalog; Tagalog (Anthony dela Paz)","taga1270","Rosa Soberano; Native Tagalog speaker; Ted Llamzon; My knowledge in Tagalog; Anthony dela Paz",14.06,121.747,210,6,0.461538461538462,"16",115.003318725846,445.819918203572,FALSE
"755","Masbatenyo","masb1238","Elmer P. Wolfenden",12.21453,123.63579,209,5,0.384615384615385,"19",125.758120998747,896.354402063052,TRUE
"405","Pangasinan","pang1290","Emerich Daroya",15.9377,120.365,210,9,0.692307692307692,"4",327.621344558664,639.943269149135,TRUE
"1275","Ratagnon","rata1245","Barbian (1977)",12.2785,121.187,166,0,0,"14",572.106169542809,888.421430755388,TRUE
"687","Romblon","romb1245","Fe Aldave Yap",12.4047,122.56,191,4,0.307692307692308,"17",140.412371465613,660.147878280307,TRUE
"494","S.W. Palawano","sout2916","Bill Davis",8.67624,117.36,210,0,0,"26",280.851570102992,1078.77671894461,FALSE
"783, 513","Samar-Leyte; Waray-Waray","wara1300","Alfonsa E. Tizon; Andras Rajki",11.4911,125.012,209,4,0.307692307692308,"38",323.598687225979,1341.96125134017,TRUE
"1268","Sambal","tina1248","Stone (2008)",15.5797,120.095,140,1,0.0769230769230769,"5",115.847432198507,332.923763475807,TRUE
"445","Sangil, Saragani Islands","sang1337","K. Maryott in Reid (1971)",5.40229,125.378,178,0,0,"37",1697.44980580203,2951.86288479248,TRUE
"686","Sinauna","remo1247","Fe Aldave Yap",14.6254,121.453,173,2,0.153846153846154,"9",261.440520763304,216.77759674764,FALSE
"448, 1638","Subanon, Siocon; Western Subanon","west2557","W. Hall in Reid (1971); Jernan Combi",7.79964,122.341,210,2,0.153846153846154,"27",153.863091446492,1574.3127416028,TRUE
"447","Subanun, Sindangan","cent2089","R. Brichoux in Reid (1971)",8.12701,123.018,178,0,0,"27",120.248483268782,1540.69813342509,TRUE
"466, 1637","Surigaonon","suri1273","Richard Parker; Catharine Elizabeth Laude",9,126,210,6,0.461538461538462,"37",277.7427076439,1532.15578663435,TRUE
"1271","Tadyawan","tady1237","Barbian (1977)",13.0211,121.305,173,0,0,"14",232.340084860482,548.655346073061,TRUE
"449, 133","Tagabili; Tboli (Tagabili)","tbol1240","V. Forsberg in Reid (1971); Lawrence A. Reid",6.20377,124.538,206,0,0,"27",828.310553458589,2248.7602036149,TRUE
"450","Tagbanwa, Aborlan Dialect","cent2090","S. Hussey in Reid (1971)",10.6519,119.338,178,0,0,"25",358.109752690011,1122.52841407181,FALSE
"451","Tagbanwa, Kalamian, Coron Island Dialect","cala1258","E. Ruch in Reid (1971)",12.0716,120.094,178,1,0.0769230769230769,"14",412.631777750813,719.348125682199,FALSE
"452","Tausug, Jolo Dialect","taus1251","S. Ashley in Reid (1971)",5.12236,118.88,208,0,0,"26",584.216763760041,1608.20181442218,FALSE
"707","Tiruray","tiru1241","Stuart A. Schlegel",6.77321,124.127,201,1,0.0769230769230769,"27",681.920932740933,2102.37058289725,TRUE
"713","Yogad","yoga1237","Davis & Mesa",16.7015,121.718,203,2,0.153846153846154,"3",748.109112845033,1092.2229661671,FALSE
