"glottocode","language","subgroup","colour","region"
"tina1248","Sambal","Sambalic","#F1C878","Luzon"
"sang1337","Sangil, Saragani Islands","Sangiric","#A852A0","Mindanao"
"remo1247","Sinauna","Central Luzon","#477C65","Luzon"
"west2557","Subanon, Siocon; Western Subanon","Subanen","#7CF2D9","Mindanao"
"cent2089","Subanun, Sindangan","Subanen","#7CF2D9","Mindanao"
"suri1273","Surigaonon","Central Philippine","#565153","Mindanao"
"tady1237","Tadyawan","North Mangyan","#ECBEBD","Luzon"
"tbol1240","Tagabili; Tboli (Tagabili)","Tboli-Blaan","#5C7193","Mindanao"
"taga1270","Marinduque Tagalog; Mindoro Tagalog; Tagalog; Tagalog (Anthony dela Paz)","Central Philippine","#565153","Luzon"
"cent2090","Tagbanwa, Aborlan Dialect","Palawanic-Kalamian","#87B1F1","Luzon"
"cala1258","Tagbanwa, Kalamian, Coron Island Dialect","Palawanic-Kalamian","#87B1F1","Luzon"
"taus1251","Tausug, Jolo Dialect","Central Philippine","#565153","Mindanao"
"tiru1241","Tiruray","Bilic","#BA7862","Mindanao"
"yoga1237","Yogad","Cagayan Valley","#79F287","Luzon"
