"model","lambda","r.squared","adj.r.squared","aic","n","term","estimate","std.error","statistic","p.value"
"OLS (lambda fixed ~0)",1e-06,0.0414278627077973,0.0310086003459256,-65.4837365681436,94,"(Intercept)",0.158773519719672,0.0291806795772223,5.44104942105621,4.3529222004679e-07
"OLS (lambda fixed ~0)",1e-06,0.0414278627077973,0.0310086003459256,-65.4837365681436,94,"geodist_H1_span",-0.000102343935894521,5.13256357656929e-05,-1.99401204422937,0.0491114581566778
"ML (lambda estimated)",0.584697157934172,0.0106378318742217,-0.000116104735841211,-75.2527899877595,94,"(Intercept)",0.125486532579687,0.0722377358386092,1.73713269280814,0.0857104968698212
"ML (lambda estimated)",0.584697157934172,0.0106378318742217,-0.000116104735841211,-75.2527899877595,94,"geodist_H1_span",-5.78485677031289e-05,5.81633999730734e-05,-0.994587106838831,0.322545867038286
