"gloss","wordform","feature","loading"
"belly","tiyán","belly::tiyán",0.0405979095932709
"mother","ina","mother::ina",0.0405329190131268
"egg","okoy","egg::okoy",-0.0397762257165033
"we","kitá","we::kitá",0.0397051338045583
"to.chew","tilad","to.chew::tilad",0.0396106387361544
"skin","panit","skin::panit",0.0395686723284921
"to.walk","bita","to.walk::bita",-0.0393392856086717
"One.Thousand","libu","One.Thousand::libu",-0.0392571739170731
"Five","lima","Five::lima",-0.0390562795350125
"left","wala","left::wala",0.0390511674236271
"mosquito","namók","mosquito::namók",0.0389912089488353
"what.","anya","what.::anya",-0.0388847193253848
"lightning","kilát","lightning::kilát",0.0387908547731513
"you","kamó","you::kamó",0.0385125295077054
"eye","matá","eye::matá",0.0379604273863085
"egg","itlóg","egg::itlóg",0.0377112036402841
"liver","atáy","liver::atáy",0.0375653725130756
"thin","impih","thin::impih",-0.0371938160104286
"branch","panga","branch::panga",0.0368549886371642
"white","potiʔ","white::potiʔ",-0.036767406830112
"blood","daya","blood::daya",-0.0365819148172581
"Eight","walú","Eight::walú",0.0360446162869638
"Four","opat","Four::opat",0.0360009828172467
"Eight","walo","Eight::walo",-0.0359033397762112
"ash","abo","ash::abo",-0.0355760235796685
"and","tan","and::tan",-0.0354495084563172
"Eight","walu","Eight::walu",-0.0353443079278539
"he.she","siyá","he.she::siyá",0.0352818109209219
"to.burn","silab","to.burn::silab",-0.035213073139719
"to.hide","tagoʔ","to.hide::tagoʔ",-0.0349979289012633
"year","tawon","year::tawon",0.0349101910606517
"neck","bɨŋ","neck::bɨŋ",-0.0348860048644429
"branch","salingsíng","branch::salingsíng",0.03468958882142
"Five","limaʔ","Five::limaʔ",-0.0343782907237728
"thin","manipís","thin::manipís",0.03430189147306
"other","ibá","other::ibá",0.0342817689784352
"at","sa","at::sa",0.0340783621400071
"lightning","kilat","lightning::kilat",-0.0339306134745098
"breast","susu","breast::susu",-0.0339280412685029
"needle","karayom","needle::karayom",-0.0338839382515918
"mosquito","yamok","mosquito::yamok",-0.033400970555756
"eye","'mata","eye::'mata",-0.0333740499753025
"mosquito","balangkád","mosquito::balangkád",0.0332512497642165
"to.hide","tayo","to.hide::tayo",-0.0328251780613668
"mother","indoʔ","mother::indoʔ",-0.0327405352661998
"long","aba","long::aba",0.0323951719258682
"sky","langit","sky::langit",0.0320787074879604
"to.drink","inɨm","to.drink::inɨm",-0.0320407016643916
"feather","bulbul","feather::bulbul",-0.0317935747061163
"day","adlaw","day::adlaw",0.0311778663855882
"man.male","laki","man.male::laki",-0.031147109374018
"sand","barás","sand::barás",0.0310266036070181
"old","gurang","old::gurang",0.0309654297963562
"fish","isda","fish::isda",0.0308752860512832
"to.vomit","sukà","to.vomit::sukà",0.0308713446555733
"to.walk","panaw","to.walk::panaw",0.0308084264486159
"to.suck","sipsip","to.suck::sipsip",-0.0307225796660817
"Nine","siyam","Nine::siyam",-0.0306655141894282
"leaf","don","leaf::don",0.0306168566116146
"year","dagún","year::dagún",0.0305498068080146
"wind","hangin","wind::hangin",0.0303452827551758
"shoulder","abaga","shoulder::abaga",0.0301179954597468
"louse","kuto","louse::kuto",0.0300448764077766
"wide","malapad","wide::malapad",0.0300251517154934
"cold","maramíg","cold::maramíg",0.0298725271686705
"dog","asu","dog::asu",-0.0298386214900799
"fish","isdâ","fish::isdâ",0.0297753197916594
"blood","'dala","blood::'dala",0.029746970736997
"smoke","asó","smoke::asó",0.029504363617994
"mother","ináng","mother::ináng",0.0294330055983697
"tongue","'dilaʔ","tongue::'dilaʔ",-0.0293960985205197
"star","bitoʔɨn","star::bitoʔɨn",-0.0293292523746519
"nose","iróng","nose::iróng",0.0288548091969456
"left","walá","left::walá",0.0285885276767402
"intestines","bituka","intestines::bituka",-0.0285468289089108
"One","osa","One::osa",0.028538467412385
"to.steal","'takaw","to.steal::'takaw",-0.0285376334677937
"person.human.being","tau","person.human.being::tau",-0.0285049188949796
"to.work","obra","to.work::obra",-0.0284393341162623
"to.swim","lumangóy","to.swim::lumangóy",0.0284025770175725
"to.choose","piliq","to.choose::piliq",-0.0283788382508728
"leaf","bulong","leaf::bulong",-0.0283563935416768
"root","yamut","root::yamut",-0.0283555038459652
"night","la'bi","night::la'bi",0.0281619107634089
"to.pound..beat","bayo","to.pound..beat::bayo",-0.0280726839653831
"short","pandak","short::pandak",-0.0279644763603673
"rope","ta'li","rope::ta'li",0.0279125787467646
"rotten","bugúk","rotten::bugúk",-0.027900726219932
"he.she","iya","he.she::iya",-0.0277469826787949
"near","malapit","near::malapit",-0.0277203729968889
"Nine","siam","Nine::siam",-0.0274571783710323
"sea","dágat","sea::dágat",0.0272741111371101
"to.split","lapaun","to.split::lapaun",0.027269326475049
"Four","ʔapat","Four::ʔapat",-0.0272299337121201
"wing","payak","wing::payak",0.0272260025864613
"dog","ayam","dog::ayam",0.02714483540829
"dry","ugá","dry::ugá",0.0271060618461495
"fat.grease","tabá","fat.grease::tabá",0.0270987930906975
"liver","atay","liver::atay",0.0270078683385213
"dog","ásu","dog::ásu",-0.0269445118881066
"hair","buhok","hair::buhok",0.0268860059525189
"white","maputi","white::maputi",-0.0268056528950007
"back","likód","back::likód",0.0267927877676606
"Seven","pi'tu","Seven::pi'tu",0.0267639413105732
"fire","kalayo","fire::kalayo",0.0266173432918521
"tooth","ngipon","tooth::ngipon",0.0265334438312025
"painful..sick","masakit","painful..sick::masakit",-0.0264492652903807
"tooth","'ngipin","tooth::'ngipin",-0.0264130690940959
"husband","asawa","husband::asawa",-0.0263479402524168
"to.sniff..smell","aŋot","to.sniff..smell::aŋot",-0.0262938645180192
"sand","balás","sand::balás",-0.0262756434885422
"mouth","bibíg","mouth::bibíg",0.0262702387974809
"father","amáng","father::amáng",0.0262073955147223
"root","lamut","root::lamut",0.0261140897937295
"liver","agtoy","liver::agtoy",0.0261071451554099
"wind","angin","wind::angin",-0.0261066265074312
"sharp","matarem","sharp::matarem",-0.0260712774820932
"thick","makapal","thick::makapal",-0.025927667598558
"to.hunt","manganup","to.hunt::manganup",0.0259194584647149
"ash","abú","ash::abú",-0.0257386864685889
"to.die..be.dead","patay","to.die..be.dead::patay",0.0257299206927905
"Two","duwá","Two::duwá",0.0253852702492161
"to.hide","taguʔ","to.hide::taguʔ",-0.0252859389922316
"worm..earthworm.","bulati","worm..earthworm.::bulati",-0.0250171168506305
"to.drink","inum","to.drink::inum",-0.0249871641501291
"to.flow","lagnás","to.flow::lagnás",0.0248883637805123
"root","gamút","root::gamút",0.0248130180942056
"to.walk","lumákad","to.walk::lumákad",-0.0247666050170851
"tail","ikuy","tail::ikuy",-0.0247067886801762
"child","bata","child::bata",0.0246481900705427
"belly","tyan","belly::tyan",-0.0246325185905195
"Nine","si'yam","Nine::si'yam",0.0245658441851051
"to.tie.up..fasten","gapusun","to.tie.up..fasten::gapusun",0.0245119556836354
"breast","sosoʔ","breast::sosoʔ",-0.0244285719647269
"to.plant","tanóm","to.plant::tanóm",0.0243062164253338
"Three","tuló","Three::tuló",0.0242689302219338
"person.human.being","tolay","person.human.being::tolay",0.0240658674135556
"rotten","buyók","rotten::buyók",0.0240437163914016
"eye","ma'ta","eye::ma'ta",0.023935659461098
"fruit","búŋa","fruit::búŋa",-0.0238393469108618
"dust","alikabok","dust::alikabok",-0.0236410348832401
"Six","ʔɨ'nɨm","Six::ʔɨ'nɨm",0.0235719543258624
"green","bérde","green::bérde",-0.0235210256974868
"dog","idu","dog::idu",0.0235156210064254
"good","maál","good::maál",0.0234615690362231
"night","gabí","night::gabí",0.023386206691508
"father","tata","father::tata",-0.0232943848045608
"hair","buók","hair::buók",0.0232928022785325
"sand","baybay","sand::baybay",0.0232724321448582
"to.think","painuinu","to.think::painuinu",0.0231929239494254
"to.drink","minum","to.drink::minum",-0.0231697490549369
"you","ika","you::ika",-0.0231432074902979
"tail","ʔikug","tail::ʔikug",-0.0231195378015813
"to.pound..beat","bayú","to.pound..beat::bayú",-0.0231054036745917
"Four","upát","Four::upát",0.0230447922186012
"smoke","ʔa'sok","smoke::ʔa'sok",0.0230215783003963
"to.shoot","mamana","to.shoot::mamana",-0.0230049247827155
"smoke","aso","smoke::aso",0.022856013219761
"to.dig","'kotkot","to.dig::'kotkot",-0.022779667993227
"head","úlu","head::úlu",0.0227625286271687
"to.see","makita","to.see::makita",0.0227046285241518
"rain","udan","rain::udan",-0.0225290782414271
"worm..earthworm.","bolati","worm..earthworm.::bolati",-0.0225010190633465
"to.tie.up..fasten","itali","to.tie.up..fasten::itali",-0.0224774207934956
"branch","sanga","branch::sanga",-0.0224377463137829
"green","berde","green::berde",0.0224338492225012
"Six","anum","Six::anum",0.022374300725693
"head","'ʔolo","head::'ʔolo",-0.0223193513843159
"salt","asin","salt::asin",-0.0221831432990911
"woman.female","babay","woman.female::babay",0.0221354551086855
"mosquito","namok","mosquito::namok",0.0221116933637692
"Four","ʔo'pat","Four::ʔo'pat",0.0220839254564717
"fire","apúy","fire::apúy",0.0220764391144996
"salt","ʔa'sin","salt::ʔa'sin",0.0220431313675924
"to.bite","kagát","to.bite::kagát",0.0219675629862581
"stone","batu","stone::batu",-0.0219185744009949
"black","itom","black::itom",0.02188364671703
"sharp","mataram","sharp::mataram",-0.0218601853618005
"to.die..be.dead","matoy","to.die..be.dead::matoy",0.0217439013625126
"to.stab..pierce","saksák","to.stab..pierce::saksák",-0.0216785135906425
"tooth","ngipan","tooth::ngipan",0.021666173636313
"skin","balát","skin::balát",-0.021640971392211
"name","ngayan","name::ngayan",0.021621911564197
"all","tanan","all::tanan",0.0216027760510426
"thou","ikáw","thou::ikáw",0.0215372055720035
"house","bale","house::bale",-0.0215121492608086
"father","tatay","father::tatay",-0.0214688415577401
"father","amaʔ","father::amaʔ",-0.0214280959572934
"red","pulá","red::pulá",0.021331000196015
"shoulder","labay","shoulder::labay",0.021286345599988
"we","kita","we::kita",0.0212564756761435
"father","amá","father::amá",0.0210970937376719
"Six","onom","Six::onom",0.0210805320067104
"Four","apát","Four::apát",-0.0210673794595497
"water","danúm","water::danúm",0.0210651091938198
"year","taon","year::taon",-0.0209826263131718
"to.drink","inúm","to.drink::inúm",-0.0209626230663019
"leaf","'tubu","leaf::'tubu",0.020894493931401
"they","sila","they::sila",-0.020843474411494
"rain","oran","rain::oran",-0.0208319057712464
"sea","bay'bay","sea::bay'bay",0.0207999094917054
"branch","sangá","branch::sangá",0.0207518169556386
"Six","ʔanɨm","Six::ʔanɨm",-0.0207346152279554
"mother","ʔi'na","mother::ʔi'na",0.0206451619147567
"hand","ima","hand::ima",0.020624604878268
"to.live..be.alive","biyay","to.live..be.alive::biyay",-0.0205011065186793
"wet","basaʔ","wet::basaʔ",-0.0204022976122037
"if.","kun","if.::kun",0.0202620896366036
"root","wakat","root::wakat",-0.0202461573842024
"leaf","bulung","leaf::bulung",-0.0202359057428757
"leg.foot","bitís","leg.foot::bitís",-0.0201384641273246
"intestines","bitúka","intestines::bitúka",-0.0200352203750723
"child","ának","child::ának",-0.0199905416147981
"to.burn","durók","to.burn::durók",0.019967313865778
"root","gamot","root::gamot",0.0199363301907513
"neck","bagang","neck::bagang",0.0198846708747205
"short","pandák","short::pandák",-0.0198455551023508
"to.drink","uminum","to.drink::uminum",0.0198215700555235
"bird","pispis","bird::pispis",0.019695320969147
"woods.forest","talon","woods.forest::talon",0.0196903987564263
"tongue","'dila","tongue::'dila",0.0196502398863978
"thatch.roof","atap","thatch.roof::atap",-0.0196008184905039
"root","gamut","root::gamut",0.0195656795682862
"root","lamot","root::lamot",0.0195233630601505
"year","tuig","year::tuig",0.0195204059198568
"correct..true","ustu","correct..true::ustu",0.0193146025950898
"road.path","charan","road.path::charan",0.0193125791055375
"sky","'langit","sky::'langit",-0.0193003998390367
"root","ugat","root::ugat",0.0192950437391048
"Three","tulu","Three::tulu",0.0190626839468169
"sand","la'gan","sand::la'gan",0.0190601019411686
"woman.female","babái","woman.female::babái",-0.019041343957782
"root","uyat","root::uyat",-0.0189738209014758
"earth.soil","tanaʔ","earth.soil::tanaʔ",-0.0189405377643231
"blood","dugô","blood::dugô",0.0188381101201113
"lightning","ilat","lightning::ilat",0.0188368697895515
"to.choose","mamili","to.choose::mamili",-0.0187905233817853
"nose","ilóng","nose::ilóng",0.0187307019797228
"new","bago","new::bago",0.0186863285882861
"to.hide","tago","to.hide::tago",-0.0186434160736986
"dog","ido","dog::ido",0.0186023181972713
"fish","ʔi'kan","fish::ʔi'kan",-0.0184952805876429
"good","mayád","good::mayád",0.0184902983361849
"ear","inga","ear::inga",0.0184408917034145
"to.fly","layang","to.fly::layang",-0.0184322718885124
"flower","bulaklak","flower::bulaklak",-0.0184180274435393
"red","pula","red::pula",0.0184025589209603
"wind","ángin","wind::ángin",0.0184023134940151
"tongue","díla","tongue::díla",0.0183901584716154
"woods.forest","gúbat","woods.forest::gúbat",-0.0183291956872984
"to.plant","mola","to.plant::mola",-0.0182827373444416
"dog","aso","dog::aso",-0.0182369914921688
"dog","ʔasu","dog::ʔasu",-0.0181733199184163
"year","dagun","year::dagun",0.0181511736631497
"star","ta'law","star::ta'law",0.0180662120819258
"stone","ba'to","stone::ba'to",-0.0180349639787319
"if.","kung","if.::kung",0.0179895895524798
"to.shoot","pana","to.shoot::pana",-0.0179828323590568
"lake","danáw","lake::danáw",0.0179449877609507
"this","ini","this::ini",-0.0179396305113989
"stone","batú","stone::batú",0.0179152248701971
"who.","sino","who.::sino",0.0178978728691381
"child","anák","child::anák",0.0178745247421699
"how.","pila","how.::pila",-0.0178284040230644
"and","kan","and::kan",0.0177923085216671
"night","labí","night::labí",0.017782289366042
"mother","iná","mother::iná",0.0177745464676787
"feather","la'wi","feather::la'wi",0.0177587439620083
"we","kami","we::kami",-0.0177403942800843
"stone","ba'tu","stone::ba'tu",0.0176913939349529
"sky","banua","sky::banua",-0.0176886568640038
"Nine","hiyam","Nine::hiyam",-0.0176703739994377
"head","'ʔulu","head::'ʔulu",0.0176592412743471
"to.cook","luto","to.cook::luto",-0.0176306510341054
"Three","tatló","Three::tatló",0.0176265526853989
"hand","dalúkap","hand::dalúkap",0.0174681014341413
"to.dig","kotkot","to.dig::kotkot",-0.0174397788311263
"to.hunt","manganop","to.hunt::manganop",0.0173969093120504
"nose","ilong","nose::ilong",0.0173699301898638
"to.count","bílaŋ","to.count::bílaŋ",-0.0173677999927509
"hair","buhók","hair::buhók",0.017343289524895
"to.buy","bakál","to.buy::bakál",0.0173254756492636
"belly","bituka","belly::bituka",-0.0172785938186553
"neck","ba'gang","neck::ba'gang",0.0172665040398154
"to.grow","tumubo","to.grow::tumubo",-0.0172657797224927
"lake","dánaw","lake::dánaw",0.0172181256323158
"moon","bulán","moon::bulán",0.0171887481585464
"and","ya","and::ya",0.0171706893813171
"to.cry","akis","to.cry::akis",-0.0171667711118757
"right","ziwanan","right::ziwanan",0.017140278078312
"to.choose","píliʔ","to.choose::píliʔ",0.0171300294448205
"if.","nu","if.::nu",0.0171267530489844
"big","dakal","big::dakal",0.0170984080535287
"bone","tulang","bone::tulang",0.0170788054158225
"hand","bɨlad","hand::bɨlad",-0.0169566412502603
"rain","urán","rain::urán",0.0169362522060829
"rotten","lubók","rotten::lubók",0.0168859540789628
"tooth","ŋipon","tooth::ŋipon",-0.0168530917658436
"wing","payaʔ","wing::payaʔ",0.0168144361037155
"year","ta'wɨn","year::ta'wɨn",0.0167648541027656
"thatch.roof","atep","thatch.roof::atep",-0.0167275681245648
"Three","tallu","Three::tallu",0.016705889827208
"to.count","'bilang","to.count::'bilang",0.0166573710037337
"spider","kakawwa","spider::kakawwa",0.0165621273373183
"stick.wood","káyu","stick.wood::káyu",0.0165473541130777
"this","iní","this::iní",-0.0165450168032928
"ash","abó","ash::abó",0.0165283359777178
"blood","dugo","blood::dugo",0.0164451871753745
"skin","kulit","skin::kulit",-0.0162416125549166
"intestines","'bagis","intestines::'bagis",0.0162144780772995
"root","dalid","root::dalid",-0.0160604545214527
"name","aran","name::aran",0.0160578101543067
"leg.foot","paʔa","leg.foot::paʔa",-0.0159836271368993
"no..not","awan","no..not::awan",0.0159755442687999
"thou","ikaw","thou::ikaw",0.015971208816081
"in..inside","ha","in..inside::ha",-0.0159445410280466
"to.die..be.dead","matáy","to.die..be.dead::matáy",0.0159414371699346
"fruit","buŋa","fruit::buŋa",0.0159173010067191
"what.","ano","what.::ano",0.0158484958030637
"fire","ʔapuy","fire::ʔapuy",0.0158015846647665
"he.she","tana","he.she::tana",0.0157755171114323
"skin","gaddang","skin::gaddang",0.0156895267583623
"blood","dugúʔ","blood::dugúʔ",0.0156572541694734
"to.choose","'pili","to.choose::'pili",0.0156570570333952
"water","danum","water::danum",0.0155721012641061
"smoke","asuk","smoke::asuk",-0.0155583768654572
"sky","lángit","sky::lángit",0.0155368719613139
"to.hit","hampák","to.hit::hampák",0.0155296361413528
"Seven","pituʔ","Seven::pituʔ",-0.0154511650737804
"leg.foot","sikí","leg.foot::sikí",0.0154443220435007
"all","ngamin","all::ngamin",0.0153872205943177
"Seven","pito","Seven::pito",-0.015360967500779
"sky","láŋit","sky::láŋit",0.0153242262052826
"to.dig","kalî","to.dig::kalî",0.0153044223108206
"ear","talínga","ear::talínga",0.0152254457172998
"head","ʔulu","head::ʔulu",-0.015217994683342
"wife","asawa","wife::asawa",-0.0151975489102333
"Fifty","singkwénta","Fifty::singkwénta",0.0151871492773998
"mother","nanay","mother::nanay",-0.0151783816829335
"name","ŋáran","name::ŋáran",0.0151356555531299
"this","yaw","this::yaw",0.0151207071534356
"you","kaw","you::kaw",-0.0151165127027885
"hand","lima","hand::lima",0.015084757342638
"salt","timus","salt::timus",-0.0150808350675369
"to.swim","kiyát","to.swim::kiyát",0.0150496522673281
"meat.flesh","karne","meat.flesh::karne",0.0150470868011949
"flower","bulaklák","flower::bulaklák",0.0150233557630368
"all","ʔa'min","all::ʔa'min",0.0149712562014124
"louse","utu","louse::utu",0.0149513588021925
"woman.female","ba'baʔi","woman.female::ba'baʔi",0.0149304621125332
"lake","lanaw","lake::lanaw",-0.0149048068217235
"to.eat","ma'ngan","to.eat::ma'ngan",-0.0148992140093393
"nose","ʔilung","nose::ʔilung",-0.0148475220024545
"Twenty","duwapolo","Twenty::duwapolo",0.0148362357429965
"Ten","sampolo","Ten::sampolo",0.0148201887589912
"stick.wood","kayu","stick.wood::kayu",-0.0148107257504016
"to.vomit","'ʔuta","to.vomit::'ʔuta",0.0147757145355846
"thatch.roof","atop","thatch.roof::atop",0.014765768183962
"salt","ʔasín","salt::ʔasín",0.0147589576356235
"fog","ambon","fog::ambon",0.0146975412629423
"house","balɨy","house::balɨy",-0.0146400782847622
"to.die..be.dead","natay","to.die..be.dead::natay",0.0146366613384036
"back","pɨka","back::pɨka",-0.0146240313007568
"to.hunt","anop","to.hunt::anop",-0.0146080650146534
"mosquito","lamok","mosquito::lamok",0.0145927770520489
"star","bituón","star::bituón",0.0145535081979515
"to.count","bilang","to.count::bilang",-0.0145459556036549
"husband","ʔa'sawa","husband::ʔa'sawa",0.0145234913049545
"fruit","burak","fruit::burak",0.01451979762191
"wet","nabasa","wet::nabasa",0.0145112379343619
"fat.grease","tambok","fat.grease::tambok",0.0144730094619953
"Four","ʔɨ'pat","Four::ʔɨ'pat",0.0144701455036221
"to.come","umali","to.come::umali",0.0144608195018677
"back","likod","back::likod",0.0144464742128436
"name","ngadan","name::ngadan",0.014391389966531
"ear","'ʔinga","ear::'ʔinga",0.0143800860870671
"to.come","omali","to.come::omali",0.0143594037044615
"leg.foot","siki","leg.foot::siki",0.0143543601889097
"rat","otot","rat::otot",0.0143433567204562
"to.choose","píli","to.choose::píli",0.0142519519079191
"feather","dutdut","feather::dutdut",0.0142345949442057
"to.buy","bumilí","to.buy::bumilí",0.0142083974469066
"big","dako","big::dako",0.0142035034667403
"to.eat","makaon","to.eat::makaon",0.0141941795706658
"to.lie.down","umbog","to.lie.down::umbog",0.0141811730366752
"ear","taliŋa","ear::taliŋa",0.0141630386153247
"sand","baras","sand::baras",0.0141552403411651
"lake","danaw","lake::danaw",0.0141215574313713
"lightning","kílat","lightning::kílat",0.0141212225068164
"to.walk","manálan","to.walk::manálan",0.014100454610312
"dust","tapok","dust::tapok",0.0140857797510751
"One","isa","One::isa",0.0140747541219929
"to.vomit","suka","to.vomit::suka",-0.0140651912761422
"he.she","siya","he.she::siya",0.0140382732134589
"star","bitun","star::bitun",0.0140226969496007
"neck","buʔlaw","neck::buʔlaw",0.0140207650141086
"where.","ano","where.::ano",-0.014006075735258
"stick.wood","kahoy","stick.wood::kahoy",0.0139922673659266
"yellow","madiláw","yellow::madiláw",0.0139853905766105
"rope","tali","rope::tali",-0.0139829537921349
"belly","tiyan","belly::tiyan",-0.0139574282151457
"tongue","dílaʔ","tongue::dílaʔ",0.0139441571907156
"to.kill","patáy","to.kill::patáy",0.01393686819968
"rope","kalát","rope::kalát",0.0139073204107713
"painful..sick","ma-sakít","painful..sick::ma-sakít",-0.0138808994251779
"hand","íma","hand::íma",0.0138240163165895
"to.walk","ma'nalan ('dalan)","to.walk::ma'nalan ('dalan)",0.0137818246763418
"warm","mainit","warm::mainit",0.0137792705701205
"if.","kon","if.::kon",0.0137699350936954
"wife","ʔa'sawa","wife::ʔa'sawa",0.0136650262522284
"to.swim","aglangóy","to.swim::aglangóy",0.0136603439953154
"bad..evil","masamâ","bad..evil::masamâ",0.0136262500917282
"Three","tulú","Three::tulú",0.013576876991981
