"model","r.squared","adj.r.squared","aic","n","term","estimate","std.error","statistic","p.value"
"OLS (unweighted)",0.0374334153073273,0.0283525984706039,-70.8605796910233,108,"(Intercept)",0.147966268479424,0.0269296281030033,5.49455298504188,2.71493268995923e-07
"OLS (unweighted)",0.0374334153073273,0.0283525984706039,-70.8605796910233,108,"dist",-9.92734960768618e-05,4.88951798794358e-05,-2.03033297600392,0.0448267483360057
