"","AgtaBulusan","AgtaCasiguran","AgtaDumagat","AgtaDupaningan","AgtaIraya","AgtaIriga","AgtaIsarog","AgtaLabin","AgtaLopez","AgtaMaddela","AgtaManide","AgtaMatnog","AgtaRemontado","Agutaya","Apayao","Arta","AtaManobo","AtiNegros","AtiPanay","AttaRizal","AyanganIfugao","AytaAmbala","AytaMag-antsi","AytaMag-indi","AytaMagbukon","AytaSambal","BagoboKlata","Balangao","Batak","Bicolano","BinukidnonNegros","BlaanKoronadal","BlaanSarangani","Boholano","Bolinao","Bontoc","Bugkalot","BukdinonMatigsalug","BukidnonBinukid","BukidnonHigaonon","BukidnonManobo","BukidnonTalaandig","BukidnonTigwahanon","BukidnonUmayamnon","Cebuano","Chavacano","Cinamiguin","Cuyonon","DavaoMatigsalug","Dibabaon","Gaddang","Gddang","Hilgaynon","Ibaloi","Ibanag","Ibatan","Ilocano","Iranun","Itawis","Itbayaten","Itneg","Ivatan","Kagayanen","Kalagan","Kalanguya","Kalinga","Kamayo","Kankanaey","Kapampangan","Kinaray-a","Lambanguian","Maguindanaon","Malaweg","Mamanwa","Mandaya","Manguangan","MangyanBangon","MangyanBuhid","MangyanHanunuo","MangyanIraya","ManoboAgusan","ManoboDulangan","ManoboIlianen","ManoboRK","ManoboSarangani","ManoboTagabawa","Mansaka","Meranao","Molbog","Obo","OvuManuvo","Palawano","Pangasinan","SamaBangingi","SamaDeyaBonggao","SamaDilautBonggao","SamaDilautMampang","SamaDilautTaluksangay","SamaKabingaan","Sambal","Sangil","Subanen","Subanon","Sulodnon","Surigaonon","Tagakaolo","Tagalog","Tagbanwa","Tausug","Tboli","Teduray","TuwaliIfugao","Waray","Yakan","Yogad"
"AgtaManide",0,0,0,0,0,0,0,0,0.0747355555555556,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AgtaMatnog",0.008051,0,0,0,0.00135555555555556,0.001414,0.001332,0,0.000818,0,0,1,0.000524444444444444,0.000645555555555556,0,0,0,0.00199666666666667,0.000881666666666667,0.000781111111111111,0,0,0,0,0,0.0013,0.001072,0,0,0.007061,0.0010675,4.75e-05,0.002308,0.001706,0.002305,0,0,0,0.0010775,0,0,0,0,0.000305,0.003045,0.00497,0.001236,0.000492,0,0.000362222222222222,0.00686,0.00372,0.004099,0,0.00742333333333333,0.00139,0.007819,0.003306,0.003408,0.0062025,0,0.002425,0.001344,0.00056,0,0.000418,0.002299,0,0.002395,0.001961,2e-04,0.00141,0.004383,0,0.002251,0,0,0,0,9.8e-05,0.00344666666666667,4.7e-05,0,0.00120888888888889,0,0,0,0.002223,0,0,3.625e-05,0,0.00547,0.000804444444444444,0.00208125,0,0,0,0,0.00520571428571429,0.000479,0.000629,0.001307,0.002935,0.002731,0.000201111111111111,0.003767,0.000711,0.000506,0.000174,0.000116,0,0.007603,0,0.005819
"AgtaRemontado",0.000867777777777778,0,0.0189544444444444,0,0.000116049382716049,0.000801111111111111,0.000175555555555556,0,0.000881111111111111,0,0,0.000524444444444444,1,0.000241975308641975,0,0,0,0.000525925925925926,0,0.000177777777777778,0,0,0,0.000486666666666667,0,0.00104074074074074,0,0,0,0.000975555555555555,0.00015,0,7.77777777777778e-05,0,0.000168518518518519,0,0,0,0.000483333333333333,0,0,0,0,0,0.000524444444444444,0.00110222222222222,0,0.000134444444444444,0,0,0.000240277777777778,0,0.000204444444444444,0,0.000666666666666667,0,0.000797777777777778,0,0,0.00105,0,8.77777777777778e-05,6e-05,0.000106172839506173,0,0,0,0,8.22222222222222e-05,0,0,0,0.000283333333333333,0,0.00029,0,0,0,0,0.000156666666666667,0.000371604938271605,0,0,0,0,0,0,0.000153333333333333,0,0,0,0,0.000952222222222222,0.000149382716049383,0,0,0,0,0,0.000611111111111111,0,0,0,0.000163333333333333,0.000423333333333333,0,0.000406666666666667,7.88888888888889e-05,0,0,0,0,0.000224444444444444,0,0.000727777777777778
"Agutaya",0.000577777777777778,0,0,0,0.000150617283950617,0.000794444444444444,0.000217777777777778,0,0.000173333333333333,0,0,0.000645555555555556,0.000241975308641975,1,0,0,0,0.00121481481481481,0.000416666666666667,0.000198765432098765,0,0,0,0,0,0.000680246913580247,0.000214444444444444,0,0,0.000704444444444444,0.000408333333333333,0,0.00123111111111111,0.000337777777777778,0.000144444444444444,0,0,0,0.000508333333333333,0.00012962962962963,8.33333333333333e-05,0,0,0.000174074074074074,0.000415555555555556,0.00129444444444444,0.000134444444444444,0.00536333333333333,0,0.000375308641975309,0.00205277777777778,0.000361111111111111,0.00164555555555556,0,0.00230864197530864,0,0.00148,0.000713333333333333,0.000306666666666667,0.00151666666666667,0,0.000555555555555556,0.00156222222222222,0.000225925925925926,0,0.000423333333333333,0.000363333333333333,0,4e-04,0.00261777777777778,7.44444444444444e-05,7.55555555555556e-05,0.00110444444444444,0,0.000715555555555556,0,0,0,0,1.22222222222222e-05,0.0013320987654321,6.22222222222222e-05,0,0.000304938271604938,0,0,0,0.000253333333333333,0,0,0,0,0.00166111111111111,0.000107407407407407,0.000961111111111111,0,0,0,0,0.00146031746031746,0,5.44444444444444e-05,2.22222222222222e-05,0.00256555555555556,0.000524444444444444,0.000103703703703704,0.000543333333333333,0.000214444444444444,9.55555555555556e-05,0,0,0,0.00181111111111111,0,0.00125777777777778
"Apayao",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000877777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00316111111111111,0.00253,0,0,0.00214444444444444,0,0.00202888888888889,0,0,0.00195833333333333,0.0134588888888889,0.00124222222222222,0,0,0,0.00377111111111111,0,0,0,0,0,0,0.00280777777777778,0,0,0,0,0,0,0,0.000739506172839506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arta",0,0.0591571428571429,0,0,0,0,0,0,0,0.0729722222222222,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AtaManobo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505,0,0,5.66666666666667e-05,0,0.00166805555555556,0.000674074074074074,0,0,0,0,0.00569861111111111,0.000183950617283951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000687654320987654,0,0,0,0,0,0,0,0,0,0.00166944444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AtiNegros",0.00274,0,0,0,0.000451851851851852,0.00158166666666667,0.00101833333333333,0,0,0,0,0.00199666666666667,0.000525925925925926,0.00121481481481481,0,0,0,1,0.00955277777777778,0.000392592592592593,0,0,0,0,0,0.0013462962962963,0.001315,0,0,0.00373833333333333,0.00340208333333333,0.000233333333333333,0.00265333333333333,0.00058,0.00122222222222222,0,0,0,0.00149375,0.000485185185185185,0.000151666666666667,0,0,0.000402777777777778,0.00390666666666667,0.00438333333333333,0.000883333333333333,0.00160833333333333,0,0.00103333333333333,0.00531875,0.000305,0.00913166666666667,0,0.0043537037037037,0.000944444444444444,0.00376,0.00214666666666667,0.00187666666666667,0.00657083333333333,0,0.00135666666666667,0.00311666666666667,0.000896296296296296,0,0,0.00251333333333333,0,0.00104833333333333,0.00939666666666667,7.16666666666667e-05,0.000955,0.003855,0,0.00276333333333333,0,0,0,0,0.000223333333333333,0.00436296296296296,3e-04,0,0.000951851851851852,0,0,0,0.000655,0,0,0,0,0.00408833333333333,0.000540740740740741,0.00151458333333333,0,0,0,4.16666666666667e-05,0.00457142857142857,0.00048,0.000366666666666667,0.000508333333333333,0.00898666666666667,0.00191833333333333,0.000251851851851852,0.00157833333333333,0.00105166666666667,0.001,0,0.000353333333333333,0,0.007465,0,0.00240833333333333
"AtiPanay",0.001075,0,0,0,0.000446296296296296,0.00112166666666667,0.000556666666666667,0,0.000323333333333333,0,0,0.000881666666666667,0,0.000416666666666667,0,0,0,0.00955277777777778,1,0.000625925925925926,0,0,0,0,0,0.00104074074074074,0.00019,0,0,0.00154333333333333,5e-04,0,0.00133666666666667,0,0,0,0,0,0.000264583333333333,2.96296296296296e-05,0.00015,0,0,0,0.000988333333333333,0.002285,0.000311666666666667,0.00146,0.000220833333333333,0.000262962962962963,2.91666666666667e-05,0.000691666666666667,0.00628333333333333,0,0.00150740740740741,0.000483333333333333,0.000745,0.000193333333333333,0.000376666666666667,0,0,0.000351666666666667,0.000735,0.000207407407407407,0,0,8.5e-05,0,0.000438333333333333,0.008095,0,0.000253333333333333,0.00164833333333333,0,0.00132833333333333,0,0,0,0,0.000191666666666667,0.00209814814814815,0.000488333333333333,0,9.07407407407407e-05,0,0,0,0.000625,0,0,0,0,0.001895,0.000698148148148148,0.0005625,0,0,0,0,0.000633333333333333,0,0,0.000556666666666667,0.00571,0.000836666666666667,0,0.000926666666666667,0.000586666666666667,0.000451666666666667,0,0,0,0.00194666666666667,0,0.00055
"AttaRizal",0.000723333333333333,0,0,0.0013,0.000401234567901235,0.000163333333333333,0.000134444444444444,0.00615061728395062,0.000415555555555556,0,0,0.000781111111111111,0.000177777777777778,0.000198765432098765,0,0,0,0.000392592592592593,0.000625925925925926,1,0,0,0,0.000336666666666667,0,0.000367901234567901,0.00013,0,0,0.00120555555555556,0.000376388888888889,6.52777777777778e-05,0.000217777777777778,0.000137777777777778,0.000561111111111111,0,0,0,0.000340277777777778,4.81481481481481e-05,0,0,0,1e-04,0.000102222222222222,0.000667777777777778,2.44444444444444e-05,0.000291111111111111,0,0,0.00182777777777778,0.000581111111111111,0.000784444444444444,0,0.00166296296296296,0.000431481481481482,0.00204111111111111,0.000487777777777778,0.000385555555555555,0.00132777777777778,0,0.000704444444444444,0.000187777777777778,8.14814814814815e-05,0,0,0.00022,0,0.000162222222222222,0.00021,0,6.77777777777778e-05,0.00168111111111111,0,0.000295555555555556,0,0,0,0,0.000152222222222222,0.000561728395061728,8.88888888888889e-06,0,0.000230864197530864,0,0,0,7.44444444444444e-05,0,0,0,0,0.00114,0,0.000527777777777778,0,0,0,0,0.00101111111111111,2.11111111111111e-05,0.000182222222222222,2.33333333333333e-05,4.11111111111111e-05,0.000483333333333333,0,0.000668888888888889,0.000273333333333333,0,0,0,0,0.000834444444444444,0,0.00170555555555556
