tip,glottocode,gb_name,is_philippine,n_answered,GB020,GB021,GB022,GB023,GB028,GB030,GB031,GB035,GB036,GB037,GB042,GB043,GB044,GB051,GB052,GB053,GB054,GB065,GB070,GB071,GB072,GB073,GB079,GB080,GB082,GB083,GB084,GB086,GB089,GB090,GB091,GB092,GB093,GB094,GB107,GB121,GB130,GB131,GB137,GB138,GB171,GB172,GB186,GB192,GB196,GB197,GB316,GB318,GB321,GB415
Paulohi,paul1238,Paulohi,FALSE,50,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Ponapean,pohn1238,Pohnpeian,FALSE,50,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
PuloAnnan,sons1242,Sonsorol,FALSE,50,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Puluwatese,pulu1242,Puluwatese,FALSE,48,0,0,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
RapanuiEasterIsland,rapa1244,Rapanui,FALSE,49,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,0,1,0,0
Rarotongan,raro1241,Southern Cook Island Maori,FALSE,50,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0
RotiTermanu_D,term1237,Termanu,FALSE,50,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
Rotuman,rotu1241,Rotuman,FALSE,48,1,0,1,1,1,0,1,1,NA,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Roviana,rovi1238,Roviana,FALSE,48,1,NA,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,NA
Rukai,ruka1240,Rukai,FALSE,50,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,3,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0
Saa,saaa1240,Sa'a,FALSE,48,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,0,0,1,0,0,0,0,0,0,1
Saaroa,saar1237,Saaroa,FALSE,50,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
Saisiat,sais1237,Saisiyat,FALSE,50,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SakaoPortOlry,saka1289,Wanohe,FALSE,50,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SambalBotolan,boto1242,Botolan Sambal,TRUE,50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
Samoan,samo1305,Samoan,FALSE,50,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,0,0
Satawalese,sata1237,Satawalese,FALSE,49,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,NA
Savu,sabu1255,Hawu,FALSE,48,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,NA,0,1,0,0,0,0,NA,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Seimat,seim1238,Seimat,FALSE,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Selaru,sela1259,Selaru,FALSE,50,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Sikaiana,sika1261,Sikaiana,FALSE,48,1,NA,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,NA
Siraya,sira1267,Sirayaic,FALSE,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,0,1,NA,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
SouthEfate,sout2856,South Efate,FALSE,50,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,2,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
SubanonSiocon,west2557,Western Subanon,TRUE,50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,1,0,0
TagbanwaAborlan_D,cent2090,Central Tagbanwa,TRUE,49,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,0,1,0,0
TahitianModern,tahi1242,Tahitian,FALSE,49,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,NA
Takuu,taku1257,Takuu,FALSE,49,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,NA
Tanema,tane1237,Tanema,FALSE,48,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0
Tape,mara1399,Maragus,FALSE,50,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
TausugJolo_D,taus1251,Tausug,TRUE,50,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,1,0,0
TboliTagabili,tbol1240,Tboli,TRUE,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0
Tetum,tetu1246,Tetun Dili,FALSE,50,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Thao,thao1240,Thao,FALSE,50,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0
Tigak,tiga1245,Tigak,FALSE,50,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Tikopia,tiko1237,Tikopia,FALSE,50,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1
TimugonMurut,timu1262,Timugon Murut,FALSE,50,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
Toambaita,toab1237,To'abaita,FALSE,50,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
TobaBatak,bata1289,Batak Toba,FALSE,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0
Tokelau,toke1240,Tokelau,FALSE,49,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,1,1,1,NA,0,1,0,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,1,1,0,0
Tongan,tong1325,Tonga (Tonga Islands),FALSE,50,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
Tuvalu,tuva1244,Tuvalu,FALSE,49,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,NA,0,0,0,1,0,0,1
Ubir,ubir1237,Ubir,FALSE,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UveaEast,wall1257,East Uvean,FALSE,50,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0
UveaWest,west2516,West Uvean,FALSE,50,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1
VaeakauTaumako,pile1238,Vaeakau-Taumako,FALSE,50,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0
Vano,vano1237,Lovono,FALSE,48,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0
Vitu,mudu1242,Muduapa,FALSE,49,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,NA,0,0
WindesiWandamen,wand1267,Wandamen,FALSE,49,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,NA,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Woleai,wole1240,Woleaian,FALSE,48,0,0,0,0,1,0,0,1,NA,1,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,NA
Wolio,woli1241,Wolio,FALSE,50,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
Wuvulu,wuvu1239,Wuvulu-Aua,FALSE,48,0,0,1,0,1,0,1,1,NA,NA,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Yakan,yaka1277,Yakan,TRUE,50,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0
Yami,yami1254,Yami,FALSE,50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
