tip,glottocode,gb_name,is_philippine,n_answered,GB020,GB021,GB022,GB023,GB028,GB030,GB031,GB035,GB036,GB037,GB042,GB043,GB044,GB051,GB052,GB053,GB054,GB065,GB070,GB071,GB072,GB073,GB079,GB080,GB082,GB083,GB084,GB086,GB089,GB090,GB091,GB092,GB093,GB094,GB107,GB121,GB130,GB131,GB137,GB138,GB171,GB172,GB186,GB192,GB196,GB197,GB316,GB318,GB321,GB415
Gayo,gayo1244,Gayo,FALSE,50,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1
GhariGuadalcanal,ghar1239,Ghari,FALSE,49,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,NA
HainanCham,tsat1238,Tsat,FALSE,50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Hawaiian,hawa1245,Hawaiian,FALSE,49,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0
HoavaNewGeorgia,hoav1238,Hoava,FALSE,49,1,NA,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,2,1,0,1,0,0,1,0,0,0,1,1,0,0
Iban,iban1264,Iban,FALSE,50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibanag,iban1267,Ibanag,TRUE,50,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0
IfugaoBayninan,kele1259,Keley-i Kallahan,TRUE,50,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Iliun,iliu1237,Ili'uun,FALSE,50,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
Imorod,ivat1242,Itbayat,TRUE,49,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0
Inibaloi,ibal1244,Ibaloi,TRUE,50,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0
IsnegDibagatKabugaoIsneg,isna1241,Isnag,TRUE,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0
KakidugenIlongot,ilon1239,Ilongot,TRUE,50,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0
KalingaGuinaangLubuagan_D,lubu1243,Lubuagan Kalinga,TRUE,48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,1,0,NA,1,0,1,0,1,0,NA,0,2,1,0,1,0,0,0,0,0,0,1,1,0,0
Kambera,kamb1299,Kambera,FALSE,50,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
KasiraIrahutu,irar1238,Irarutu,FALSE,49,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,NA,0,1,0,1,0,1,1,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0
Kavalan,kava1241,Kavalan,FALSE,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
KayanUmaJuman,reja1241,Rejang Kayan,FALSE,49,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0
Kedang,keda1252,Kedang,FALSE,48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
KiaZabana,zaba1237,Zabana,FALSE,49,1,0,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,2,1,0,1,0,0,1,0,0,0,1,1,0,0
Kilivila,kili1267,Kilivila,FALSE,49,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,NA,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1
Kiribati,gilb1244,Gilbertese,FALSE,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Kokota,koko1269,Kokota,FALSE,50,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1
Kove,kove1237,Kove,FALSE,49,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA
Kuanua,kuan1248,Kuanua,FALSE,48,1,1,1,0,1,0,1,NA,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,NA
Kusaie,kosr1238,Kosraean,FALSE,50,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Kwaio,kwai1243,Kwaio,FALSE,50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
Kwamera,kwam1252,Kwamera,FALSE,50,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
KwaraaeSolomonIslands,kwar1239,Kwara'ae,FALSE,50,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Lamaholot,lama1277,Lamaholot,FALSE,50,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LamboyaLaboya,lamb1273,Lamboya,FALSE,48,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Lenakel,lena1238,Lenakel,FALSE,50,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
Letinese,leti1246,Leti (Indonesia),FALSE,50,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Loniu,loni1238,Loniu,FALSE,48,1,0,1,0,1,0,1,NA,0,NA,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
Lou,louu1245,Lou,FALSE,48,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,NA,1,0,NA
Luang,luan1263,Luang,FALSE,50,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Luangiua,onto1237,Luangiua,FALSE,49,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,NA,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0
LungaLungaMinigir,mini1251,Minigir,FALSE,49,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,NA
Maanyan,maan1238,Ma'anyan,FALSE,50,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Madara,mand1440,Mandara,FALSE,50,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0
Maleu,male1289,Maleu-Kilenge,FALSE,49,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA
Mambai,mamb1306,Mambae,FALSE,50,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Manam,mana1295,Manam,FALSE,48,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,NA,0,0,0,0,0,0,NA
Mangareva,mang1401,Mangareva,FALSE,49,1,0,1,0,1,0,1,1,0,NA,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
