phoneme_id,ipa,global_n,class
phoneme_138,a̤,4,vowel
phoneme_139,ə,600,vowel
phoneme_140,ɨ̅,1,vowel
phoneme_141,ɨ,292,vowel
phoneme_142,aː,1,vowel
phoneme_143,ɵ,22,vowel
phoneme_144,ə̤,1,vowel
phoneme_145,a,1876,vowel
phoneme_146,a̰,1,vowel
phoneme_147,ɡ/n,13,click
phoneme_148,ˀnʘ,1,click
phoneme_149,qʘʰ,1,click
phoneme_150,G!ʰ,1,click
phoneme_151,Gʘʰ,1,click
phoneme_152,nǁ,29,click
phoneme_153,nǂˀʰ,1,click
phoneme_154,ǁˣ,24,click
phoneme_155,ɡ/ˣ,5,click
phoneme_156,/kˣˀ,1,click
phoneme_157,ǁkˣˀ,1,click
phoneme_158,Gʘ,1,click
phoneme_159,nǁˣ,3,click
phoneme_160,ɡ/kˣˀ,3,click
phoneme_161,qǂˀ,1,click
phoneme_162,n!ˀʰ,1,click
phoneme_163,q!ʰ,1,click
phoneme_164,!,29,click
phoneme_165,ǁˣˀ,15,click
phoneme_166,/ʰ,29,click
phoneme_167,nʘ,4,click
phoneme_168,ǂʰ,19,click
phoneme_169,!ʱ,2,click
phoneme_170,ᵑ!,1,click
phoneme_171,/ˀ,28,click
phoneme_172,n/ˣ,3,click
phoneme_173,qǁˀ,1,click
phoneme_174,n!,24,click
phoneme_175,+,0,click
phoneme_176,n!n,2,click
phoneme_177,ǂ,20,click
phoneme_178,/,34,click
phoneme_179,nǂʱ,2,click
phoneme_180,ǂkˣˀ,1,click
phoneme_181,ᵑ/,2,click
phoneme_182,n+,0,click
phoneme_183,n̥ʘ,1,click
phoneme_184,ᵑ!ᶢ,2,click
phoneme_185,q/ˀ,1,click
phoneme_186,n/ˀʰ,1,click
phoneme_187,!ˣ,20,click
phoneme_188,!ˣˀ,14,click
phoneme_189,n/,31,click
phoneme_190,nǂˣ,1,click
phoneme_191,n/ʱ,2,click
phoneme_192,n̥ǂ,1,click
phoneme_193,Gǂ,1,click
phoneme_194,ˀn!,1,click
