ID	Concept	Language	IPA
1603	bone	IBANAG	tulaŋ
1604	breast	IBANAG	susu
1605	come	IBANAG	umarani
1606	die	IBANAG	mataj
1607	dog	IBANAG	kitu
1608	drink	IBANAG	uminum
1609	ear	IBANAG	taliŋa
1610	eye	IBANAG	mata
1611	fire	IBANAG	afi
1612	fish	IBANAG	sira
1613	full	IBANAG	
1614	hand	IBANAG	lima
1615	hear	IBANAG	magina
1616	horn	IBANAG	
1617	knee	IBANAG	
1618	leaf	IBANAG	don
1619	liver	IBANAG	agal
1620	louse	IBANAG	lita
1621	mountain	IBANAG	
1622	name	IBANAG	ŋagan
1623	new	IBANAG	bagu
1624	night	IBANAG	gabi
1625	nose	IBANAG	iguŋ
1626	one	IBANAG	tadaj
1627	path	IBANAG	dalan
1628	person	IBANAG	tolaj
1629	see	IBANAG	masiŋan
1630	skin	IBANAG	tabiʔ
1631	star	IBANAG	bitun
1632	stone	IBANAG	batu
1633	sun	IBANAG	
1634	tongue	IBANAG	zila
1635	tooth	IBANAG	ŋipan
1636	tree	IBANAG	
1637	two	IBANAG	duwa
1638	water	IBANAG	danum
1639	we	IBANAG	sitam
1640	you	IBANAG	sikaw
1641	I	IDAAN	aku
1642	blood	IDAAN	ndaʔ
1643	bone	IDAAN	tulaŋ
1644	breast	IDAAN	tusu
1645	come	IDAAN	mosob
1646	die	IDAAN	mataj
1647	dog	IDAAN	asu
1648	drink	IDAAN	minum
1649	ear	IDAAN	toliŋo
1650	eye	IDAAN	mato
1651	fire	IDAAN	apuj
1652	fish	IDAAN	pait
1653	full	IDAAN	
1654	hand	IDAAN	opiʔ
1655	hear	IDAAN	kiŋog
1656	horn	IDAAN	
1657	knee	IDAAN	
1658	leaf	IDAAN	daun
1659	liver	IDAAN	ataj
1660	louse	IDAAN	kutu
1661	mountain	IDAAN	
1662	name	IDAAN	naran
1663	new	IDAAN	bagku
1664	night	IDAAN	gabpi
1665	nose	IDAAN	iruŋ
1666	one	IDAAN	saʔ
1667	path	IDAAN	dalan
1668	person	IDAAN	ulun
1669	see	IDAAN	mata
1670	skin	IDAAN	kulit
1671	star	IDAAN	botun
1672	stone	IDAAN	batu
1673	sun	IDAAN	
1674	tongue	IDAAN	dilaʔ
1675	tooth	IDAAN	nipon
1676	tree	IDAAN	
1677	two	IDAAN	duo
1678	water	IDAAN	sapaʔ
1679	we	IDAAN	kito
1680	you	IDAAN	ikaw
1681	I	IFUGAO AMGANAD	haʔʔon
1682	blood	IFUGAO AMGANAD	dala
1683	bone	IFUGAO AMGANAD	tuŋal
1684	breast	IFUGAO AMGANAD	palagpag
1685	come	IFUGAO AMGANAD	
1686	die	IFUGAO AMGANAD	
1687	dog	IFUGAO AMGANAD	kahu
1688	drink	IFUGAO AMGANAD	uminum
1689	ear	IFUGAO AMGANAD	iŋa
1690	eye	IFUGAO AMGANAD	mata
1691	fire	IFUGAO AMGANAD	apuj
1692	fish	IFUGAO AMGANAD	dolog
1693	full	IFUGAO AMGANAD	napnu
1694	hand	IFUGAO AMGANAD	taʔle
1695	hear	IFUGAO AMGANAD	doŋol
1696	horn	IFUGAO AMGANAD	
1697	knee	IFUGAO AMGANAD	lulug
1698	leaf	IFUGAO AMGANAD	tubu
1699	liver	IFUGAO AMGANAD	alte
1700	louse	IFUGAO AMGANAD	utu
1701	mountain	IFUGAO AMGANAD	billid
1702	name	IFUGAO AMGANAD	ŋadan
1703	new	IFUGAO AMGANAD	paʔʔala
1704	night	IFUGAO AMGANAD	nahadom
1705	nose	IFUGAO AMGANAD	oloŋ
1706	one	IFUGAO AMGANAD	oha
1707	path	IFUGAO AMGANAD	awon
1708	person	IFUGAO AMGANAD	tagu
1709	see	IFUGAO AMGANAD	tigo
1710	skin	IFUGAO AMGANAD	ʔupʔup
1711	star	IFUGAO AMGANAD	bittuwon
1712	stone	IFUGAO AMGANAD	batu
1713	sun	IFUGAO AMGANAD	
1714	tongue	IFUGAO AMGANAD	dila
1715	tooth	IFUGAO AMGANAD	boba
1716	tree	IFUGAO AMGANAD	kajiw
1717	two	IFUGAO AMGANAD	duwa
1718	water	IFUGAO AMGANAD	litiŋ
1719	we	IFUGAO AMGANAD	ditaʔʔu
1720	you	IFUGAO AMGANAD	heʔʔa
1721	I	IFUGAO BATAD	haʔʔin
1722	blood	IFUGAO BATAD	dala
1723	bone	IFUGAO BATAD	toŋal
1724	breast	IFUGAO BATAD	huhu
1725	come	IFUGAO BATAD	
1726	die	IFUGAO BATAD	
1727	dog	IFUGAO BATAD	kahu
1728	drink	IFUGAO BATAD	inum
1729	ear	IFUGAO BATAD	iŋa
1730	eye	IFUGAO BATAD	mata
1731	fire	IFUGAO BATAD	apuj
1732	fish	IFUGAO BATAD	
1733	full	IFUGAO BATAD	napnu
1734	hand	IFUGAO BATAD	ŋamaj
1735	hear	IFUGAO BATAD	doŋol
1736	horn	IFUGAO BATAD	
1737	knee	IFUGAO BATAD	lulug
1738	leaf	IFUGAO BATAD	pajaʔ
1739	liver	IFUGAO BATAD	oltaj
1740	louse	IFUGAO BATAD	utu
1741	mountain	IFUGAO BATAD	duntug
1742	name	IFUGAO BATAD	ŋadan
1743	new	IFUGAO BATAD	paʔʔamma
1744	night	IFUGAO BATAD	mahdom
1745	nose	IFUGAO BATAD	oloŋ
1746	one	IFUGAO BATAD	goha
1747	path	IFUGAO BATAD	wanti
1748	person	IFUGAO BATAD	tagu
1749	see	IFUGAO BATAD	tigon
1750	skin	IFUGAO BATAD	upʔup
1751	star	IFUGAO BATAD	bittuan
1752	stone	IFUGAO BATAD	batu
1753	sun	IFUGAO BATAD	
1754	tongue	IFUGAO BATAD	dila
1755	tooth	IFUGAO BATAD	baba
1756	tree	IFUGAO BATAD	ajiw
1757	two	IFUGAO BATAD	duwa
1758	water	IFUGAO BATAD	danum
1759	we	IFUGAO BATAD	dituʔu
1760	you	IFUGAO BATAD	heʔʔa
1761	I	IFUGAO BAYNINAN	haʔʔen
1762	blood	IFUGAO BAYNINAN	dala
1763	bone	IFUGAO BAYNINAN	tuŋal
1764	breast	IFUGAO BAYNINAN	palagpag
1765	come	IFUGAO BAYNINAN	
1766	die	IFUGAO BAYNINAN	
1767	dog	IFUGAO BAYNINAN	kahu
1768	drink	IFUGAO BAYNINAN	uminum
1769	ear	IFUGAO BAYNINAN	iŋa
1770	eye	IFUGAO BAYNINAN	mata
1771	fire	IFUGAO BAYNINAN	apuj
1772	fish	IFUGAO BAYNINAN	dolog
1773	full	IFUGAO BAYNINAN	napnu
1774	hand	IFUGAO BAYNINAN	taʔle
1775	hear	IFUGAO BAYNINAN	doŋlon
1776	horn	IFUGAO BAYNINAN	
1777	knee	IFUGAO BAYNINAN	lulug
1778	leaf	IFUGAO BAYNINAN	tubu
1779	liver	IFUGAO BAYNINAN	olte
1780	louse	IFUGAO BAYNINAN	utu
1781	mountain	IFUGAO BAYNINAN	bilid
1782	name	IFUGAO BAYNINAN	ŋadan
1783	new	IFUGAO BAYNINAN	balu
1784	night	IFUGAO BAYNINAN	labi
1785	nose	IFUGAO BAYNINAN	oloŋ
1786	one	IFUGAO BAYNINAN	goha
1787	path	IFUGAO BAYNINAN	awon
1788	person	IFUGAO BAYNINAN	tagu
1789	see	IFUGAO BAYNINAN	tigon
1790	skin	IFUGAO BAYNINAN	upʔup
1791	star	IFUGAO BAYNINAN	bittuwon
1792	stone	IFUGAO BAYNINAN	batu
1793	sun	IFUGAO BAYNINAN	
1794	tongue	IFUGAO BAYNINAN	dila
1795	tooth	IFUGAO BAYNINAN	buba
1796	tree	IFUGAO BAYNINAN	kajiw
1797	two	IFUGAO BAYNINAN	duwa
1798	water	IFUGAO BAYNINAN	leteŋ
1799	we	IFUGAO BAYNINAN	dituʔu
1800	you	IFUGAO BAYNINAN	heʔʔa
1801	I	ILOKANO	siak
1802	blood	ILOKANO	dara
1803	bone	ILOKANO	tulaŋ
1804	breast	ILOKANO	suso
1805	come	ILOKANO	umaj
1806	die	ILOKANO	mataj
1807	dog	ILOKANO	aso
1808	drink	ILOKANO	inom
1809	ear	ILOKANO	lapajag
1810	eye	ILOKANO	mata
1811	fire	ILOKANO	apoj
1812	fish	ILOKANO	ikan
1813	full	ILOKANO	
1814	hand	ILOKANO	ima
1815	hear	ILOKANO	deŋeg
1816	horn	ILOKANO	
1817	knee	ILOKANO	
1818	leaf	ILOKANO	buloŋ
1819	liver	ILOKANO	dalem
1820	louse	ILOKANO	kuto
1821	mountain	ILOKANO	
1822	name	ILOKANO	nagan
1823	new	ILOKANO	baro
1824	night	ILOKANO	rabi
1825	nose	ILOKANO	agoŋ
1826	one	ILOKANO	masa
1827	path	ILOKANO	dalan
1828	person	ILOKANO	tao
1829	see	ILOKANO	kita
1830	skin	ILOKANO	kudil
1831	star	ILOKANO	bituen
1832	stone	ILOKANO	bato
1833	sun	ILOKANO	
1834	tongue	ILOKANO	dila
1835	tooth	ILOKANO	ŋipen
1836	tree	ILOKANO	
1837	two	ILOKANO	dua
1838	water	ILOKANO	danum
1839	we	ILOKANO	datajo
1840	you	ILOKANO	sika
1841	I	ILONGOT KAKIDUGEN	siʔak
1842	blood	ILONGOT KAKIDUGEN	matgə m
1843	bone	ILONGOT KAKIDUGEN	tuʔlaŋ
1844	breast	ILONGOT KAKIDUGEN	tutu
1845	come	ILONGOT KAKIDUGEN	
1846	die	ILONGOT KAKIDUGEN	
1847	dog	ILONGOT KAKIDUGEN	atu
1848	drink	ILONGOT KAKIDUGEN	inum
1849	ear	ILONGOT KAKIDUGEN	taliŋa
1850	eye	ILONGOT KAKIDUGEN	mata
1851	fire	ILONGOT KAKIDUGEN	gapuj
1852	fish	ILONGOT KAKIDUGEN	guduŋ
1853	full	ILONGOT KAKIDUGEN	pənu
1854	hand	ILONGOT KAKIDUGEN	gima
1855	hear	ILONGOT KAKIDUGEN	dəŋəg
1856	horn	ILONGOT KAKIDUGEN	
1857	knee	ILONGOT KAKIDUGEN	
1858	leaf	ILONGOT KAKIDUGEN	buŋ
1859	liver	ILONGOT KAKIDUGEN	agsi
1860	louse	ILONGOT KAKIDUGEN	kutu
1861	mountain	ILONGOT KAKIDUGEN	bəsilid
1862	name	ILONGOT KAKIDUGEN	ŋadən
1863	new	ILONGOT KAKIDUGEN	bəgu
1864	night	ILONGOT KAKIDUGEN	masi
1865	nose	ILONGOT KAKIDUGEN	əgəŋ
1866	one	ILONGOT KAKIDUGEN	sit
1867	path	ILONGOT KAKIDUGEN	bənuwa
1868	person	ILONGOT KAKIDUGEN	tuʔu
1869	see	ILONGOT KAKIDUGEN	buja
1870	skin	ILONGOT KAKIDUGEN	kalib
1871	star	ILONGOT KAKIDUGEN	pandək
1872	stone	ILONGOT KAKIDUGEN	dəpgat
1873	sun	ILONGOT KAKIDUGEN	
1874	tongue	ILONGOT KAKIDUGEN	limut
1875	tooth	ILONGOT KAKIDUGEN	bəʔbə
1876	tree	ILONGOT KAKIDUGEN	kiju
1877	two	ILONGOT KAKIDUGEN	duwa
1878	water	ILONGOT KAKIDUGEN	dənum
1879	we	ILONGOT KAKIDUGEN	sikisi
1880	you	ILONGOT KAKIDUGEN	sika
1881	I	INIBALOI	siʔkak
1882	blood	INIBALOI	Cala
1883	bone	INIBALOI	pokəl
1884	breast	INIBALOI	soso
1885	come	INIBALOI	
1886	die	INIBALOI	
1887	dog	INIBALOI	aso
1888	drink	INIBALOI	inom
1889	ear	INIBALOI	taŋida
1890	eye	INIBALOI	mata
1891	fire	INIBALOI	apoj
1892	fish	INIBALOI	paʔidəŋ
1893	full	INIBALOI	napno
1894	hand	INIBALOI	takdaj
1895	hear	INIBALOI	kidəŋ
1896	horn	INIBALOI	
1897	knee	INIBALOI	powəg
1898	leaf	INIBALOI	boloŋ
1899	liver	INIBALOI	altəj
1900	louse	INIBALOI	koto
1901	mountain	INIBALOI	contog
1902	name	INIBALOI	ŋaran
1903	new	INIBALOI	bado
1904	night	INIBALOI	kaləbian
1905	nose	INIBALOI	ədəŋ
1906	one	INIBALOI	sakəj
1907	path	INIBALOI	calan
1908	person	INIBALOI	toʔo
1909	see	INIBALOI	onʔan
1910	skin	INIBALOI	bidat
1911	star	INIBALOI	talaw
1912	stone	INIBALOI	bato
1913	sun	INIBALOI	
1914	tongue	INIBALOI	Cila
1915	tooth	INIBALOI	saŋi
1916	tree	INIBALOI	kijəw
1917	two	INIBALOI	Cowa
1918	water	INIBALOI	Canom
1919	we	INIBALOI	siʔkito
1920	you	INIBALOI	siʔkam
1921	I	IRANUN	aku
1922	blood	IRANUN	ruguʔ
1923	bone	IRANUN	tulan
1924	breast	IRANUN	susu
1925	come	IRANUN	miakauma
1926	die	IRANUN	miatai
1927	dog	IRANUN	asu
1928	drink	IRANUN	inem
1929	ear	IRANUN	taŋila
1930	eye	IRANUN	mata
1931	fire	IRANUN	apui
1932	fish	IRANUN	sedaʔ
1933	full	IRANUN	
1934	hand	IRANUN	lima
1935	hear	IRANUN	neg
1936	horn	IRANUN	
1937	knee	IRANUN	
1938	leaf	IRANUN	raun
1939	liver	IRANUN	atai
1940	louse	IRANUN	kutu
1941	mountain	IRANUN	
1942	name	IRANUN	ŋaran
1943	new	IRANUN	bagu
1944	night	IRANUN	magabi
1945	nose	IRANUN	ŋiruŋ
1946	one	IRANUN	isa
1947	path	IRANUN	lalan
1948	person	IRANUN	tau
1949	see	IRANUN	ilai
1950	skin	IRANUN	upis
1951	star	IRANUN	bituʔun
1952	stone	IRANUN	watu
1953	sun	IRANUN	
1954	tongue	IRANUN	dilaʔ
1955	tooth	IRANUN	ŋipen
1956	tree	IRANUN	
1957	two	IRANUN	dua
1958	water	IRANUN	aig
1959	we	IRANUN	sekita
1960	you	IRANUN	ta
1961	I	IRIGA	ʔaku
1962	blood	IRIGA	ruguʔ
1963	bone	IRIGA	tulaŋ
1964	breast	IRIGA	susu
1965	come	IRIGA	ʔabut
1966	die	IRIGA	giraʔan
1967	dog	IRIGA	ʔajam
1968	drink	IRIGA	ʔinum
1969	ear	IRIGA	taliŋa
1970	eye	IRIGA	mata
1971	fire	IRIGA	kalaju
1972	fish	IRIGA	ʔisiraʔ
1973	full	IRIGA	punuʔ
1974	hand	IRIGA	kamit
1975	hear	IRIGA	riŋig
1976	horn	IRIGA	suŋuj
1977	knee	IRIGA	tuwud
1978	leaf	IRIGA	dawun
1979	liver	IRIGA	ʔataj
1980	louse	IRIGA	kutu
1981	mountain	IRIGA	kulud
1982	name	IRIGA	ŋaran
1983	new	IRIGA	bagu
1984	night	IRIGA	gabʔi
1985	nose	IRIGA	ʔuruŋ
1986	one	IRIGA	ʔisad
1987	path	IRIGA	dalan
1988	person	IRIGA	tawu
1989	see	IRIGA	bajad
1990	skin	IRIGA	kulit
1991	star	IRIGA	bituʔun
1992	stone	IRIGA	batu
1993	sun	IRIGA	ʔaldiw
1994	tongue	IRIGA	riraʔ
1995	tooth	IRIGA	ŋipin
1996	tree	IRIGA	kawuj
1997	two	IRIGA	darawa
1998	water	IRIGA	tubig
1999	we	IRIGA	kita
2000	you	IRIGA	kamu
2001	I	ISNAG	ijaʔ
2002	blood	ISNAG	daga
2003	bone	ISNAG	tulaŋ
2004	breast	ISNAG	gatat
2005	come	ISNAG	umbet
2006	die	ISNAG	nataj
2007	dog	ISNAG	atu
2008	drink	ISNAG	inum
2009	ear	ISNAG	taliŋa
2010	eye	ISNAG	mata
2011	fire	ISNAG	apuj
2012	fish	ISNAG	sisida
2013	full	ISNAG	napnu
2014	hand	ISNAG	ima
2015	hear	ISNAG	magina
2016	horn	ISNAG	sagud
2017	knee	ISNAG	utud
2018	leaf	ISNAG	adon
2019	liver	ISNAG	agtaj
2020	louse	ISNAG	kutu
2021	mountain	ISNAG	bantaj
2022	name	ISNAG	ŋagan
2023	new	ISNAG	baru
2024	night	ISNAG	gabi
2025	nose	ISNAG	iguŋ
2026	one	ISNAG	isa
2027	path	ISNAG	dalen
2028	person	ISNAG	tolaj
2029	see	ISNAG	nasiŋan
2030	skin	ISNAG	lublub
2031	star	ISNAG	bituwan
2032	stone	ISNAG	batu
2033	sun	ISNAG	mata
2034	tongue	ISNAG	dila
2035	tooth	ISNAG	ŋipan
2036	tree	ISNAG	kaju
2037	two	ISNAG	duwa
2038	water	ISNAG	danum
2039	we	ISNAG	dakami
2040	you	ISNAG	ikaw
2041	I	ISNEG	ijaʔ
2042	blood	ISNEG	daga
2043	bone	ISNEG	tulaŋ
2044	breast	ISNEG	gatat
2045	come	ISNEG	
2046	die	ISNEG	
2047	dog	ISNEG	atu
2048	drink	ISNEG	uminum
2049	ear	ISNEG	taliŋa
2050	eye	ISNEG	mata
2051	fire	ISNEG	apuj
2052	fish	ISNEG	sissida
2053	full	ISNEG	napnu
2054	hand	ISNEG	ima
2055	hear	ISNEG	magiʔna
2056	horn	ISNEG	
2057	knee	ISNEG	utud
2058	leaf	ISNEG	adon
2059	liver	ISNEG	agtaj
2060	louse	ISNEG	kutu
2061	mountain	ISNEG	bantaj
2062	name	ISNEG	ŋagan
2063	new	ISNEG	bagu
2064	night	ISNEG	gabi
2065	nose	ISNEG	iguŋ
2066	one	ISNEG	isa
2067	path	ISNEG	dalen
2068	person	ISNEG	tolaj
2069	see	ISNEG	masiŋan
2070	skin	ISNEG	lublub
2071	star	ISNEG	bittuwan
2072	stone	ISNEG	batu
2073	sun	ISNEG	
2074	tongue	ISNEG	dila
2075	tooth	ISNEG	ŋipan
2076	tree	ISNEG	kaju
2077	two	ISNEG	duwa
2078	water	ISNEG	danum
2079	we	ISNEG	daʔtada
2080	you	ISNEG	ikaw
2081	I	ITAWIT	jEkEn
2082	blood	ITAWIT	dEhE
2083	bone	ITAWIT	tulEŋ
2084	breast	ITAWIT	susu
2085	come	ITAWIT	umEŋ
2086	die	ITAWIT	metEj
2087	dog	ITAWIT	Etu
2088	drink	ITAWIT	inum
2089	ear	ITAWIT	dErEŋgEŋ
2090	eye	ITAWIT	mEtE
2091	fire	ITAWIT	Efi
2092	fish	ITAWIT	dilis
2093	full	ITAWIT	
2094	hand	ITAWIT	imE
2095	hear	ITAWIT	magina
2096	horn	ITAWIT	
2097	knee	ITAWIT	
2098	leaf	ITAWIT	don
2099	liver	ITAWIT	EgEl
2100	louse	ITAWIT	kutu
2101	mountain	ITAWIT	
2102	name	ITAWIT	nEhEn
2103	new	ITAWIT	bEhu
2104	night	ITAWIT	gEbi
2105	nose	ITAWIT	ijuŋ
2106	one	ITAWIT	isE
2107	path	ITAWIT	dElEn
2108	person	ITAWIT	tolEj
2109	see	ITAWIT	mEsiŋEn
2110	skin	ITAWIT	gEdEŋ
2111	star	ITAWIT	bitwEn
2112	stone	ITAWIT	bEtu
2113	sun	ITAWIT	
2114	tongue	ITAWIT	hilE
2115	tooth	ITAWIT	ŋipEn
2116	tree	ITAWIT	
2117	two	ITAWIT	duE
2118	water	ITAWIT	dEnum
2119	we	ITAWIT	ikEmi
2120	you	ITAWIT	ikEw
2121	I	ITBAYATEN BATANES ISLANDS	jakən
2122	blood	ITBAYATEN BATANES ISLANDS	rajaʔ
2123	bone	ITBAYATEN BATANES ISLANDS	tuʔgaŋ
2124	breast	ITBAYATEN BATANES ISLANDS	rahdah
2125	come	ITBAYATEN BATANES ISLANDS	
2126	die	ITBAYATEN BATANES ISLANDS	
2127	dog	ITBAYATEN BATANES ISLANDS	tituʔ
2128	drink	ITBAYATEN BATANES ISLANDS	uminum
2129	ear	ITBAYATEN BATANES ISLANDS	tilwan
2130	eye	ITBAYATEN BATANES ISLANDS	mataʔ
2131	fire	ITBAYATEN BATANES ISLANDS	hapuj
2132	fish	ITBAYATEN BATANES ISLANDS	amuŋ
2133	full	ITBAYATEN BATANES ISLANDS	mapnuʔ
2134	hand	ITBAYATEN BATANES ISLANDS	limaʔ
2135	hear	ITBAYATEN BATANES ISLANDS	manʔadŋəj
2136	horn	ITBAYATEN BATANES ISLANDS	
2137	knee	ITBAYATEN BATANES ISLANDS	tuhud
2138	leaf	ITBAYATEN BATANES ISLANDS	vuguŋ
2139	liver	ITBAYATEN BATANES ISLANDS	ataj
2140	louse	ITBAYATEN BATANES ISLANDS	kutuʔ
2141	mountain	ITBAYATEN BATANES ISLANDS	tukun
2142	name	ITBAYATEN BATANES ISLANDS	ŋaran
2143	new	ITBAYATEN BATANES ISLANDS	vaʔjuʔ
2144	night	ITBAYATEN BATANES ISLANDS	aʔgəp
2145	nose	ITBAYATEN BATANES ISLANDS	muhdan
2146	one	ITBAYATEN BATANES ISLANDS	aʔsaʔ
2147	path	ITBAYATEN BATANES ISLANDS	ragan
2148	person	ITBAYATEN BATANES ISLANDS	tawuʔ
2149	see	ITBAYATEN BATANES ISLANDS	tiiban
2150	skin	ITBAYATEN BATANES ISLANDS	kulit
2151	star	ITBAYATEN BATANES ISLANDS	vituən
2152	stone	ITBAYATEN BATANES ISLANDS	vatuʔ
2153	sun	ITBAYATEN BATANES ISLANDS	
2154	tongue	ITBAYATEN BATANES ISLANDS	rilaʔ
2155	tooth	ITBAYATEN BATANES ISLANDS	5ipən
2156	tree	ITBAYATEN BATANES ISLANDS	kajuh
2157	two	ITBAYATEN BATANES ISLANDS	duhaʔ
2158	water	ITBAYATEN BATANES ISLANDS	ranum
2159	we	ITBAYATEN BATANES ISLANDS	jatən
2160	you	ITBAYATEN BATANES ISLANDS	imuʔ
2161	I	ITNEG BINONGAN	dijakən
2162	blood	ITNEG BINONGAN	dala
2163	bone	ITNEG BINONGAN	tolʔaŋ
2164	breast	ITNEG BINONGAN	soso
2165	come	ITNEG BINONGAN	
2166	die	ITNEG BINONGAN	
2167	dog	ITNEG BINONGAN	aso
2168	drink	ITNEG BINONGAN	ominom
2169	ear	ITNEG BINONGAN	iŋa
2170	eye	ITNEG BINONGAN	ata
2171	fire	ITNEG BINONGAN	apoj
2172	fish	ITNEG BINONGAN	laməs
2173	full	ITNEG BINONGAN	napno
2174	hand	ITNEG BINONGAN	ima
2175	hear	ITNEG BINONGAN	manaʔag
2176	horn	ITNEG BINONGAN	
2177	knee	ITNEG BINONGAN	powəg
2178	leaf	ITNEG BINONGAN	tobo
2179	liver	ITNEG BINONGAN	agtəj
2180	louse	ITNEG BINONGAN	koto
2181	mountain	ITNEG BINONGAN	bilig
2182	name	ITNEG BINONGAN	ŋalan
2183	new	ITNEG BINONGAN	
2184	night	ITNEG BINONGAN	labi
2185	nose	ITNEG BINONGAN	əŋəl
2186	one	ITNEG BINONGAN	issa
2187	path	ITNEG BINONGAN	dadan
2188	person	ITNEG BINONGAN	taʔo
2189	see	ITNEG BINONGAN	masəŋan
2190	skin	ITNEG BINONGAN	kopsit
2191	star	ITNEG BINONGAN	bitowən
2192	stone	ITNEG BINONGAN	bato
2193	sun	ITNEG BINONGAN	
2194	tongue	ITNEG BINONGAN	dila
2195	tooth	ITNEG BINONGAN	ŋipən
2196	tree	ITNEG BINONGAN	kajo
2197	two	ITNEG BINONGAN	dowa
2198	water	ITNEG BINONGAN	danom
2199	we	ITNEG BINONGAN	ditajo
2200	you	ITNEG BINONGAN	dika
2201	I	IVATAN BATANES ISLANDS	jakən
2202	blood	IVATAN BATANES ISLANDS	rajaʔ
2203	bone	IVATAN BATANES ISLANDS	toʔhaŋ
2204	breast	IVATAN BATANES ISLANDS	sosoʔ
2205	come	IVATAN BATANES ISLANDS	
2206	die	IVATAN BATANES ISLANDS	
2207	dog	IVATAN BATANES ISLANDS	citoʔ
2208	drink	IVATAN BATANES ISLANDS	ominom
2209	ear	IVATAN BATANES ISLANDS	tadinjaʔ
2210	eye	IVATAN BATANES ISLANDS	mataʔ
2211	fire	IVATAN BATANES ISLANDS	apoj
2212	fish	IVATAN BATANES ISLANDS	amoŋ
2213	full	IVATAN BATANES ISLANDS	mapnoʔ
2214	hand	IVATAN BATANES ISLANDS	tanoroʔ
2215	hear	IVATAN BATANES ISLANDS	adŋəjən
2216	horn	IVATAN BATANES ISLANDS	
2217	knee	IVATAN BATANES ISLANDS	tood
2218	leaf	IVATAN BATANES ISLANDS	vohoŋ
2219	liver	IVATAN BATANES ISLANDS	ataj
2220	louse	IVATAN BATANES ISLANDS	kotoʔ
2221	mountain	IVATAN BATANES ISLANDS	tokon
2222	name	IVATAN BATANES ISLANDS	ŋaran
2223	new	IVATAN BATANES ISLANDS	vaʔjoʔ
2224	night	IVATAN BATANES ISLANDS	maʔhəp
2225	nose	IVATAN BATANES ISLANDS	momoʔdan
2226	one	IVATAN BATANES ISLANDS	asaʔ
2227	path	IVATAN BATANES ISLANDS	panahanan
2228	person	IVATAN BATANES ISLANDS	taoʔ
2229	see	IVATAN BATANES ISLANDS	mavojaʔ
2230	skin	IVATAN BATANES ISLANDS	kodit
2231	star	IVATAN BATANES ISLANDS	vitohən
2232	stone	IVATAN BATANES ISLANDS	batoʔ
2233	sun	IVATAN BATANES ISLANDS	
2234	tongue	IVATAN BATANES ISLANDS	ridaʔ
2235	tooth	IVATAN BATANES ISLANDS	5ipən
2236	tree	IVATAN BATANES ISLANDS	kajoʔ
2237	two	IVATAN BATANES ISLANDS	dadoaʔ
2238	water	IVATAN BATANES ISLANDS	danom
2239	we	IVATAN BATANES ISLANDS	jatən
2240	you	IVATAN BATANES ISLANDS	imoʔ
2241	I	JAPANESE	wataSi
2242	blood	JAPANESE	Ci
2243	bone	JAPANESE	hone
2244	breast	JAPANESE	mune
2245	come	JAPANESE	ku
2246	die	JAPANESE	Sinu
2247	dog	JAPANESE	inu
2248	drink	JAPANESE	nomu
2249	ear	JAPANESE	mimi
2250	eye	JAPANESE	me
2251	fire	JAPANESE	hi
2252	fish	JAPANESE	uo
2253	full	JAPANESE	miCita
2254	hand	JAPANESE	te
2255	hear	JAPANESE	kiku
2256	horn	JAPANESE	cuno
2257	knee	JAPANESE	hiza
2258	leaf	JAPANESE	kono ha
2259	liver	JAPANESE	
2260	louse	JAPANESE	
2261	mountain	JAPANESE	jama
2262	name	JAPANESE	na
2263	new	JAPANESE	ataraSi
2264	night	JAPANESE	jo
2265	nose	JAPANESE	hana
2266	one	JAPANESE	hitocu
2267	path	JAPANESE	komiCi
2268	person	JAPANESE	hito
2269	see	JAPANESE	mi
2270	skin	JAPANESE	kawa
2271	star	JAPANESE	hoSi
2272	stone	JAPANESE	iSi
2273	sun	JAPANESE	taijo
2274	tongue	JAPANESE	Sita
2275	tooth	JAPANESE	ha
2276	tree	JAPANESE	ki
2277	two	JAPANESE	futacu
2278	water	JAPANESE	mizu
2279	we	JAPANESE	wareware
2280	you	JAPANESE	anata
2281	I	KADAZAN	zou
2282	blood	KADAZAN	za
2283	bone	KADAZAN	tuhaŋ
2284	breast	KADAZAN	susu
2285	come	KADAZAN	mikot
2286	die	KADAZAN	matai
2287	dog	KADAZAN	tasu
2288	drink	KADAZAN	inumon
2289	ear	KADAZAN	tohiŋo
2290	eye	KADAZAN	mato
2291	fire	KADAZAN	tapui
2292	fish	KADAZAN	sada
2293	full	KADAZAN	noponu
2294	hand	KADAZAN	pahad
2295	hear	KADAZAN	koŋo
2296	horn	KADAZAN	saŋau
2297	knee	KADAZAN	totud
2298	leaf	KADAZAN	lon
2299	liver	KADAZAN	toŋkovizau
2300	louse	KADAZAN	kutu
2301	mountain	KADAZAN	nuhu takavas
2302	name	KADAZAN	ŋan
2303	new	KADAZAN	vagu
2304	night	KADAZAN	sodop
2305	nose	KADAZAN	toduŋ
2306	one	KADAZAN	iso
2307	path	KADAZAN	lahan
2308	person	KADAZAN	tuhun
2309	see	KADAZAN	kokito
2310	skin	KADAZAN	kuhit
2311	star	KADAZAN	tombituon
2312	stone	KADAZAN	vatu
2313	sun	KADAZAN	tadau
2314	tongue	KADAZAN	diha
2315	tooth	KADAZAN	nipon
2316	tree	KADAZAN	kazu
2317	two	KADAZAN	duvo
2318	water	KADAZAN	vaig
