ID	Concept	Language	IPA
169	ear	BALANGINGI SAMA	taiŋa
170	eye	BALANGINGI SAMA	mata
171	fire	BALANGINGI SAMA	api
172	fish	BALANGINGI SAMA	daiŋ
173	full	BALANGINGI SAMA	ponnoʔ
174	hand	BALANGINGI SAMA	taŋan
175	hear	BALANGINGI SAMA	kale
176	horn	BALANGINGI SAMA	tanduk
177	knee	BALANGINGI SAMA	tuʔut
178	leaf	BALANGINGI SAMA	dahun
179	liver	BALANGINGI SAMA	ataj
180	louse	BALANGINGI SAMA	kutu
181	mountain	BALANGINGI SAMA	bullud
182	name	BALANGINGI SAMA	on
183	new	BALANGINGI SAMA	bahaʔu
184	night	BALANGINGI SAMA	saŋom
185	nose	BALANGINGI SAMA	uŋ
186	one	BALANGINGI SAMA	isa
187	path	BALANGINGI SAMA	lan
188	person	BALANGINGI SAMA	aʔa
189	see	BALANGINGI SAMA	andaʔ
190	skin	BALANGINGI SAMA	kuwit
191	star	BALANGINGI SAMA	bituʔun
192	stone	BALANGINGI SAMA	batu
193	sun	BALANGINGI SAMA	allaw
194	tongue	BALANGINGI SAMA	dellaʔ
195	tooth	BALANGINGI SAMA	empon
196	tree	BALANGINGI SAMA	kaju
197	two	BALANGINGI SAMA	duwa
198	water	BALANGINGI SAMA	boheʔ
199	we	BALANGINGI SAMA	kitabi
200	you	BALANGINGI SAMA	kaʔa
201	I	BALANGINGI SAMA (1)	aku
202	blood	BALANGINGI SAMA (1)	lahaʔ
203	bone	BALANGINGI SAMA (1)	bokog
204	breast	BALANGINGI SAMA (1)	duduʔ
205	come	BALANGINGI SAMA (1)	paitu
206	die	BALANGINGI SAMA (1)	pataj
207	dog	BALANGINGI SAMA (1)	edo
208	drink	BALANGINGI SAMA (1)	inum
209	ear	BALANGINGI SAMA (1)	taiŋa
210	eye	BALANGINGI SAMA (1)	mata
211	fire	BALANGINGI SAMA (1)	api
212	fish	BALANGINGI SAMA (1)	daiŋ
213	full	BALANGINGI SAMA (1)	ponnoʔ
214	hand	BALANGINGI SAMA (1)	taŋan
215	hear	BALANGINGI SAMA (1)	kale
216	horn	BALANGINGI SAMA (1)	tanduk
217	knee	BALANGINGI SAMA (1)	tuʔut
218	leaf	BALANGINGI SAMA (1)	dahun
219	liver	BALANGINGI SAMA (1)	ataj
220	louse	BALANGINGI SAMA (1)	kutu
221	mountain	BALANGINGI SAMA (1)	bullud
222	name	BALANGINGI SAMA (1)	on
223	new	BALANGINGI SAMA (1)	bahaʔu
224	night	BALANGINGI SAMA (1)	saŋom
225	nose	BALANGINGI SAMA (1)	uŋ
226	one	BALANGINGI SAMA (1)	isa
227	path	BALANGINGI SAMA (1)	lan
228	person	BALANGINGI SAMA (1)	aʔa
229	see	BALANGINGI SAMA (1)	andaʔ
230	skin	BALANGINGI SAMA (1)	kuwit
231	star	BALANGINGI SAMA (1)	bituʔun
