language,I,all,ash,big,bird,bite,black,blood,bone,breast,burn,cloud,cold,come,die,dog,drink,dry,ear,earth,eat,egg,eye,feather,fire,fish,flesh,fly,foot,full,good,grease,green,hair,hand,head,hear,horn,hot,kill,knee,know,leaf,lie,liver,long,louse,man,moon,mountain,mouth,name,neck,new,night,nose,not,one,path,person,rain,red,root,sand,say,see,sit,skin,sleep,small,smoke,stand,star,stone,sun,swim,tail,that,this,tongue,tooth,tree,two,walk,water,we,what,white,who,woman,yellow,you
BILAAN KORONADAL,agu,NA,NA,NA,NA,NA,NA,lit37,tulon,tutu7,NA,NA,NA,NA,NA,ay3m,inum,NA,kliN3,NA,NA,NA,mato,NA,lifoh,nalaf,NA,NA,NA,fno7,NA,NA,NA,NA,sigal,NA,liN3,NA,NA,NA,bukal,NA,do7on,NA,atoy,NA,kutu7,NA,NA,bulul,NA,dagit,NA,falami,butaN,iluN,NA,satu,dalon,to,NA,NA,NA,NA,NA,t373n,NA,kulit,NA,NA,NA,NA,blotik,batu,NA,NA,NA,NA,NA,dilo7,kifan,kayu,lw3,NA,e7el,ato,NA,NA,NA,NA,NA,g3
BILAAN SARANGANI,agu,NA,NA,NA,NA,NA,NA,lit37,tulan,tutu7,NA,NA,NA,NA,NA,ay3m,minum,NA,kliN3,NA,NA,NA,mata,NA,lifo,nalaf,NA,NA,NA,fno7,NA,NA,NA,NA,sigal,NA,liN3,NA,NA,NA,bukal,NA,do7on,NA,atay,NA,kutu,NA,NA,bulul,NA,dagit,NA,falami,butaN,iluN,NA,satu,dalan,to,NA,NA,NA,NA,NA,t373n,NA,kindal,NA,NA,NA,NA,blatik,batu,NA,NA,NA,NA,NA,dila7,kifan,kayo,lw3,NA,ye7el,ito,NA,NA,NA,NA,NA,g3
BONGGI,ou,NA,NA,NA,NA,NA,NA,rah,tulagn~,dudu,NA,NA,NA,miataN,mati,asu,eNinum,NA,NA,NA,NA,NA,mata,NA,afi,sadak,NA,NA,NA,NA,NA,NA,NA,NA,fi,NA,kidoNor,NA,NA,NA,NA,NA,doudn~,NA,ati,NA,NA,NA,NA,NA,NA,eNardn~,NA,baru,raobi,iduN,NA,isa,NA,lama,NA,NA,NA,NA,NA,NA,NA,kubal,NA,NA,NA,NA,bitudn~,batu,NA,NA,NA,NA,NA,dila,kuhud,NA,dua,NA,beig,sesia,NA,NA,NA,NA,NA,NA
BONTOC GUINAANG,sak73n,NA,NA,NA,NA,NA,NA,dala,toN7al,soso,NA,NA,NA,NA,NA,aso,inom,NA,kol3N,NA,NA,NA,mata,NA,apoy,gad3w,NA,NA,NA,napno,NA,NA,NA,NA,lima,NA,d3N3l,NA,NA,NA,pow3g,NA,tobo,NA,agt3y,NA,koto,NA,NA,bilig,NA,Nadan,NA,balo,labi,3N3l,NA,3sa,dalan,ipogaw,NA,NA,NA,NA,NA,ila,NA,kopkop,NA,NA,NA,NA,talaw,bato,NA,NA,NA,NA,NA,dila,bab7a,ka73w,dowa,NA,danom,datako,NA,NA,NA,NA,NA,sik7a
BUHI,qaku,NA,NA,NA,NA,NA,NA,ruguq,tuqwaN,susu,NA,NA,NA,qabut,giraqan,qayam,qinum,NA,taliNa,NA,NA,NA,mata,NA,kalayu,qisraq,NA,NA,NA,punuq,NA,NA,NA,NA,kamit,NA,riNig,suNiy,NA,NA,tuwud,NA,dawun,NA,qatay,NA,kutu,NA,NA,bukid,NA,Naran,NA,bagqu,gaqbi,quruN,NA,qisad,dagan,taqu,NA,NA,NA,NA,NA,kita,NA,kublit,NA,NA,NA,NA,bitiqwin,batu,qaldaw,NA,NA,NA,NA,dilaq,Nipin,kawuy,duwa,NA,tubig,kita,NA,NA,NA,NA,NA,kamu
BUKIDNON BINUKID,yan7a,alan,abu,aragi,tagbis,kagat,maitum,laN3sa,tul7an,NA,sunog,gabon,matinu7,dini,minatay,asu,inum,mamara,taliNa,bugta7,ka7on,impis,mata,bulbul,hapuy,isda7,sapu7,layang,pa7a,napunu7,maayad,grasa,mahilaw,buhok,alima,ulo,paliman,suNay,mainit,himatayi,bu7ol,katuon,dahon,bidu7,atay,mataNkaw,lisa7,ma7ama,bulan,buntod,ba7ba7,Naran,li7ug,bag7u,daluman,iduN,hari7,sabuwa,dalan,3taw,uran,maliga7,gamut,grabas,ikagi,aha7,pinu7u,laNgit,tiruga,aCu7ay,ubul,hitind3g,bituon,batu,aldaw,sulip,ikug,hayan,iyan,dila7,Nipun,kayu,daruwa,hipanaw,wahig,yaNkuy,inu,maputi,sin7u,bahi,makalawag,yaNka
BUTUANON,ako,NA,NA,NA,NA,NA,NA,dugo,bukog,dugh~an,NA,NA,NA,kansani,patay,gady~a,moinum,NA,taliNa,NA,NA,NA,mata,NA,kayo,isda,NA,NA,NA,NA,NA,NA,NA,NA,alima,NA,moduNog,NA,NA,NA,NA,NA,dahon,NA,atay,NA,kuyamad,NA,NA,NA,NA,Nan,NA,bago,dum,iloN,NA,isa,dan,tao,NA,NA,NA,NA,NA,makita,NA,panit,NA,NA,NA,NA,bituon,bato,NA,NA,NA,NA,NA,dila,Nipon,NA,duwa,NA,tubig,kita,NA,NA,NA,NA,NA,ikaw
CAIJIA,Nuo glottocode: caij1234,NA,NA,NA,NA,NA,NA,ch~r,kuituo,mi,NA,NA,NA,xu,sr,kh~ui,an,NA,nikh~a,NA,NA,NA,nicr,NA,fai,xuN,NA,NA,NA,p3u,NA,NA,NA,NA,suo,NA,th~i,ko,NA,NA,NA,NA,NA,NA,sanka,NA,sei,NA,NA,tip3u,NA,mi,NA,Sin,sa,bikei,NA,yi,ho,xuoch~uo,NA,NA,NA,NA,NA,kien,NA,p3u,NA,NA,NA,NA,Sisu,ca,ien,NA,NA,NA,NA,crta,ch~eipei,so,ta,NA,sr,Nuo,NA,NA,NA,NA,NA,nu
CEBUANO,ako,NA,NA,NA,NA,NA,NA,dugu7,bukug,dugh~an,NA,NA,NA,anh~i,matay,iro7,inum,NA,daluNg~an,NA,NA,NA,mata,NA,kalayu,isda,NA,NA,NA,NA,NA,NA,NA,NA,kamut,NA,duNug,NA,NA,NA,NA,NA,dahun,NA,atay,NA,kutu,NA,NA,NA,NA,Nalan,NA,bagu,gabi7i,iluN,NA,usa,dalan,tawu,NA,NA,NA,NA,NA,tanaw,NA,panit,NA,NA,NA,NA,bitun,batu,NA,NA,NA,NA,NA,dila,Nipun,NA,duha,NA,tubig,kita,NA,NA,NA,NA,NA,ikaw
CENTRAL TAGBANWA,ako,NA,NA,NA,NA,NA,NA,tahik,duhi,tuto,NA,NA,NA,NA,patay,kiriN,inim,NA,taliNa,NA,NA,NA,mata,NA,apoy,daiN,NA,NA,NA,pigpig,NA,NA,NA,NA,alima,NA,bati,sirbato,NA,NA,tod,NA,daon,NA,kandat,NA,kayamad,NA,NA,bukid,NA,Nalan,NA,bago,dilim,uroN,NA,tam,NA,katawan,NA,NA,NA,NA,NA,intul,NA,kulit,NA,NA,NA,NA,bitukon,bato,aldaw,NA,NA,NA,NA,dila,Niti,kayo,dua,NA,wai,kita,NA,NA,NA,NA,NA,ka
