ID	Concept	Language	form
461	I	BALANGAW	haʔon
468	blood	BALANGAW	dala
469	bone	BALANGAW	toŋal
470	breast	BALANGAW	soso
476	dog	BALANGAW	aho
477	drink	BALANGAW	inum
479	ear	BALANGAW	iŋo
483	eye	BALANGAW	mata
485	fire	BALANGAW	apoj
486	fish	BALANGAW	gədiw
490	full	BALANGAW	napno
495	hand	BALANGAW	limo
497	hear	BALANGAW	doŋal
501	knee	BALANGAW	goŋo
503	leaf	BALANGAW	tubu
505	liver	BALANGAW	agtoj
507	louse	BALANGAW	oto
510	mountain	BALANGAW	bilig
512	name	BALANGAW	ŋadon
514	new	BALANGAW	kaʔʔamma
515	night	BALANGAW	labi
516	nose	BALANGAW	aŋal
518	one	BALANGAW	əho
519	path	BALANGAW	dalan
520	person	BALANGAW	tatagu
526	see	BALANGAW	ilo
528	skin	BALANGAW	uglet
533	star	BALANGAW	talaw
534	stone	BALANGAW	boto
540	tongue	BALANGAW	dilo
541	tooth	BALANGAW	bubʔo
542	tree	BALANGAW	awoj
543	two	BALANGAW	duwo
545	water	BALANGAW	dənum
546	we	BALANGAW	ditaw
552	you	BALANGAW	heʔa
553	I	BALANGINGI SAMA	aku
560	blood	BALANGINGI SAMA	lahaʔ
561	bone	BALANGINGI SAMA	bokog
562	breast	BALANGINGI SAMA	duduʔ
566	come	BALANGINGI SAMA	paitu
567	die	BALANGINGI SAMA	pataj
568	dog	BALANGINGI SAMA	edo
569	drink	BALANGINGI SAMA	inum
571	ear	BALANGINGI SAMA	taiŋa
575	eye	BALANGINGI SAMA	mata
577	fire	BALANGINGI SAMA	api
578	fish	BALANGINGI SAMA	daiŋ
582	full	BALANGINGI SAMA	ponnoʔ
587	hand	BALANGINGI SAMA	taŋan
589	hear	BALANGINGI SAMA	kale
590	horn	BALANGINGI SAMA	tanduk
593	knee	BALANGINGI SAMA	tuʔut
595	leaf	BALANGINGI SAMA	dahun
597	liver	BALANGINGI SAMA	ataj
599	louse	BALANGINGI SAMA	kutu
602	mountain	BALANGINGI SAMA	bullud
604	name	BALANGINGI SAMA	on
606	new	BALANGINGI SAMA	bahaʔu
607	night	BALANGINGI SAMA	saŋom
608	nose	BALANGINGI SAMA	uŋ
610	one	BALANGINGI SAMA	isa
611	path	BALANGINGI SAMA	lan
612	person	BALANGINGI SAMA	aʔa
618	see	BALANGINGI SAMA	andaʔ
620	skin	BALANGINGI SAMA	kuwit
625	star	BALANGINGI SAMA	bituʔun
626	stone	BALANGINGI SAMA	batu
627	sun	BALANGINGI SAMA	allaw
632	tongue	BALANGINGI SAMA	dellaʔ
633	tooth	BALANGINGI SAMA	empon
634	tree	BALANGINGI SAMA	kaju
635	two	BALANGINGI SAMA	duwa
637	water	BALANGINGI SAMA	boheʔ
638	we	BALANGINGI SAMA	kitabi
644	you	BALANGINGI SAMA	kaʔa
645	I	BANTON BANTOANON	ako
652	blood	BANTON BANTOANON	rogoʔ
653	bone	BANTON BANTOANON	suka
654	breast	BANTON BANTOANON	susu
660	dog	BANTON BANTOANON	iroʔ
663	ear	BANTON BANTOANON	taliŋa
667	eye	BANTON BANTOANON	mata
669	fire	BANTON BANTOANON	kajado
670	fish	BANTON BANTOANON	israʔ
679	hand	BANTON BANTOANON	damut
687	leaf	BANTON BANTOANON	rahon
689	liver	BANTON BANTOANON	ataj
691	louse	BANTON BANTOANON	kuto
696	name	BANTON BANTOANON	ŋajan
698	new	BANTON BANTOANON	bagʔo
699	night	BANTON BANTOANON	gabʔe
700	nose	BANTON BANTOANON	iloŋ
702	one	BANTON BANTOANON	usa
704	person	BANTON BANTOANON	tawo
712	skin	BANTON BANTOANON	anit
717	star	BANTON BANTOANON	bituʔon
718	stone	BANTON BANTOANON	bEtu
724	tongue	BANTON BANTOANON	rilaʔ
725	tooth	BANTON BANTOANON	ŋisih
727	two	BANTON BANTOANON	ruha
729	water	BANTON BANTOANON	tubiʔ
730	we	BANTON BANTOANON	kita
736	you	BANTON BANTOANON	ikaw
737	I	BASQUE	nik
738	all	BASQUE	guztiz
739	ash	BASQUE	hauc
740	big	BASQUE	haundi
741	bird	BASQUE	Cori
742	bite	BASQUE	hozka
743	black	BASQUE	belc
744	blood	BASQUE	odol
745	bone	BASQUE	hezur
