ID	CONCEPT	DOCULECT	FORM	TOKENS
4961	I	TALAANDIG BINUKID	janʔa	j a n ʔ a
5001	I	TAMBUNAN DUSUN	joku	j o k u
5041	I	TAUSUG	akuh	a k u h
5081	I	TAUT BATU	aku	a k u
5121	I	TBOLI TAGABILI	nuʔ səh	n u ʔ # s ə h
5161	I	TIMUGON MURUT	aku	a k u
5201	I	TIRURAY	begen	b e g e n
5241	I	TURKISH	ben	b e n
5281	I	UGARITIC	an	a n
5321	I	WARAY WARAY	ako	a k o
5361	I	YAKAN	aku	a k u
5401	I	YOGAD	ku	k u
5441	I	ZAMBOANGUENO	jo	j o
2	blood	AGTA	dogo	d o g o
42	blood	AKLANON	duguʔ	d u g u ʔ
82	blood	ATTA PAMPLONA	daga	d a g a
122	blood	BALANGAW	dala	d a l a
162	blood	BALANGINGI SAMA	lahaʔ	l a h a ʔ
202	blood	BALANGINGI SAMA (1)	lahaʔ	l a h a ʔ
242	blood	BASQUE	odol	o d o l
282	blood	BATAK PALAWAN	tagək	t a g ə k
322	blood	BILAAN KORONADAL	litəʔ	l i t ə ʔ
362	blood	BILAAN SARANGANI	litəʔ	l i t ə ʔ
402	blood	BINUKID	laŋəsa	l a ŋ ə s a
442	blood	BONGGI	rah	r a h
482	blood	BONTOC GUINAANG	dala	d a l a
522	blood	BROOKES POINT PALAWAN	duguʔ	d u g u ʔ
562	blood	BUHI	ruguʔ	r u g u ʔ
602	blood	BUHINON ALBAY BICOLANO	rogoʔ	r o g o ʔ
642	blood	BUKIDNON BINUKID	laŋəsa	l a ŋ ə s a
682	blood	BUTUANON	dugo	d u g o
722	blood	CAIJIA	tʃr	tʃ r
762	blood	CANIPAAN PALAWAN	duguʔ	d u g u ʔ
802	blood	CASIGURAN NEGRITO	digi	d i g i
842	blood	CEBUANO	duguʔ	d u g u ʔ
882	blood	CENTRAL BICOLANO	dugoʔ	d u g o ʔ
922	blood	CENTRAL BONTOC	dala	d a l a
962	blood	CENTRAL DUSUN	rahaʔ	r a h a ʔ
1002	blood	CENTRAL TAGBANWA	tahik	t a h i k
1042	blood	CUYONON	dugoʔ	d u g o ʔ
1082	blood	DARAGA	duguʔ	d u g u ʔ
1122	blood	DUMAGAT CASIGURAN	digeʔ	d i g e ʔ
1162	blood	DUPANINGAN AGTA	digiʔ	d i g i ʔ
1202	blood	ENGLISH	bləd	b l ə d
1242	blood	ESKAYAN	alwatis	a lw a t i s
1282	blood	ESTONIAN	veri	v e r i
1322	blood	FINNISH	veri	v e r i
1362	blood	FUZHOU CHINESE	haik	h a i k
1402	blood	GADDANG	ada	a d a
1442	blood	HANUNOO	duguʔ	d u g u ʔ
1482	blood	HIGAONON BINUKID	laŋəsa	l a ŋ ə s a
1522	blood	HUNGARIAN	ver	v e r
1562	blood	IBALOI	ʃala	ʃ a l a
1602	blood	IBANAG	daga	d a g a
1642	blood	IDAAN	ndaʔ	n d a ʔ
1682	blood	IFUGAO AMGANAD	dala	d a l a
1722	blood	IFUGAO BATAD	dala	d a l a
1762	blood	IFUGAO BAYNINAN	dala	d a l a
1802	blood	ILOKANO	dara	d a r a
1842	blood	ILONGOT KAKIDUGEN	matgə m	m a t g ə # m
1882	blood	INIBALOI	Cala	c a l a
1922	blood	IRANUN	ruguʔ	r u g u ʔ
1962	blood	IRIGA	ruguʔ	r u g u ʔ
2002	blood	ISNAG	daga	d a g a
2042	blood	ISNEG	daga	d a g a
2082	blood	ITAWIT	dEhE	d <?> æ
2122	blood	ITBAYATEN BATANES ISLANDS	rajaʔ	r a j a ʔ
2162	blood	ITNEG BINONGAN	dala	d a l a
2202	blood	IVATAN BATANES ISLANDS	rajaʔ	r a j a ʔ
2242	blood	JAPANESE	Ci	c i
2282	blood	KADAZAN	za	z a
2322	blood	KAGAYANEN	ləŋəsa	l ə ŋ ə s a
2362	blood	KALAGAN	duguʔ	d u g u ʔ
2402	blood	KALINGA GUINAANG	dala	d a l a
2442	blood	KALINGA LIMOS	dala	d a l a
2482	blood	KALLAHAN KAYAPA PROPER	dala	d a l a
2522	blood	KALLAHAN KELEYQIQ IFUGAO	kuhejaw	k u h e j a w
2562	blood	KANKANAY NORTHERN	basa	b a s a
2602	blood	KAPAMPANGAN	dajaʔ	d a j a ʔ
2642	blood	KINARAY A	dugo	d u g o
2682	blood	KOREAN	pi	p i
2722	blood	LEGAZPI	duguʔ	d u g u ʔ
2762	blood	LIBON	ruguʔ	r u g u ʔ
2802	blood	LIVE	ver	v e r
2842	blood	MAGUINDANAO	lugu	l u g u
2882	blood	MAMANWA	dogoʔ	d o g o ʔ
2922	blood	MANOBO ATA	laŋosa	l a ŋ o s a
2962	blood	MANOBO DIBABAWON	laŋəsa	l a ŋ ə s a
3002	blood	MANOBO ILIANEN	ləŋəsa	l ə ŋ ə s a
3042	blood	MANOBO KALAMANSIG COTABATO	dəpanug	d ə p a n u g
3082	blood	MANOBO SARANGANI	dipanog	d i p a n o g
3122	blood	MANOBO TIGWA	laŋəsa	l a ŋ ə s a
3162	blood	MANOBO WESTERN BUKIDNON	ləŋəsa	l ə ŋ ə s a
3202	blood	MANSAKA	duguʔ	d u g u ʔ
3242	blood	MAPUN	lahaʔ	l a h a ʔ
3282	blood	MARANAO	rogoʔ	r o g o ʔ
3322	blood	MARINDUQUE TAGALOG	duguʔ	d u g u ʔ
3362	blood	MASBATENYO	dugo	d u g o
3402	blood	MINANGALI LOWER TANUDAN KALINGA	da8a	d a a
3442	blood	MOKSHA	vjer	v j e r
3482	blood	MOLBOG	dahaʔ	d a h a ʔ
3562	blood	MONGOLIAN	tʃus	tʃ u s
3642	blood	NAGA	duguʔ	d u g u ʔ
3682	blood	NORTHERN CATANDUANES	duguʔ	d u g u ʔ
3722	blood	NORTHERN SORSOGON	duguʔ	d u g u ʔ
3762	blood	OAS	ruguʔ	r u g u ʔ
3802	blood	PALAWANO BATAK	tagək	t a g ə k
3842	blood	PANGASINAN	dala	d a l a
3882	blood	PANGUTARAN SAMA	lahaʔ	l a h a ʔ
3922	blood	PANGUTARAN SAMA (1)	lahaʔ	l a h a ʔ
3962	blood	PROTO PALAWAN	duguʔ	d u g u ʔ
4002	blood	QUEZON PALAWAN	duguʔ	d u g u ʔ
4042	blood	ROMBLOMANON 1	dugo	d u g o
4082	blood	ROMBLOMANON 2	duguʔ	d u g u ʔ
4122	blood	SAMAL	lahaʔ	l a h a ʔ
4162	blood	SAMBAL BOTOLAN	dajaʔ	d a j a ʔ
4202	blood	SANGIL	dara	d a r a
4242	blood	SANGIL SARANGANI ISLANDS	dara	d a r a
4282	blood	SEDANG	moheam	m o h e a m
4322	blood	SIBUTU SOUTHERN SAMA	lahaʔ	l a h a ʔ
4362	blood	SOGODNIN BORACAY	dogo	d o g o
4402	blood	SOUTH SAAMI	vərə	v ə r ə
4442	blood	SOUTHERN CATANDUANES	duguʔ	d u g u ʔ
4482	blood	SOUTHERN SORSOGON	duguʔ	d u g u ʔ
4522	blood	SOUTHWEST PALAWANO	dugoʔ	d u g o ʔ
4562	blood	SPANISH	saŋre	s a ŋ r e
4602	blood	SUBANON SIOCON	duguʔ	d u g u ʔ
4642	blood	SUBANUN SINDANGAN	duguʔ	d u g u ʔ
4682	blood	SURIGAONON	dugoʔ	d u g o ʔ
4722	blood	TAGABAWA	dipanug	d i p a n u g
4762	blood	TAGABILI	litoʔ	l i t o ʔ
4802	blood	TAGALOG	dugo	d u g o
4842	blood	TAGBANUA ABORLAN	duguʔ	d u g u ʔ
4882	blood	TAGBANWA ABORLAN	duguʔ	d u g u ʔ
4922	blood	TAGBANWA KALAMIAN	duguʔ	d u g u ʔ
4962	blood	TALAANDIG BINUKID	laŋəsa	l a ŋ ə s a
