language,similiarity_to_spanish,similiarity_to_english,similiarity_to_japanese,Unrelated_Mean,Unrelated_Std_dev,Unrelated_Distribution,zscore_span,zscore_eng,zscore_jap,longitude,latitude
BISAYA SABAH,0,0,10.71428571,2.5,2.282177323,,0,0,3.599319664,117,5.25
FINALLIG,3.333333333,3.333333333,11.11111111,3.269230769,2.955329822,,0.021690494,0.021690494,2.653470446,121.17,17.08
HILIGAYNON,3.225806452,0,3.448275862,2.307692308,2.155791246,,0.425882676,0,0.52907885,123,10.25
INABAKNON,3.333333333,0,7.407407407,3.269230769,2.368327334,,0.027066598,0,1.747299277,124.17,12.42
IRARALAY IVATAN,3.333333333,3.333333333,7.407407407,1.538461538,1.919869119,,0.934892789,0.934892789,3.056951023,121.63,20.33
ISAMORONG IVATAN,6.451612903,0,10.71428571,0.769230769,1.200961154,,4.731528674,0,8.280913097,121.93,20.28
IVASAY IVATAN,6.666666667,0,10.71428571,0.769230769,1.57606293,,3.74187844,0,6.31006209,121.83,20.18
KANKANAEY,3.225806452,3.225806452,3.571428571,2.5,2.5,,0.290322581,0.290322581,0.428571429,120.58,16.75
LIMOS KALINGA,3.225806452,3.225806452,14.28571429,2.692307692,2.594372608,,0.205636907,0.205636907,4.468674452,121.25,17.67
MANDAYAN BOSO,6.451612903,3.225806452,3.571428571,3.653846154,2.816503561,,0.993347492,0,0,126.65,7.33
MANDAYAN CARAGA,6.896551724,3.448275862,3.846153846,2.307692308,2.96885543,,1.545666175,0.384182922,0.518200221,126.42,7.5
MANDAYAN ISLAM PISO,6.666666667,3.333333333,3.703703704,2.5,2.886751346,,1.443375673,0.288675135,0.416975194,125.17,6.83
MANSAKA 2,6.451612903,3.225806452,3.571428571,3.653846154,2.816503561,,0.993347492,0,0,126.17,7
PROTO SOUTHERN MINDANAO,3.448275862,0,11.53846154,1.538461538,2.174296232,,0.878359763,0,4.599189317,126,7.5
SINAUNA,0,3.448275862,3.846153846,1.538461538,1.919869119,,0,0.99476277,1.202005014,121.42,14.58
SOUTHERN KALINGA,3.333333333,3.333333333,14.81481481,2.884615385,3.202563076,,0.140112135,0.140112135,3.725203578,121.33,17.42
