language,similiarity_to_spanish,similiarity_to_english,similiarity_to_japanese,Unrelated_Mean,Unrelated_Std_dev,Unrelated_Distribution,zscore_span,zscore_eng,zscore_jap,latitude,longitude
PANGUTARAN SAMA (1),0,3.333333333,7.407407407,1.346153846,1.940625065,,0,1.023989396,3.123351168,7,125.08
PROTO PALAWAN,2.857142857,5.714285714,6.25,0.961538462,1.626109089,,1.165730152,2.9227727,3.252218178,6.17,124.5
QUEZON PALAWAN,0,6.25,6.896551724,0.576923077,1.096322524,,0,5.174642314,5.764388223,15,121
ROMBLOMANON 1,0,6.25,3.448275862,1.153846154,1.940625065,,0,2.626037321,1.182314786,9.45,118.5
ROMBLOMANON 2,0,5,8.108108108,1.346153846,2.192645048,,0,1.666410237,3.08392563,12,120
SAMAL,0,5.555555556,9.090909091,1.923076923,2.531848418,,0,1.434714103,2.831066867,6,121
SAMBAL BOTOLAN,0,2.777777778,6.060606061,1.538461538,2.174296232,,0,0.569985001,2.079819878,5,116.1
SANGIL,3.333333333,6.666666667,3.703703704,1.346153846,1.940625065,,1.023989396,2.741649027,1.214840466,6.75,124.17
SANGIL SARANGANI ISLANDS,2.777777778,5.555555556,3.03030303,1.346153846,1.940625065,,0.73771279,2.169095817,0.86783852,14.87,121.55
SIBUTU SOUTHERN SAMA,0,6.451612903,6.896551724,1.538461538,1.919869119,,0,2.559107449,2.790862216,12,125
SOGODNIN BORACAY,0,12.12121212,3.333333333,0.769230769,1.200961154,,0,9.452413443,2.135042051,6.5,122
SOUTHERN CATANDUANES,0,5,8.108108108,1.730769231,2.368327334,,0,1.380396503,2.692760746,16.67,121.75
SOUTHERN SORSOGON,0,5,8.108108108,1.346153846,2.192645048,,0,1.666410237,3.08392563,20.5,122
SOUTHWEST PALAWANO,0,5.882352941,3.225806452,0.961538462,1.626109089,,0,3.026128144,1.39244532,19.5,121.9
SUBANON SIOCON,0,5.555555556,6.060606061,1.538461538,2.401922307,,0,1.672449606,1.882718899,5.25,117
