ID	CONCEPT	DOCULECT	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGNATES
641	I	BUKIDNON BINUKID	janʔa	j a n ʔ a	6 7 4 1 7	AXMBZ	JANHA	19	19.J.C 19.A.V 19.N.c 19.H.C 19.A.V	2.0 1.5 1.1 1.75 0.8	janʔa	0	17
681	I	BUTUANON	ako	a k o	7 1 7	XBZ	AKU	20	20.A.V 20.K.C 20.U.V	1.5 1.75 0.8	ako	0	15
721	I	CAIJIA	ŋuo	ŋ u o	4 7 7	AXZ	NYU	21	21.N.C 21.Y.V 21.U.V	2.0 1.5 0.8	ŋuo	0	19
761	I	CANIPAAN PALAWAN	aku	a k u	7 1 7	XBZ	AKY	22	22.A.V 22.K.C 22.Y.V	1.5 1.75 0.8	aku	0	15
801	I	CASIGURAN NEGRITO	sakən	s a k ə n	3 7 1 7 4	AXBYN	SAKEN	23	23.S.C 23.A.V 23.K.C 23.E.V 23.N.c	2.0 1.5 1.75 1.3 0.8	sakən	0	3
841	I	CEBUANO	ako	a k o	7 1 7	XBZ	AKU	24	24.A.V 24.K.C 24.U.V	1.5 1.75 0.8	ako	0	22
881	I	CENTRAL BICOLANO	ako	a k o	7 1 7	XBZ	AKU	25	25.A.V 25.K.C 25.U.V	1.5 1.75 0.8	ako	0	15
921	I	CENTRAL BONTOC	sakʔən	s a k ʔ ə n	3 7 1 1 7 4	AXMBYN	SAKHEN	26	26.S.C 26.A.V 26.K.c 26.H.C 26.E.V 26.N.c	2.0 1.5 1.1 1.75 1.3 0.8	sakʔən	0	3
961	I	CENTRAL DUSUN	ioho	i o h o	7 7 3 7	XYBZ	IUHU	27	27.I.V 27.U.V 27.H.C 27.U.V	1.5 1.3 1.75 0.8	ioho	0	25
1001	I	CENTRAL TAGBANWA	ako	a k o	7 1 7	XBZ	AKU	28	28.A.V 28.K.C 28.U.V	1.5 1.75 0.8	ako	0	15
1041	I	CUYONON	ako	a k o	7 1 7	XBZ	AKU	29	29.A.V 29.K.C 29.U.V	1.5 1.75 0.8	ako	0	15
1081	I	DARAGA	ʔaku	ʔ a k u	1 7 1 7	AXBZ	HAKY	30	30.H.C 30.A.V 30.K.C 30.Y.V	2.0 1.5 1.75 0.8	ʔaku	0	15
