ID,CONCEPT,DOCULECT,FORM,TOKENS,SONARS,PROSTRINGS,CLASSES,LANGID,NUMBERS,WEIGHTS,IPA,DUPLICATES,COGID
3037,I,IBANAG,soʔ,s o ʔ,3 7 1,AXN,SUH,39.0,39.S.C 39.U.V 39.H.c,2.0 1.5 0.8,soʔ,0.0,34.0
3129,I,IDAAN,aku,a k u,7 1 7,XBZ,AKY,40.0,40.A.V 40.K.C 40.Y.V,1.5 1.75 0.8,aku,0.0,66.0
3221,I,IFUGAO AMGANAD,haʔʔon,h a o n,3 7 7 4,AXYN,HAUN,41.0,41.H.C 41.A.V 41.U.V 41.N.c,2.0 1.5 1.3 0.8,haon,0.0,6.0
3313,I,IFUGAO BATAD,haʔʔin,h a i n,3 7 7 4,AXYN,HAIN,42.0,42.H.C 42.A.V 42.I.V 42.N.c,2.0 1.5 1.3 0.8,hain,0.0,6.0
3405,I,IFUGAO BAYNINAN,haʔʔen,h a e n,3 7 7 4,AXYN,HAEN,43.0,43.H.C 43.A.V 43.E.V 43.N.c,2.0 1.5 1.3 0.8,haen,0.0,6.0
3497,I,ILOKANO,siak,s i a k,3 7 7 1,AXYN,SIAK,44.0,44.S.C 44.I.V 44.A.V 44.K.c,2.0 1.5 1.3 0.8,siak,0.0,39.0
3589,I,ILONGOT KAKIDUGEN,siʔak,s i ʔ a k,3 7 1 7 1,AXBYN,SIHAK,45.0,45.S.C 45.I.V 45.H.C 45.A.V 45.K.c,2.0 1.5 1.75 1.3 0.8,siʔak,0.0,39.0
3681,I,INIBALOI,siʔkak,s i ʔ k a k,3 7 1 1 7 1,AXMBYN,SIHKAK,48.0,48.S.C 48.I.V 48.H.c 48.K.C 48.A.V 48.K.c,2.0 1.5 1.1 1.75 1.3 0.8,siʔkak,0.0,39.0
3773,I,IRANUN,aku,a k u,7 1 7,XBZ,AKY,49.0,49.A.V 49.K.C 49.Y.V,1.5 1.75 0.8,aku,0.0,66.0
3865,I,IRIGA,ʔaku,ʔ a k u,1 7 1 7,AXBZ,HAKY,50.0,50.H.C 50.A.V 50.K.C 50.Y.V,2.0 1.5 1.75 0.8,ʔaku,0.0,66.0
3957,I,ISNAG,ijaʔ,i j a ʔ,7 6 7 1,XBYN,IJAH,51.0,51.I.V 51.J.C 51.A.V 51.H.c,1.5 1.75 1.3 0.8,ijaʔ,0.0,44.0
4049,I,ITAWIT,jEkEn,j k n,6 1 4,ACC,JKN,52.0,52.J.C 52.K.C 52.N.C,2.0 1.5 1.5,jkn,0.0,45.0
4141,I,ITNEG BINONGAN,dijakən,d i j a k ə n,1 7 6 7 1 7 4,AXBYBYN,TIJAKEN,53.0,53.T.C 53.I.V 53.J.C 53.A.V 53.K.C 53.E.V 53.N.c,2.0 1.5 1.75 1.3 1.75 1.3 0.8,dijakən,0.0,1.0
4233,I,JAPANESE,wataSi,w a t a i,6 7 1 7 7,AXBYZ,WATAI,54.0,54.W.C 54.A.V 54.T.C 54.A.V 54.I.V,2.0 1.5 1.75 1.3 0.8,watai,0.0,47.0
4325,I,KADAZAN,zou,z o u,3 7 7,AXZ,SUY,55.0,55.S.C 55.U.V 55.Y.V,2.0 1.5 0.8,zou,0.0,13.0
4417,I,KAGAYANEN,a,a,7,X,A,56.0,56.A.V,1.5,a,0.0,25.0
4509,I,KALAGAN,aku,a k u,7 1 7,XBZ,AKY,57.0,57.A.V 57.K.C 57.Y.V,1.5 1.75 0.8,aku,0.0,66.0
4601,I,KALINGA GUINAANG,saʔon,s a ʔ o n,3 7 1 7 4,AXBYN,SAHUN,59.0,59.S.C 59.A.V 59.H.C 59.U.V 59.N.c,2.0 1.5 1.75 1.3 0.8,saʔon,0.0,6.0
4693,I,KALINGA LIMOS,sakon,s a k o n,3 7 1 7 4,AXBYN,SAKUN,60.0,60.S.C 60.A.V 60.K.C 60.U.V 60.N.c,2.0 1.5 1.75 1.3 0.8,sakon,0.0,66.0
4785,I,KALLAHAN KAYAPA PROPER,hiʔgak,h i ʔ g a k,3 7 1 1 7 1,AXMBYN,HIHKAK,61.0,61.H.C 61.I.V 61.H.c 61.K.C 61.A.V 61.K.c,2.0 1.5 1.1 1.75 1.3 0.8,hiʔgak,0.0,39.0
4877,I,KANKANAY NORTHERN,sakʔin,s a k ʔ i n,3 7 1 1 7 4,AXMBYN,SAKHIN,63.0,63.S.C 63.A.V 63.K.c 63.H.C 63.I.V 63.N.c,2.0 1.5 1.1 1.75 1.3 0.8,sakʔin,0.0,6.0
4969,I,KAPAMPANGAN,aku,a k u,7 1 7,XBZ,AKY,64.0,64.A.V 64.K.C 64.Y.V,1.5 1.75 0.8,aku,0.0,66.0
5061,I,KINARAY A,ako,a k o,7 1 7,XBZ,AKU,65.0,65.A.V 65.K.C 65.U.V,1.5 1.75 0.8,ako,0.0,66.0
5153,I,KOREAN,na,n a,4 7,AX,,66.0,66.N.C 66.A.V,2.0 1.5,na,0.0,18.0
5245,I,LEGAZPI,ʔaku,ʔ a k u,1 7 1 7,AXBZ,HAKY,67.0,67.H.C 67.A.V 67.K.C 67.Y.V,2.0 1.5 1.75 0.8,ʔaku,0.0,66.0
5337,I,LIBON,ʔaku,ʔ a k u,1 7 1 7,AXBZ,HAKY,68.0,68.H.C 68.A.V 68.K.C 68.Y.V,2.0 1.5 1.75 0.8,ʔaku,0.0,66.0
5429,I,LIVE,minama,m i n a m a,4 7 4 7 4 7,AXBYBZ,MINAMA,69.0,69.M.C 69.I.V 69.N.C 69.A.V 69.M.C 69.A.V,2.0 1.5 1.75 1.3 1.75 0.8,minama,0.0,27.0
5521,I,MAMANWA,haʔo,h a ʔ o,3 7 1 7,AXBZ,HAHU,70.0,70.H.C 70.A.V 70.H.C 70.U.V,2.0 1.5 1.75 0.8,haʔo,0.0,6.0
5613,I,MANIDE,haku,h a k u,3 7 1 7,AXBZ,HAKY,73.0,73.H.C 73.A.V 73.K.C 73.Y.V,2.0 1.5 1.75 0.8,haku,0.0,66.0
5705,I,MANOBO ATA,sikanak,s i k a n a k,3 7 1 7 4 7 1,AXBYBYN,SIKANAK,74.0,74.S.C 74.I.V 74.K.C 74.A.V 74.N.C 74.A.V 74.K.c,2.0 1.5 1.75 1.3 1.75 1.3 0.8,sikanak,0.0,66.0
5797,I,MANOBO DIBABAWON,siʔak,s i ʔ a k,3 7 1 7 1,AXBYN,SIHAK,75.0,75.S.C 75.I.V 75.H.C 75.A.V 75.K.c,2.0 1.5 1.75 1.3 0.8,siʔak,0.0,39.0
