ID,CONCEPT,DOCULECT,FORM,TOKENS,SONARS,PROSTRINGS,CLASSES,LANGID,NUMBERS,WEIGHTS,IPA,DUPLICATES,COGID
2592,dog,FUZHOU CHINESE,kheiŋ,kh e i ŋ,1 7 7 4,AXYN,KEIN,33.0,33.K.C 33.E.V 33.I.V 33.N.c,2.0 1.5 1.3 0.8,kheiŋ,0.0,717.0
2684,dog,GADDANG,atu,a t u,7 1 7,XBZ,ATY,34.0,34.A.V 34.T.C 34.Y.V,1.5 1.75 0.8,atu,0.0,708.0
2776,dog,HANUNOO,iduʔ,i d u ʔ,7 1 7 1,XBYN,ITYH,35.0,35.I.V 35.T.C 35.Y.V 35.H.c,1.5 1.75 1.3 0.8,iduʔ,0.0,708.0
2868,dog,HIGAONON BINUKID,asu,a s u,7 3 7,XBZ,ASY,36.0,36.A.V 36.S.C 36.Y.V,1.5 1.75 0.8,asu,0.0,723.0
2960,dog,HUNGARIAN,kuTa,k u a,1 7 7,AXZ,KYA,38.0,38.K.C 38.Y.V 38.A.V,2.0 1.5 0.8,kua,0.0,717.0
3052,dog,IBANAG,kitu,k i t u,1 7 1 7,AXBZ,KITY,39.0,39.K.C 39.I.V 39.T.C 39.Y.V,2.0 1.5 1.75 0.8,kitu,0.0,708.0
3144,dog,IDAAN,asu,a s u,7 3 7,XBZ,ASY,40.0,40.A.V 40.S.C 40.Y.V,1.5 1.75 0.8,asu,0.0,723.0
3236,dog,IFUGAO AMGANAD,kahu,k a h u,1 7 3 7,AXBZ,KAHY,41.0,41.K.C 41.A.V 41.H.C 41.Y.V,2.0 1.5 1.75 0.8,kahu,0.0,723.0
3328,dog,IFUGAO BATAD,kahu,k a h u,1 7 3 7,AXBZ,KAHY,42.0,42.K.C 42.A.V 42.H.C 42.Y.V,2.0 1.5 1.75 0.8,kahu,0.0,723.0
3420,dog,IFUGAO BAYNINAN,kahu,k a h u,1 7 3 7,AXBZ,KAHY,43.0,43.K.C 43.A.V 43.H.C 43.Y.V,2.0 1.5 1.75 0.8,kahu,0.0,723.0
3512,dog,ILOKANO,aso,a s o,7 3 7,XBZ,ASU,44.0,44.A.V 44.S.C 44.U.V,1.5 1.75 0.8,aso,0.0,723.0
3604,dog,ILONGOT KAKIDUGEN,atu,a t u,7 1 7,XBZ,ATY,45.0,45.A.V 45.T.C 45.Y.V,1.5 1.75 0.8,atu,0.0,708.0
3696,dog,INIBALOI,aso,a s o,7 3 7,XBZ,ASU,48.0,48.A.V 48.S.C 48.U.V,1.5 1.75 0.8,aso,0.0,723.0
3788,dog,IRANUN,asu,a s u,7 3 7,XBZ,ASY,49.0,49.A.V 49.S.C 49.Y.V,1.5 1.75 0.8,asu,0.0,723.0
3880,dog,IRIGA,ʔajam,ʔ a j a m,1 7 6 7 4,AXBYN,HAJAM,50.0,50.H.C 50.A.V 50.J.C 50.A.V 50.M.c,2.0 1.5 1.75 1.3 0.8,ʔajam,0.0,699.0
3972,dog,ISNAG,atu,a t u,7 1 7,XBZ,ATY,51.0,51.A.V 51.T.C 51.Y.V,1.5 1.75 0.8,atu,0.0,708.0
4064,dog,ITAWIT,Etu,t u,1 7,AX,TY,52.0,52.T.C 52.Y.V,2.0 1.5,tu,0.0,708.0
4156,dog,ITNEG BINONGAN,aso,a s o,7 3 7,XBZ,ASU,53.0,53.A.V 53.S.C 53.U.V,1.5 1.75 0.8,aso,0.0,723.0
4248,dog,JAPANESE,inu,i n u,7 4 7,XBZ,INY,54.0,54.I.V 54.N.C 54.Y.V,1.5 1.75 0.8,inu,1.0,751.0
4340,dog,KADAZAN,tasu,t a s u,1 7 3 7,AXBZ,TASY,55.0,55.T.C 55.A.V 55.S.C 55.Y.V,2.0 1.5 1.75 0.8,tasu,0.0,723.0
4432,dog,KAGAYANEN,ajam,a j a m,7 6 7 4,XBYN,AJAM,56.0,56.A.V 56.J.C 56.A.V 56.M.c,1.5 1.75 1.3 0.8,ajam,0.0,699.0
4524,dog,KALAGAN,iduʔ,i d u ʔ,7 1 7 1,XBYN,ITYH,57.0,57.I.V 57.T.C 57.Y.V 57.H.c,1.5 1.75 1.3 0.8,iduʔ,0.0,708.0
4616,dog,KALINGA GUINAANG,asu,a s u,7 3 7,XBZ,ASY,59.0,59.A.V 59.S.C 59.Y.V,1.5 1.75 0.8,asu,0.0,723.0
4708,dog,KALINGA LIMOS,asu,a s u,7 3 7,XBZ,ASY,60.0,60.A.V 60.S.C 60.Y.V,1.5 1.75 0.8,asu,0.0,723.0
4800,dog,KALLAHAN KAYAPA PROPER,ahhu,a hh u,7 3 7,XBZ,AHY,61.0,61.A.V 61.H.C 61.Y.V,1.5 1.75 0.8,ahhu,0.0,723.0
4892,dog,KANKANAY NORTHERN,aso,a s o,7 3 7,XBZ,ASU,63.0,63.A.V 63.S.C 63.U.V,1.5 1.75 0.8,aso,0.0,723.0
4984,dog,KAPAMPANGAN,asu,a s u,7 3 7,XBZ,ASY,64.0,64.A.V 64.S.C 64.Y.V,1.5 1.75 0.8,asu,0.0,723.0
5076,dog,KINARAY A,ajam,a j a m,7 6 7 4,XBYN,AJAM,65.0,65.A.V 65.J.C 65.A.V 65.M.c,1.5 1.75 1.3 0.8,ajam,0.0,699.0
5168,dog,KOREAN,kE,k,1,A,K,66.0,66.K.C,2.0,k,0.0,763.0
5260,dog,LEGAZPI,ʔajam,ʔ a j a m,1 7 6 7 4,AXBYN,HAJAM,67.0,67.H.C 67.A.V 67.J.C 67.A.V 67.M.c,2.0 1.5 1.75 1.3 0.8,ʔajam,0.0,699.0
5352,dog,LIBON,ʔajam,ʔ a j a m,1 7 6 7 4,AXBYN,HAJAM,68.0,68.H.C 68.A.V 68.J.C 68.A.V 68.M.c,2.0 1.5 1.75 1.3 0.8,ʔajam,0.0,699.0
5444,dog,LIVE,pin,p i n,1 7 4,AXN,PIN,69.0,69.P.C 69.I.V 69.N.c,2.0 1.5 0.8,pin,0.0,751.0
5536,dog,MAMANWA,idoʔ,i d o ʔ,7 1 7 1,XBYN,ITUH,70.0,70.I.V 70.T.C 70.U.V 70.H.c,1.5 1.75 1.3 0.8,idoʔ,0.0,708.0
5628,dog,MANIDE,idiʔ,i d i ʔ,7 1 7 1,XBYN,ITIH,73.0,73.I.V 73.T.C 73.I.V 73.H.c,1.5 1.75 1.3 0.8,idiʔ,0.0,708.0
5720,dog,MANOBO ATA,asu,a s u,7 3 7,XBZ,ASY,74.0,74.A.V 74.S.C 74.Y.V,1.5 1.75 0.8,asu,0.0,723.0
5812,dog,MANOBO DIBABAWON,iduʔ,i d u ʔ,7 1 7 1,XBYN,ITYH,75.0,75.I.V 75.T.C 75.Y.V 75.H.c,1.5 1.75 1.3 0.8,iduʔ,0.0,708.0
5904,dog,MANOBO ILIANEN,asu,a s u,7 3 7,XBZ,ASY,76.0,76.A.V 76.S.C 76.Y.V,1.5 1.75 0.8,asu,0.0,723.0
5996,dog,MANOBO KALAMANSIG COTABATO,tujaŋ,t u j a ŋ,1 7 6 7 4,AXBYN,TYJAN,77.0,77.T.C 77.Y.V 77.J.C 77.A.V 77.N.c,2.0 1.5 1.75 1.3 0.8,tujaŋ,0.0,774.0
6088,dog,MANOBO SARANGANI,tojaŋ,t o j a ŋ,1 7 6 7 4,AXBYN,TUJAN,78.0,78.T.C 78.U.V 78.J.C 78.A.V 78.N.c,2.0 1.5 1.75 1.3 0.8,tojaŋ,0.0,774.0
6180,dog,MANOBO TIGWA,asu,a s u,7 3 7,XBZ,ASY,79.0,79.A.V 79.S.C 79.Y.V,1.5 1.75 0.8,asu,0.0,723.0
6272,dog,MANOBO WESTERN BUKIDNON,asu,a s u,7 3 7,XBZ,ASY,80.0,80.A.V 80.S.C 80.Y.V,1.5 1.75 0.8,asu,0.0,723.0
6364,dog,MANSAKA,iduʔ,i d u ʔ,7 1 7 1,XBYN,ITYH,81.0,81.I.V 81.T.C 81.Y.V 81.H.c,1.5 1.75 1.3 0.8,iduʔ,0.0,708.0
6456,dog,MAPUN,idoʔ,i d o ʔ,7 1 7 1,XBYN,ITUH,82.0,82.I.V 82.T.C 82.U.V 82.H.c,1.5 1.75 1.3 0.8,idoʔ,0.0,708.0
6548,dog,MARANAO,aso,a s o,7 3 7,XBZ,ASU,83.0,83.A.V 83.S.C 83.U.V,1.5 1.75 0.8,aso,0.0,723.0
6640,dog,MASBATENYO,aso,a s o,7 3 7,XBZ,ASU,84.0,84.A.V 84.S.C 84.U.V,1.5 1.75 0.8,aso,0.0,723.0
6732,dog,MINANGALI LOWER TANUDAN KALINGA,asu,a s u,7 3 7,XBZ,ASY,85.0,85.A.V 85.S.C 85.Y.V,1.5 1.75 0.8,asu,0.0,723.0
6824,dog,MOKSHA,pi5e,p i e,1 7 7,AXZ,PIE,86.0,86.P.C 86.I.V 86.E.V,2.0 1.5 0.8,pie,0.0,783.0
6916,dog,MOLBOG,idoŋ,i d o ŋ,7 1 7 4,XBYN,ITUN,87.0,87.I.V 87.T.C 87.U.V 87.N.c,1.5 1.75 1.3 0.8,idoŋ,0.0,708.0
7008,dog,MONGOLIAN,murtux,m u r t u x,4 7 5 1 7 3,AXMBYN,MYRTYG,88.0,88.M.C 88.Y.V 88.R.c 88.T.C 88.Y.V 88.G.c,2.0 1.5 1.1 1.75 1.3 0.8,murtux,0.0,785.0
7100,dog,MORO MAGINDANAU,asu,a s u,7 3 7,XBZ,ASY,89.0,89.A.V 89.S.C 89.Y.V,1.5 1.75 0.8,asu,0.0,723.0
7192,dog,NORTHERN CATANDUANES,ʔajam,ʔ a j a m,1 7 6 7 4,AXBYN,HAJAM,90.0,90.H.C 90.A.V 90.J.C 90.A.V 90.M.c,2.0 1.5 1.75 1.3 0.8,ʔajam,0.0,699.0
7284,dog,NORTHERN SORSOGON,ʔajam,ʔ a j a m,1 7 6 7 4,AXBYN,HAJAM,91.0,91.H.C 91.A.V 91.J.C 91.A.V 91.M.c,2.0 1.5 1.75 1.3 0.8,ʔajam,0.0,699.0
7376,dog,OAS,ʔajam,ʔ a j a m,1 7 6 7 4,AXBYN,HAJAM,92.0,92.H.C 92.A.V 92.J.C 92.A.V 92.M.c,2.0 1.5 1.75 1.3 0.8,ʔajam,0.0,699.0
7468,dog,PALAWANO BATAK,kədəŋ,k ə d ə ŋ,1 7 1 7 4,AXBYN,KETEN,93.0,93.K.C 93.E.V 93.T.C 93.E.V 93.N.c,2.0 1.5 1.75 1.3 0.8,kədəŋ,0.0,708.0
7560,dog,PANGASINAN,aso,a s o,7 3 7,XBZ,ASU,94.0,94.A.V 94.S.C 94.U.V,1.5 1.75 0.8,aso,0.0,723.0
7652,dog,PANGUTARAN SAMA,eroʔ,e r o ʔ,7 5 7 1,XBYN,ERUH,95.0,95.E.V 95.R.C 95.U.V 95.H.c,1.5 1.75 1.3 0.8,eroʔ,0.0,706.0
7744,dog,PROTO PALAWAN,ʔidəŋ,ʔ i d ə ŋ,1 7 1 7 4,AXBYN,HITEN,96.0,96.H.C 96.I.V 96.T.C 96.E.V 96.N.c,2.0 1.5 1.75 1.3 0.8,ʔidəŋ,0.0,708.0
7928,dog,ROMBLOMANON 2,ʔajam,ʔ a j a m,1 7 6 7 4,AXBYN,HAJAM,98.0,98.H.C 98.A.V 98.J.C 98.A.V 98.M.c,2.0 1.5 1.75 1.3 0.8,ʔajam,0.0,699.0
8020,dog,SAMAL,edoʔ,e d o ʔ,7 1 7 1,XBYN,ETUH,99.0,99.E.V 99.T.C 99.U.V 99.H.c,1.5 1.75 1.3 0.8,edoʔ,0.0,708.0
8112,dog,SAMBAL BOTOLAN,ahoʔ,a h o ʔ,7 3 7 1,XBYN,AHUH,100.0,100.A.V 100.H.C 100.U.V 100.H.c,1.5 1.75 1.3 0.8,ahoʔ,0.0,723.0
8204,dog,SANGIL SARANGANI ISLANDS,asu,a s u,7 3 7,XBZ,ASY,101.0,101.A.V 101.S.C 101.Y.V,1.5 1.75 0.8,asu,0.0,723.0
8296,dog,SEDANG,Co,o,7,X,U,102.0,102.U.V,1.5,o,0.0,798.0
8388,dog,SIBUTU SOUTHERN SAMA,eroʔ,e r o ʔ,7 5 7 1,XBYN,ERUH,103.0,103.E.V 103.R.C 103.U.V 103.H.c,1.5 1.75 1.3 0.8,eroʔ,0.0,706.0
8480,dog,SOGODNIN BORACAY,ajam,a j a m,7 6 7 4,XBYN,AJAM,105.0,105.A.V 105.J.C 105.A.V 105.M.c,1.5 1.75 1.3 0.8,ajam,0.0,699.0
8572,dog,SOUTH SAAMI,bəe5ə,b ə e ə,1 7 7 7,AXYZ,PEEE,106.0,106.P.C 106.E.V 106.E.V 106.E.V,2.0 1.5 1.3 0.8,bəeə,0.0,783.0
8664,dog,SOUTHERN CATANDUANES,ʔajam,ʔ a j a m,1 7 6 7 4,AXBYN,HAJAM,107.0,107.H.C 107.A.V 107.J.C 107.A.V 107.M.c,2.0 1.5 1.75 1.3 0.8,ʔajam,0.0,699.0
8756,dog,SOUTHERN SORSOGON,ʔajam,ʔ a j a m,1 7 6 7 4,AXBYN,HAJAM,109.0,109.H.C 109.A.V 109.J.C 109.A.V 109.M.c,2.0 1.5 1.75 1.3 0.8,ʔajam,0.0,699.0
8848,dog,SOUTHWEST PALAWANO,ideŋ,i d e ŋ,7 1 7 4,XBYN,ITEN,110.0,110.I.V 110.T.C 110.E.V 110.N.c,1.5 1.75 1.3 0.8,ideŋ,0.0,708.0
8940,dog,SPANISH,pero,p e r o,1 7 5 7,AXBZ,PERU,111.0,111.P.C 111.E.V 111.R.C 111.U.V,2.0 1.5 1.75 0.8,pero,0.0,706.0
9032,dog,SUBANON SIOCON,gajam,g a j a m,1 7 6 7 4,AXBYN,KAJAM,112.0,112.K.C 112.A.V 112.J.C 112.A.V 112.M.c,2.0 1.5 1.75 1.3 0.8,gajam,0.0,699.0
9124,dog,SUBANUN SINDANGAN,gituʔ,g i t u ʔ,1 7 1 7 1,AXBYN,KITYH,113.0,113.K.C 113.I.V 113.T.C 113.Y.V 113.H.c,2.0 1.5 1.75 1.3 0.8,gituʔ,0.0,708.0
9216,dog,SURIGAONON,ido,i d o,7 1 7,XBZ,ITU,114.0,114.I.V 114.T.C 114.U.V,1.5 1.75 0.8,ido,0.0,708.0
9308,dog,TAGABAWA,asu,a s u,7 3 7,XBZ,ASY,115.0,115.A.V 115.S.C 115.Y.V,1.5 1.75 0.8,asu,0.0,723.0
9400,dog,TAGABILI,ohuh,o h u h,7 3 7 3,XBYN,UHYH,116.0,116.U.V 116.H.C 116.Y.V 116.H.c,1.5 1.75 1.3 0.8,ohuh,0.0,723.0
9492,dog,TAGALOG,aso,a s o,7 3 7,XBZ,ASU,117.0,117.A.V 117.S.C 117.U.V,1.5 1.75 0.8,aso,0.0,723.0
9584,dog,TAGBANWA ABORLAN,kəʔdəŋ,k ə ʔ d ə ŋ,1 7 1 1 7 4,AXMBYN,KEHTEN,118.0,118.K.C 118.E.V 118.H.c 118.T.C 118.E.V 118.N.c,2.0 1.5 1.1 1.75 1.3 0.8,kəʔdəŋ,0.0,708.0
9676,dog,TAGBANWA KALAMIAN,kiruʔ,k i r u ʔ,1 7 5 7 1,AXBYN,KIRYH,119.0,119.K.C 119.I.V 119.R.C 119.Y.V 119.H.c,2.0 1.5 1.75 1.3 0.8,kiruʔ,0.0,706.0
9768,dog,TAUSUG,ʔiruʔ,ʔ i r u ʔ,1 7 5 7 1,AXBYN,HIRYH,120.0,120.H.C 120.I.V 120.R.C 120.Y.V 120.H.c,2.0 1.5 1.75 1.3 0.8,ʔiruʔ,0.0,706.0
9860,dog,TIMUGON MURUT,ukuʔ,u k u ʔ,7 1 7 1,XBYN,YKYH,121.0,121.Y.V 121.K.C 121.Y.V 121.H.c,1.5 1.75 1.3 0.8,ukuʔ,0.0,707.0
9952,dog,TIRURAY,ituʔ,i t u ʔ,7 1 7 1,XBYN,ITYH,122.0,122.I.V 122.T.C 122.Y.V 122.H.c,1.5 1.75 1.3 0.8,ituʔ,0.0,708.0
10044,dog,TURKISH,kəpek,k ə p e k,1 7 1 7 1,AXBYN,KEPEK,123.0,123.K.C 123.E.V 123.P.C 123.E.V 123.K.c,2.0 1.5 1.75 1.3 0.8,kəpek,0.0,819.0
10136,dog,UGARITIC,klb,k l b,1 5 1,AXN,KLP,124.0,124.K.C 124.L.V 124.P.c,2.0 1.5 0.8,klb,0.0,820.0
10320,dog,WARAY WARAY,ajam,a j a m,7 6 7 4,XBYN,AJAM,126.0,126.A.V 126.J.C 126.A.V 126.M.c,1.5 1.75 1.3 0.8,ajam,0.0,699.0
10412,dog,YAKAN,asu,a s u,7 3 7,XBZ,ASY,127.0,127.A.V 127.S.C 127.Y.V,1.5 1.75 0.8,asu,0.0,723.0
10504,dog,YOGAD,atu,a t u,7 1 7,XBZ,ATY,128.0,128.A.V 128.T.C 128.Y.V,1.5 1.75 0.8,atu,0.0,708.0
10596,dog,ZAMBOANGUENO,iru,i r u,7 5 7,XBZ,IRY,129.0,129.I.V 129.R.C 129.Y.V,1.5 1.75 0.8,iru,0.0,706.0
10688,dog,IMOROD,agsa,a gs a,7 1 7,XBZ,AKA,46.0,46.A.V 46.K.C 46.A.V,1.5 1.75 0.8,agsa,0.0,707.0
10780,dog,BABUYAN,Cito,i t o,7 1 7,XBZ,ITU,5.0,5.I.V 5.T.C 5.U.V,1.5 1.75 0.8,ito,0.0,708.0
10872,dog,BISAYA SABAH,asu,a s u,7 3 7,XBZ,ASY,14.0,14.A.V 14.S.C 14.Y.V,1.5 1.75 0.8,asu,0.0,723.0
10964,dog,CAPIZNON,ido,i d o,7 1 7,XBZ,ITU,21.0,21.I.V 21.T.C 21.U.V,1.5 1.75 0.8,ido,0.0,708.0
11056,dog,FINALLIG,aso,a s o,7 3 7,XBZ,ASU,31.0,31.A.V 31.S.C 31.U.V,1.5 1.75 0.8,aso,0.0,723.0
11148,dog,HILIGAYNON,idu,i d u,7 1 7,XBZ,ITY,37.0,37.I.V 37.T.C 37.Y.V,1.5 1.75 0.8,idu,0.0,708.0
11240,dog,INABAKNON,idoʔ,i d o ʔ,7 1 7 1,XBYN,ITUH,47.0,47.I.V 47.T.C 47.U.V 47.H.c,1.5 1.75 1.3 0.8,idoʔ,0.0,708.0
11332,dog,KALAGAN KAAGAN,iduʔ,i d u ʔ,7 1 7 1,XBYN,ITYH,58.0,58.I.V 58.T.C 58.Y.V 58.H.c,1.5 1.75 1.3 0.8,iduʔ,0.0,708.0
11424,dog,KANKANAEY,aso,a s o,7 3 7,XBZ,ASU,62.0,62.A.V 62.S.C 62.U.V,1.5 1.75 0.8,aso,0.0,723.0
11516,dog,MANDAYAN BOSO,iduʔ,i d u ʔ,7 1 7 1,XBYN,ITYH,71.0,71.I.V 71.T.C 71.Y.V 71.H.c,1.5 1.75 1.3 0.8,iduʔ,0.0,708.0
11608,dog,MANDAYAN ISLAM PISO,iduʔ,i d u ʔ,7 1 7 1,XBYN,ITYH,72.0,72.I.V 72.T.C 72.Y.V 72.H.c,1.5 1.75 1.3 0.8,iduʔ,0.0,708.0
11700,dog,SINAUNA,asu,a s u,7 3 7,XBZ,ASY,104.0,104.A.V 104.S.C 104.Y.V,1.5 1.75 0.8,asu,0.0,723.0
11792,dog,SOUTHERN KALINGA,asu,a s u,7 3 7,XBZ,ASY,108.0,108.A.V 108.S.C 108.Y.V,1.5 1.75 0.8,asu,0.0,723.0
17,drink,AGTA,uminum,u m i n u m,7 4 7 4 7 4,XBYBYN,YMINYM,1.0,1.Y.V 1.M.C 1.I.V 1.N.C 1.Y.V 1.M.c,1.5 1.75 1.3 1.75 1.3 0.8,uminum,0.0,834.0
109,drink,AKLANON,inum,i n u m,7 4 7 4,XBYN,INYM,2.0,2.I.V 2.N.C 2.Y.V 2.M.c,1.5 1.75 1.3 0.8,inum,0.0,834.0
201,drink,ARTA,matim,m a t i m,4 7 1 7 4,AXBYN,MATIM,3.0,3.M.C 3.A.V 3.T.C 3.I.V 3.M.c,2.0 1.5 1.75 1.3 0.8,matim,0.0,823.0
293,drink,ATTA PAMPLONA,amminum,a mm i n u m,7 4 7 4 7 4,XBYBYN,AMINYM,4.0,4.A.V 4.M.C 4.I.V 4.N.C 4.Y.V 4.M.c,1.5 1.75 1.3 1.75 1.3 0.8,amminum,0.0,834.0
385,drink,BAJAU WEST COAST,inum,i n u m,7 4 7 4,XBYN,INYM,6.0,6.I.V 6.N.C 6.Y.V 6.M.c,1.5 1.75 1.3 0.8,inum,0.0,834.0
477,drink,BALANGAW,inum,i n u m,7 4 7 4,XBYN,INYM,7.0,7.I.V 7.N.C 7.Y.V 7.M.c,1.5 1.75 1.3 0.8,inum,0.0,834.0
569,drink,BALANGINGI SAMA,inum,i n u m,7 4 7 4,XBYN,INYM,8.0,8.I.V 8.N.C 8.Y.V 8.M.c,1.5 1.75 1.3 0.8,inum,0.0,834.0
753,drink,BASQUE,edan,e d a n,7 1 7 4,XBYN,ETAN,10.0,10.E.V 10.T.C 10.A.V 10.N.c,1.5 1.75 1.3 0.8,edan,0.0,829.0
845,drink,BATAK PALAWAN,inum,i n u m,7 4 7 4,XBYN,INYM,11.0,11.I.V 11.N.C 11.Y.V 11.M.c,1.5 1.75 1.3 0.8,inum,0.0,834.0
937,drink,BILAAN KORONADAL,inum,i n u m,7 4 7 4,XBYN,INYM,12.0,12.I.V 12.N.C 12.Y.V 12.M.c,1.5 1.75 1.3 0.8,inum,0.0,834.0
1029,drink,BILAAN SARANGANI,minum,m i n u m,4 7 4 7 4,AXBYN,MINYM,13.0,13.M.C 13.I.V 13.N.C 13.Y.V 13.M.c,2.0 1.5 1.75 1.3 0.8,minum,0.0,834.0
1121,drink,BONGGI,eŋinum,e ŋ i n u m,7 4 7 4 7 4,XBYBYN,ENINYM,15.0,15.E.V 15.N.C 15.I.V 15.N.C 15.Y.V 15.M.c,1.5 1.75 1.3 1.75 1.3 0.8,eŋinum,0.0,834.0
1213,drink,BONTOC GUINAANG,inom,i n o m,7 4 7 4,XBYN,INUM,16.0,16.I.V 16.N.C 16.U.V 16.M.c,1.5 1.75 1.3 0.8,inom,0.0,834.0
1305,drink,BUHI,ʔinum,ʔ i n u m,1 7 4 7 4,AXBYN,HINYM,17.0,17.H.C 17.I.V 17.N.C 17.Y.V 17.M.c,2.0 1.5 1.75 1.3 0.8,ʔinum,0.0,834.0
1397,drink,BUKIDNON BINUKID,inum,i n u m,7 4 7 4,XBYN,INYM,18.0,18.I.V 18.N.C 18.Y.V 18.M.c,1.5 1.75 1.3 0.8,inum,0.0,834.0
1489,drink,BUTUANON,moinum,m o i n u m,4 7 7 4 7 4,AXYBYN,MUINYM,19.0,19.M.C 19.U.V 19.I.V 19.N.C 19.Y.V 19.M.c,2.0 1.5 1.3 1.75 1.3 0.8,moinum,0.0,834.0
1581,drink,CAIJIA,an,a n,7 4,XN,AN,20.0,20.A.V 20.N.c,1.5 0.8,an,0.0,829.0
1673,drink,CEBUANO,inum,i n u m,7 4 7 4,XBYN,INYM,22.0,22.I.V 22.N.C 22.Y.V 22.M.c,1.5 1.75 1.3 0.8,inum,0.0,834.0
1765,drink,CENTRAL TAGBANWA,inim,i n i m,7 4 7 4,XBYN,INIM,23.0,23.I.V 23.N.C 23.I.V 23.M.c,1.5 1.75 1.3 0.8,inim,0.0,834.0
1857,drink,CUYONON,inom,i n o m,7 4 7 4,XBYN,INUM,24.0,24.I.V 24.N.C 24.U.V 24.M.c,1.5 1.75 1.3 0.8,inom,0.0,834.0
1949,drink,DARAGA,ʔinum,ʔ i n u m,1 7 4 7 4,AXBYN,HINYM,25.0,25.H.C 25.I.V 25.N.C 25.Y.V 25.M.c,2.0 1.5 1.75 1.3 0.8,ʔinum,0.0,834.0
2041,drink,DUMAGAT CASIGURAN,uminom,u m i n o m,7 4 7 4 7 4,XBYBYN,YMINUM,26.0,26.Y.V 26.M.C 26.I.V 26.N.C 26.U.V 26.M.c,1.5 1.75 1.3 1.75 1.3 0.8,uminom,0.0,834.0
2133,drink,DUPANINGAN AGTA,magroŋroŋ,m a g r o ŋ r o ŋ,4 7 1 5 7 4 5 7 4,AXBCYBCYN,MAKRUNRUN,27.0,27.M.C 27.A.V 27.K.C 27.R.C 27.U.V 27.N.C 27.R.C 27.U.V 27.N.c,2.0 1.5 1.75 1.5 1.3 1.75 1.5 1.3 0.8,magroŋroŋ,0.0,846.0
2225,drink,ENGLISH,driŋk,d r i ŋ k,1 5 7 4 1,ACXLN,TRINK,28.0,28.T.C 28.R.C 28.I.V 28.N.c 28.K.c,2.0 1.5 1.5 1.1 0.8,driŋk,0.0,847.0
2317,drink,ESKAYAN,odʒirim,o dʒ i r i m,7 1 7 5 7 4,XBYBYN,UTIRIM,29.0,29.U.V 29.T.C 29.I.V 29.R.C 29.I.V 29.M.c,1.5 1.75 1.3 1.75 1.3 0.8,odʒirim,0.0,848.0
2409,drink,ESTONIAN,dʒo,dʒ o,1 7,AX,TU,30.0,30.T.C 30.U.V,2.0 1.5,dʒo,0.0,849.0
2501,drink,FINNISH,dʒuo,dʒ u o,1 7 7,AXZ,TYU,32.0,32.T.C 32.Y.V 32.U.V,2.0 1.5 0.8,dʒuo,0.0,849.0
2593,drink,FUZHOU CHINESE,tʃiok,tʃ i o k,1 7 7 1,AXYN,TIUK,33.0,33.T.C 33.I.V 33.U.V 33.K.c,2.0 1.5 1.3 0.8,tʃiok,0.0,849.0
2685,drink,GADDANG,minum,m i n u m,4 7 4 7 4,AXBYN,MINYM,34.0,34.M.C 34.I.V 34.N.C 34.Y.V 34.M.c,2.0 1.5 1.75 1.3 0.8,minum,0.0,834.0
2777,drink,HANUNOO,uminum,u m i n u m,7 4 7 4 7 4,XBYBYN,YMINYM,35.0,35.Y.V 35.M.C 35.I.V 35.N.C 35.Y.V 35.M.c,1.5 1.75 1.3 1.75 1.3 0.8,uminum,0.0,834.0
2869,drink,HIGAONON BINUKID,inum,i n u m,7 4 7 4,XBYN,INYM,36.0,36.I.V 36.N.C 36.Y.V 36.M.c,1.5 1.75 1.3 0.8,inum,0.0,834.0
2961,drink,HUNGARIAN,in,i n,7 4,XN,IN,38.0,38.I.V 38.N.c,1.5 0.8,in,0.0,829.0
3053,drink,IBANAG,uminum,u m i n u m,7 4 7 4 7 4,XBYBYN,YMINYM,39.0,39.Y.V 39.M.C 39.I.V 39.N.C 39.Y.V 39.M.c,1.5 1.75 1.3 1.75 1.3 0.8,uminum,0.0,834.0
3145,drink,IDAAN,minum,m i n u m,4 7 4 7 4,AXBYN,MINYM,40.0,40.M.C 40.I.V 40.N.C 40.Y.V 40.M.c,2.0 1.5 1.75 1.3 0.8,minum,0.0,834.0
3237,drink,IFUGAO AMGANAD,uminum,u m i n u m,7 4 7 4 7 4,XBYBYN,YMINYM,41.0,41.Y.V 41.M.C 41.I.V 41.N.C 41.Y.V 41.M.c,1.5 1.75 1.3 1.75 1.3 0.8,uminum,0.0,834.0
3329,drink,IFUGAO BATAD,inum,i n u m,7 4 7 4,XBYN,INYM,42.0,42.I.V 42.N.C 42.Y.V 42.M.c,1.5 1.75 1.3 0.8,inum,0.0,834.0
3421,drink,IFUGAO BAYNINAN,uminum,u m i n u m,7 4 7 4 7 4,XBYBYN,YMINYM,43.0,43.Y.V 43.M.C 43.I.V 43.N.C 43.Y.V 43.M.c,1.5 1.75 1.3 1.75 1.3 0.8,uminum,0.0,834.0
3513,drink,ILOKANO,inom,i n o m,7 4 7 4,XBYN,INUM,44.0,44.I.V 44.N.C 44.U.V 44.M.c,1.5 1.75 1.3 0.8,inom,0.0,834.0
3605,drink,ILONGOT KAKIDUGEN,inum,i n u m,7 4 7 4,XBYN,INYM,45.0,45.I.V 45.N.C 45.Y.V 45.M.c,1.5 1.75 1.3 0.8,inum,0.0,834.0
