ID,CONCEPT,DOCULECT,FORM,TOKENS,SONARS,PROSTRINGS,CLASSES,LANGID,NUMBERS,WEIGHTS,IPA,DUPLICATES,COGNATES
3985,nose,PROTO PALAWAN,ʔaruŋ,ʔ a r u ŋ,1 7 5 7 4,AXBYN,HARYN,115.0,115.H.C 115.A.V 115.R.C 115.Y.V 115.N.c,2.0 1.5 1.75 1.3 0.8,ʔaruŋ,0.0,3185.0
4025,nose,QUEZON PALAWAN,əduŋ,ə d u ŋ,7 1 7 4,XBYN,ETYN,117.0,117.E.V 117.T.C 117.Y.V 117.N.c,1.5 1.75 1.3 0.8,əduŋ,0.0,3181.0
4065,nose,ROMBLOMANON 1,iloŋ,i l o ŋ,7 5 7 4,XBYN,ILUN,118.0,118.I.V 118.L.C 118.U.V 118.N.c,1.5 1.75 1.3 0.8,iloŋ,0.0,3178.0
4105,nose,ROMBLOMANON 2,ʔiluŋ,ʔ i l u ŋ,1 7 5 7 4,AXBYN,HILYN,119.0,119.H.C 119.I.V 119.L.C 119.Y.V 119.N.c,2.0 1.5 1.75 1.3 0.8,ʔiluŋ,0.0,3178.0
4145,nose,SAMAL,uuŋ,uu ŋ,7 4,XN,YN,120.0,120.Y.V 120.N.c,1.5 0.8,uuŋ,0.0,3174.0
4185,nose,SAMBAL BOTOLAN,baloŋo,b a l o ŋ o,1 7 5 7 4 7,AXBYBZ,PALUNU,121.0,121.P.C 121.A.V 121.L.C 121.U.V 121.N.C 121.U.V,2.0 1.5 1.75 1.3 1.75 0.8,baloŋo,0.0,3287.0
4225,nose,SANGIL,iluŋ,i l u ŋ,7 5 7 4,XBYN,ILYN,122.0,122.I.V 122.L.C 122.Y.V 122.N.c,1.5 1.75 1.3 0.8,iluŋ,0.0,3178.0
4265,nose,SANGIL SARANGANI ISLANDS,iluŋ,i l u ŋ,7 5 7 4,XBYN,ILYN,123.0,123.I.V 123.L.C 123.Y.V 123.N.c,1.5 1.75 1.3 0.8,iluŋ,0.0,3178.0
4305,nose,SEDANG,moh,m o h,4 7 3,AXN,MUH,124.0,124.M.C 124.U.V 124.H.c,2.0 1.5 0.8,moh,0.0,3290.0
4345,nose,SIBUTU SOUTHERN SAMA,uŋ,u ŋ,7 4,XN,YN,125.0,125.Y.V 125.N.c,1.5 0.8,uŋ,0.0,3174.0
4385,nose,SOGODNIN BORACAY,oroŋ,o r o ŋ,7 5 7 4,XBYN,URUN,127.0,127.U.V 127.R.C 127.U.V 127.N.c,1.5 1.75 1.3 0.8,oroŋ,0.0,3185.0
4425,nose,SOUTH SAAMI,5ueniə,u e n i ə,7 7 4 7 7,XYBYZ,YENIE,128.0,128.Y.V 128.E.V 128.N.C 128.I.V 128.E.V,1.5 1.3 1.75 1.3 0.8,ueniə,0.0,3207.0
