"population","model_region","island_group","region","province","precision_tier","latitude","longitude","model","balangao_admx","aytamagbukon_admx","span_admx","eastasian_admx","atamanobo_admx","balangao_se","aytamagbukon_se","span_se","eastasian_se","atamanobo_se","malder_span_se","malder_eastasian_se","malder_joint_ceu_eas_se","effblocks","qpadm_pval","malder_span","malder_eastasian","malder_joint_ceu_eas","malder_span_years","malder_eastasian_years","malder_joint_ceu_eas_years","malder_span_se_years","malder_eastasian_se_years","malder_joint_ceu_eas_se_years","span_se_capped","span_w","span_w_capped","nearest_node","geodist_H1_span","geodist_H2_span","using_network"
"BukidnonHigaonon","mindanao_sulu","Mindanao","Northern Mindanao","Bukidnon","C",8.3,125,"5-source",0.305,0,0.01,0,0.774,0.692,0.779,0.097,0.048,1.368,NA,NA,NA,499.596,0.535257901,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,106.281220108407,FALSE,"37",323.7813412747,1578.19442026515,TRUE
"BukidnonManobo","mindanao_sulu","Mindanao","Northern Mindanao","Bukidnon","C",8.05,125.1,"5-source",0.241,0.054,0,0,0.742,0.865,1.03,0.158,0.083,1.812,27.65,NA,16.32,499.599,0.998053307,74.08,NA,39.34,2222.4,NA,1180.2,829.5,NA,489.6,0.158,40.0576830636116,FALSE,"37",445.850398129399,1700.26347711984,TRUE
"BukidnonUmayamnon","mindanao_sulu","Mindanao","Northern Mindanao","Bukidnon","B",8.15,125.3,"5-source",0.142,0,0,0.012,0.982,0.375,0.419,0.062,0.053,0.742,2.77,NA,2.21,499.594,0.796834022,7.03,NA,6.22,210.9,NA,186.6,83.1,NA,66.3,0.062,260.145681581686,FALSE,"37",435.941218899715,1690.35429789016,TRUE
"BukidnonTigwahanon","mindanao_sulu","Mindanao","Northern Mindanao","Bukidnon","A",7.8858,125.3153,"5-source",0.127,0.029,0,0.089,0.754,2.055,2.567,0.327,0.217,4.487,NA,NA,8.22,499.596,0.630616664,NA,NA,40.48,NA,NA,1214.4,NA,NA,246.6,0.327,9.351999925184,FALSE,"37",564.021694355484,1818.43477334593,TRUE
"BukdinonMatigsalug","mindanao_sulu","Mindanao","Northern Mindanao","Bukidnon","B",7.8,125.2,"5-source",0,0,0,0.078,1.064,2.836,3.132,0.376,0.232,5.554,NA,NA,12.24,499.597,0.179103253,NA,NA,28.86,NA,NA,865.8,NA,NA,367.2,0.376,7.07333635129018,FALSE,"37",582.481318296302,1836.89439728675,TRUE
"DavaoMatigsalug","mindanao_sulu","Mindanao","Davao","Davao City","B",7.3333,125.3333,"5-source",0,0.043,0,0.088,0.884,0.186,0.205,0.027,0.04,0.364,NA,NA,NA,499.599,0.81321328,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027,1371.74211248285,FALSE,"37",831.941495734836,2086.35457472528,TRUE
"AtaManobo",NA,"Mindanao","Davao","Davao del Norte","B",7.5333,125.6167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"37",781.198700836404,2035.61177982685,TRUE
"ManoboTagabawa","mindanao_sulu","Mindanao","Davao","Davao del Sur","B",6.83,125.3,"5-source",0.235,0,0,0.087,0.715,0.368,0.419,0.063,0.055,0.726,NA,NA,NA,499.597,0.534972579,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063,251.952632905014,FALSE,"37",1071.50685975263,2325.91993874308,TRUE
"OvuManuvo","mindanao_sulu","Mindanao","Davao","Davao City","A",7.3333,125.3333,"5-source",0.22,0.117,0,0,0.694,1.334,1.565,0.196,0.202,2.897,NA,NA,NA,499.599,0.660310846,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.196,26.0308204914619,FALSE,"37",831.941495734836,2086.35457472528,TRUE
"ManoboAgusan","mindanao_sulu","Mindanao","Caraga","Agusan del Sur","B",8.1667,125.9833,"5-source",0.355,0,0,0.045,0.645,0.199,0.209,0.027,0.039,0.374,NA,NA,20.92,499.602,0.713948028,NA,NA,64.66,NA,NA,1939.8,NA,NA,627.6,0.027,1371.74211248285,FALSE,"37",555.86549604529,1810.27857503574,TRUE
"Manguangan","non_mindanao","Mindanao","Davao","Davao de Oro","C",7.8167,126.05,"4-source",0.724,0.376,0,0,NA,0.053,0.029,0.018,0.052,NA,NA,NA,15.08,499.591,0.00231532145,NA,NA,36.73,NA,NA,1101.9,NA,NA,452.4,0.018,3086.41975308642,FALSE,"37",725.617066345577,1980.03014533602,TRUE
"Dibabaon","mindanao_sulu","Mindanao","Davao","Davao de Oro","C",7.7333,126.0667,"5-source",0.281,0,0,0.022,0.803,0.166,0.182,0.027,0.04,0.317,NA,NA,10.04,499.598,0.987628311,NA,NA,22.75,NA,NA,682.5,NA,NA,301.2,0.027,1371.74211248285,FALSE,"37",766.305732429381,2020.71881141983,TRUE
"ManoboRK","mindanao_sulu","Mindanao","Caraga","Surigao del Sur","A",8.0367,126.355,"5-source",0.385,0,0.012,0,0.749,1.146,1.221,0.158,0.107,2.177,NA,NA,NA,499.599,0.107802031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158,40.0576830636116,FALSE,"37",707.023916511445,1961.43699550189,TRUE
"ManoboIlianen","mindanao_sulu","Mindanao","Soccsksargen","Cotabato","B",7.2,124.8,"5-source",0.092,0.061,0,0.039,0.816,0.12,0.139,0.022,0.038,0.238,NA,NA,NA,499.6,0.811124219,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022,2066.11570247934,FALSE,"37",875.560472713543,2129.97355170399,TRUE
"Lambanguian","mindanao_sulu","Mindanao","BARMM","Maguindanao","A",6.87,124.22,"5-source",0.038,0,0,0.015,1.005,1.633,1.617,0.19,0.248,2.842,NA,NA,14.68,499.597,0.471097473,NA,NA,28.96,NA,NA,868.8,NA,NA,440.4,0.19,27.7008310249307,FALSE,"27",729.552912180779,2150.00256233709,TRUE
"ManoboDulangan","mindanao_sulu","Mindanao","Soccsksargen","Sultan Kudarat","A",6.62,124.06,"5-source",0,0,0,0.044,1.23,0.378,0.445,0.059,0.071,0.779,NA,NA,11.65,499.6,0.385841256,NA,NA,40.61,NA,NA,1218.3,NA,NA,349.5,0.059,287.273771904625,FALSE,"27",502.060005002819,1922.50965515913,TRUE
"ManoboSarangani","mindanao_sulu","Mindanao","Soccsksargen","Sarangani","A",5.8167,125.2,"5-source",0,0,0,0.022,1.346,1.33,1.407,0.177,0.117,2.472,NA,NA,NA,499.599,0.579416113,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177,31.9193079894028,FALSE,"37",1465.20134164147,2719.61442063192,TRUE
"BagoboKlata","mindanao_sulu","Mindanao","Davao","Davao City","B",7.16,125.42,"5-source",0.161,0,0,0.027,1.011,0.59,0.709,0.092,0.112,1.296,NA,NA,NA,499.596,0.44140526,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092,118.147448015123,FALSE,"37",927.871336612963,2182.28441560341,TRUE
"BlaanKoronadal","mindanao_sulu","Mindanao","Soccsksargen","South Cotabato","A",6.5031,124.8469,"5-source",0.034,0,0,0.037,1.096,2.103,2.037,0.167,0.198,3.783,NA,NA,NA,499.601,0.630959674,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.167,35.8564308508731,FALSE,"37",1211.86575517178,2466.27883416223,TRUE
"BlaanSarangani","mindanao_sulu","Mindanao","Soccsksargen","Sarangani","A",6.2861,125.2836,"5-source",0.27,0,0,0.03,0.822,2.4,2.531,0.287,0.17,4.708,NA,NA,NA,499.599,0.294970923,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.287,12.1404897473564,FALSE,"37",1335.37900649869,2589.79208548913,TRUE
"Obo","mindanao_sulu","Mindanao","Soccsksargen","South Cotabato","A",6.22,124.7069,"5-source",0.01,0,0,0.004,1.134,1.29,1.535,0.231,0.09,2.652,NA,NA,NA,499.597,0.451756702,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.231,18.7402784805382,FALSE,"27",1044.24575024015,2464.69540039646,TRUE
"Tboli","mindanao_sulu","Mindanao","Soccsksargen","South Cotabato","A",6.2183,124.8233,"5-source",0.006,0,0,0.019,1.192,0.203,0.224,0.034,0.052,0.391,NA,NA,15.35,499.597,0.678075823,NA,NA,51.73,NA,NA,1551.9,NA,NA,460.5,0.034,865.051903114187,FALSE,"37",1352.8180588651,2607.23113785555,TRUE
"Teduray","mindanao_sulu","Mindanao","BARMM","Maguindanao","A",6.95,124.2333,"5-source",0.162,0.031,0,0.065,0.773,7.404,7.117,0.739,0.491,13.294,NA,NA,26.68,499.6,0.961116803,NA,NA,80.62,NA,NA,2418.6,NA,NA,800.4,0.701800000000001,2.03036104448594,TRUE,"27",709.843527167312,2130.29317732362,TRUE
"Sangil","mindanao_sulu","Sarangani Is.","Davao","Davao Occidental","C",5.4,125.4,"5-source",0,0,0,0.042,1.827,0.227,0.245,0.039,0.074,0.43,NA,NA,NA,499.601,0.405893526,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039,657.462195923734,FALSE,"37",1695.09103772256,2949.50411671301,TRUE
"AytaAmbala","non_mindanao","Luzon","Central Luzon","Bataan","B",14.8783,120.4653,"4-source",0.012,0.961,0,0.054,NA,0.047,0.026,0.017,0.046,NA,NA,NA,1.68,499.598,0.174046689,NA,NA,4.6,NA,NA,138,NA,NA,50.4,0.017,3460.20761245675,FALSE,"8",219.42205875823,131.472990657492,FALSE
"AytaMagbukon",NA,"Luzon","Central Luzon","Bataan","B",14.68,120.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"8",124.602971202036,129.340230647422,FALSE
"AytaMag-indi","non_mindanao","Luzon","Central Luzon","Pampanga","B",15.03,120.53,"4-source",0.158,0.842,0,0.02,NA,0.044,0.023,0.015,0.045,NA,NA,NA,NA,499.6,0.29528389,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,4444.44444444444,FALSE,"8",293.474304864943,275.889356927872,FALSE
"AytaMag-antsi","non_mindanao","Luzon","Central Luzon","Pampanga","A",15.1667,120.5333,"4-source",0.131,0.85,0,0.03,NA,0.042,0.025,0.015,0.043,NA,NA,NA,NA,499.593,0.560952056,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,4444.44444444444,FALSE,"8",360.980929321141,357.58315976835,FALSE
"AytaSambal","non_mindanao","Luzon","Central Luzon","Zambales","B",15.29,120.03,"4-source",0.343,0.662,0,0,NA,0.04,0.022,0.014,0.04,NA,NA,NA,5.42,499.593,0.840026483,NA,NA,10.75,NA,NA,322.5,NA,NA,162.6,0.014,5102.04081632653,FALSE,"5",60.058777028754,277.135108306054,TRUE
"AgtaDupaningan","non_mindanao","Luzon","Cagayan Valley","Cagayan","A",18.55,122.13,"4-source",0.329,0.695,0.001,0,NA,0.05,0.027,0.017,0.048,NA,NA,NA,33.12,499.594,0.36113703,NA,NA,113.45,NA,NA,3403.5,NA,NA,993.6,0.017,3460.20761245675,FALSE,"1",182.999704468711,909.672649454147,TRUE
"AgtaLabin","non_mindanao","Luzon","Cagayan Valley","Cagayan","A",18.2,121.65,"4-source",0.514,0.568,0,0,NA,0.047,0.027,0.017,0.047,NA,NA,NA,11.12,499.594,0.463870233,NA,NA,23.16,NA,NA,694.8,NA,NA,333.6,0.017,3460.20761245675,FALSE,"2",341.252566834527,981.591816372306,TRUE
"AttaRizal","non_mindanao","Luzon","Cagayan Valley","Cagayan","A",17.9167,121.45,"4-source",0.432,0.615,0.003,0,NA,0.043,0.026,0.016,0.044,NA,NA,NA,6.41,499.596,0.475538577,NA,NA,24.28,NA,NA,728.4,NA,NA,192.3,0.016,3906.25,FALSE,"2",448.343679358386,1088.68292889617,TRUE
"AgtaMaddela","non_mindanao","Luzon","Cagayan Valley","Quirino","B",16.3667,121.6667,"4-source",0.278,0.806,0.005,0,NA,0.056,0.033,0.021,0.053,NA,NA,NA,NA,499.597,0.0392688965,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,2267.57369614512,FALSE,"3",807.157150767621,928.115215851754,FALSE
"AgtaCasiguran","non_mindanao","Luzon","Cagayan Valley","Quirino","A",16.2,121.65,"4-source",0.213,0.809,0,0,NA,0.052,0.03,0.019,0.051,NA,NA,NA,NA,499.595,0.326397493,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,2770.08310249307,FALSE,"9",920.334877759309,848.352509346473,FALSE
"Arta","non_mindanao","Luzon","Cagayan Valley","Quirino","A",16.25,121.65,"4-source",0.227,0.809,0,0,NA,0.057,0.034,0.021,0.058,NA,NA,NA,NA,499.59,0.221246618,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,2267.57369614512,FALSE,"9",943.273499599184,871.370856183778,FALSE
"AgtaDumagat","non_mindanao","Luzon","Calabarzon","Quezon","A",14.7514,121.5561,"4-source",0.395,0.644,0,0,NA,0.048,0.024,0.016,0.048,NA,NA,NA,4.84,499.593,0.0671611085,NA,NA,16.49,NA,NA,494.7,NA,NA,145.2,0.016,3906.25,FALSE,"9",329.802785799015,275.910586671672,FALSE
"AgtaRemontado","non_mindanao","Luzon","Calabarzon","Rizal","A",14.6333,121.4333,"4-source",0.574,0.461,0,0,NA,0.042,0.023,0.015,0.043,NA,NA,NA,7.06,499.591,0.110153494,NA,NA,19.38,NA,NA,581.4,NA,NA,211.8,0.015,4444.44444444444,FALSE,"9",253.664381425281,207.651299036748,FALSE
"AgtaLopez","non_mindanao","Luzon","Calabarzon","Quezon","A",13.8833,122.26,"4-source",0.137,0.839,0,0.038,NA,0.057,0.03,0.018,0.054,NA,NA,NA,NA,499.601,0.297537568,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,3086.41975308642,FALSE,"17",174.977722177418,524.054416490358,FALSE
"AgtaManide","non_mindanao","Luzon","Bicol","Camarines Norte","A",14.2903,122.6939,"4-source",0.124,0.879,0,0,NA,0.053,0.032,0.019,0.053,NA,NA,NA,4.99,499.593,0.509551781,NA,NA,11.64,NA,NA,349.2,NA,NA,149.7,0.019,2770.08310249307,FALSE,"17",436.06996953234,492.006111359996,FALSE
"AgtaIriga","non_mindanao","Luzon","Bicol","Camarines Sur","B",13.4239,123.4111,"4-source",0.459,0.543,0,0.016,NA,0.048,0.026,0.016,0.045,NA,NA,NA,8.33,499.596,0.0410822883,NA,NA,30.66,NA,NA,919.8,NA,NA,249.9,0.016,3906.25,FALSE,"18",195.045318618472,911.647688037642,TRUE
"AgtaIsarog","non_mindanao","Luzon","Bicol","Camarines Sur","B",13.6592,123.3767,"4-source",0.687,0.347,0.001,0,NA,0.04,0.022,0.013,0.04,NA,NA,NA,13.52,499.589,0.258318002,NA,NA,29.5,NA,NA,885,NA,NA,405.6,0.013,5917.15976331361,FALSE,"18",310.216067807835,1004.48981482339,FALSE
"AgtaIraya","non_mindanao","Luzon","Bicol","Camarines Sur","B",13.4333,123.5167,"4-source",0.518,0.417,0,0.079,NA,0.042,0.024,0.015,0.041,NA,NA,NA,4.77,499.588,0.000852422876,NA,NA,13.49,NA,NA,404.7,NA,NA,143.1,0.015,4444.44444444444,FALSE,"18",210.097048344551,926.699417763721,TRUE
"AgtaMatnog","non_mindanao","Luzon","Bicol","Sorsogon","A",12.5875,124.0833,"4-source",0.758,0.226,0,0.034,NA,0.038,0.021,0.013,0.039,NA,NA,NA,1.78,499.59,0.10525066,NA,NA,5.51,NA,NA,165.3,NA,NA,53.4,0.013,5917.15976331361,FALSE,"23",15.9804171942178,908.616781443419,TRUE
"AgtaBulusan","non_mindanao","Luzon","Bicol","Sorsogon","A",12.7508,124.1333,"4-source",0.768,0.224,0,0.013,NA,0.043,0.021,0.014,0.042,NA,NA,NA,NA,499.604,0.0578265303,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,5102.04081632653,FALSE,"23",19.7793844712588,912.41574872046,TRUE
"AtiPanay","non_mindanao","Panay","Western Visayas","Iloilo","A",11.05,122.8,"4-source",0.534,0.437,0,0.059,NA,0.045,0.023,0.015,0.045,NA,NA,NA,NA,499.589,0.0182722554,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,4444.44444444444,FALSE,"32",500.926189275735,1125.31682464083,FALSE
"AtiNegros","non_mindanao","Negros","Western Visayas","Negros Occidental","A",10.2044,122.9908,"4-source",0.708,0.354,0,0,NA,0.047,0.026,0.016,0.046,NA,NA,NA,NA,499.588,0.0184027661,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,3906.25,FALSE,"31",295.152438700583,1475.76697648838,TRUE
"Batak","non_mindanao","Palawan","Mimaropa","Palawan","C",10.3,119.05,"4-source",0.377,0.64,0,0.014,NA,0.061,0.033,0.021,0.06,NA,10.18,NA,8.06,499.589,0.096537983,20.04,NA,22.69,601.2,NA,680.7,305.4,NA,241.8,0.021,2267.57369614512,FALSE,"25",318.480870370983,1209.50101344989,FALSE
"Mamanwa","mindanao_sulu","Mindanao","Caraga","Agusan del Norte","C",9.45,125.6,"5-source",0,0.119,0,0.029,1.248,14.237,16.054,1.801,0.185,28.377,NA,NA,12.15,499.599,0.187033197,NA,NA,28.64,NA,NA,859.2,NA,NA,364.5,0.701800000000001,2.03036104448594,TRUE,"37",107.255980159698,1361.66905915014,TRUE
