"population","model_region","island_group","region","province","precision_tier","latitude","longitude","model","balangao_admx","aytamagbukon_admx","span_admx","eastasian_admx","atamanobo_admx","balangao_se","aytamagbukon_se","span_se","eastasian_se","atamanobo_se","malder_span_se","malder_eastasian_se","malder_joint_ceu_eas_se","effblocks","qpadm_pval","malder_span","malder_eastasian","malder_joint_ceu_eas","malder_span_years","malder_eastasian_years","malder_joint_ceu_eas_years","malder_span_se_years","malder_eastasian_se_years","malder_joint_ceu_eas_se_years","span_se_capped","span_w","span_w_capped","nearest_node","geodist_H1_span","geodist_H2_span","using_network"
"TuwaliIfugao","non_mindanao","Luzon","Cordillera","Ifugao","B",16.7789,121.0889,"4-source",0.971,0,0.02,0.051,NA,0.032,0.017,0.011,0.032,NA,NA,NA,NA,499.591,0.239701588,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,5917.15976331361,TRUE,"3",464.306790114631,936.241119459161,TRUE
"Kalanguya","non_mindanao","Luzon","Cordillera","Ifugao","B",16.6333,120.9333,"4-source",1.015,0,0.023,0.013,NA,0.036,0.018,0.012,0.035,NA,NA,NA,NA,499.59,0.492410765,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,5917.15976331361,TRUE,"3",436.999728277291,908.934057621821,TRUE
"Ibaloi","non_mindanao","Luzon","Cordillera","Benguet","A",16.4597,120.5875,"4-source",0.999,0,0.005,0.01,NA,0.043,0.019,0.013,0.044,NA,NA,NA,NA,499.589,0.0695881982,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,5917.15976331361,FALSE,"4",235.047904455448,547.369829045919,TRUE
"Bugkalot","non_mindanao","Luzon","Cagayan Valley","Nueva Vizcaya","C",15.95,121.2167,"4-source",0.876,0.148,0.015,0,NA,0.041,0.022,0.014,0.041,NA,NA,NA,NA,499.592,0.151611061,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,5102.04081632653,FALSE,"9",730.656223085578,674.446311076117,FALSE
"Pangasinan","non_mindanao","Luzon","Ilocos","Pangasinan","C",16.0214,120.2317,"4-source",0.791,0.114,0.009,0.087,NA,0.039,0.019,0.013,0.038,NA,NA,NA,5.91,499.586,0.56036431,NA,NA,14.12,NA,NA,423.6,NA,NA,177.3,0.013,5917.15976331361,FALSE,"4",254.54176088197,566.863685472441,TRUE
"Sambal","non_mindanao","Luzon","Central Luzon","Zambales","C",15.3275,119.9781,"4-source",0.82,0.132,0.011,0.038,NA,0.044,0.021,0.014,0.043,NA,NA,NA,NA,499.593,0.478743133,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,5102.04081632653,FALSE,"5",36.6631172957407,253.739448573041,TRUE
"Bolinao","non_mindanao","Luzon","Ilocos","Pangasinan","A",16.3833,119.8833,"4-source",0.858,0.096,0.013,0.033,NA,0.046,0.022,0.015,0.047,NA,NA,NA,NA,499.592,0.00970132342,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,4444.44444444444,FALSE,"4",34.6321849357602,346.954109526231,TRUE
"Kapampangan","non_mindanao","Luzon","Central Luzon","Pampanga","C",15.0333,120.6833,"4-source",0.644,0.108,0.015,0.233,NA,0.034,0.016,0.011,0.035,NA,9.29,NA,3.51,499.594,0.255435196,23.2,NA,12.72,696,NA,381.6,278.7,NA,105.3,0.013,5917.15976331361,TRUE,"9",191.039524732238,191.039524732238,TRUE
"Tagalog","non_mindanao","Luzon","NCR","Metro Manila","C",14.5995,120.9842,"4-source",0.647,0.141,0.009,0.203,NA,0.036,0.016,0.01,0.037,NA,NA,NA,5.75,499.598,0.398789196,NA,NA,11.48,NA,NA,344.4,NA,NA,172.5,0.013,5917.15976331361,TRUE,"9",68.9827296281146,7.5527159575988,FALSE
"Bicolano","non_mindanao","Luzon","Bicol","Camarines Sur","B",13.6218,123.1948,"4-source",0.649,0.189,0.031,0.132,NA,0.038,0.019,0.012,0.039,NA,0.61,NA,NA,499.595,0.0533054618,2.35,NA,NA,70.5,NA,NA,18.3,NA,NA,0.013,5917.15976331361,TRUE,"18",302.457996516787,949.660278059396,FALSE
"MangyanBuhid","non_mindanao","Mindoro","Mimaropa","Oriental Mindoro","B",12.7458,121.43,"4-source",0.766,0.265,0,0,NA,0.057,0.028,0.019,0.059,NA,NA,NA,NA,499.589,0.289665901,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,2770.08310249307,FALSE,"16",236.964360957743,613.293476426547,TRUE
"MangyanBangon","non_mindanao","Mindoro","Mimaropa","Oriental Mindoro","B",12.8619,121.42,"4-source",0.751,0.249,0,0,NA,0.055,0.029,0.018,0.055,NA,NA,NA,NA,499.59,0.542339157,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,3086.41975308642,FALSE,"16",184.953217042,561.282332510804,TRUE
