treemix_name,tree_tip,language,iso6393,Language_type
TaeSToraja,TaeSToraja,Sadan,sda,Austronesian
Maanyan,Maanyan,Maanyan,mhy,Austronesian
Katingan,Katingan,Kapuas,nij,Austronesian
DayakNgaju,DayakNgaju,Kapuas,nij,Austronesian
KayanUmaJuman,KayanUmaJuman,Rejang Kayan,ree,Austronesian
MelanauMukah,MelanauMukah,Melanau,mel,Austronesian
Bintulu,Bintulu,Bintulu,bny,Austronesian
TimugonMurut,TimugonMurut,Timugon,tih,Austronesian
KoronadalBlaan,KoronadalBlaan,Cotabato Bilaan,bpr,Philippine Language
SaranganiBlaan,SaranganiBlaan,Sarangani Bilaan,bps,Philippine Language
TboliTagabili,TboliTagabili,Tboli,tbl,Philippine Language
ManoboDibabawon,ManoboDibabawon,Dibabawon,mbd,Philippine Language
ManoboTigwaIglogsad_D,ManoboTigwaIglogsad_D,Tigwa,mbt,Philippine Language
WBukidnonManobo,WBukidnonManobo,Western Bukidnon,mbb,Philippine Language
ManoboIlianenKibudtungan_D,ManoboIlianenKibudtungan_D,Ilianen,mbi,Philippine Language
Binukid,Binukid,Binukid,bkd,Philippine Language
ManoboKalamansigCotabatoParil_D,ManoboKalamansigCotabatoParil_D,Kalamansig,mta,Philippine Language
ManoboSaranganiKayaponga_D,ManoboSaranganiKayaponga_D,Sarangani Manobo,mbs,Philippine Language
SubanunSindangan,SubanunSindangan,Sindangan,syb,Philippine Language
SubanonSiocon,SubanonSiocon,Siocon Subanon,suc,Philippine Language
Maranao,Maranao,Maranao,mrw,Philippine Language
BikolNagaCity,BikolNagaCity,Naga,bcl,Philippine Language
Cebuano,Cebuano,Cebuano,ceb,Philippine Language
TausugJolo_D,TausugJolo_D,Tausug,tsg,Philippine Language
Mamanwa,Mamanwa,Mamanwa,mmn,Philippine Language
Kalagan,Kalagan,Kalagan,kqe,Philippine Language
Tagalog,Tagalog,Tagalog,tgl,Philippine Language
PalawanBatak,PalawanBatak,Batak,bya,Philippine Language
TagbanwaKalamianCoronIsland_D,TagbanwaKalamianCoronIsland_D,Kalamianen,tbk,Philippine Language
Hanunoo,Hanunoo,Hanunoo,hnn,Philippine Language
Itbayaten,Itbayaten,Itbayaten,ivv,Philippine Language
Iraralay,Iraralay,Itbayaten,ivv,Philippine Language
Imorod,Imorod,Itbayaten,ivv,Philippine Language
Ivasay,Ivasay,Itbayaten,ivv,Philippine Language
Isamorong,Isamorong,Itbayaten,ivv,Philippine Language
Itbayat,Itbayat,Itbayaten,ivv,Philippine Language
Ilokano,Ilokano,Ilokano,ilo,Philippine Language
Gaddang,Gaddang,Gaddang,gad,Philippine Language
Ibanag,Ibanag,Ibanag,ibg,Philippine Language
IsnegDibagatKabugaoIsneg,IsnegDibagatKabugaoIsneg,Isnag,isd,Philippine Language
DumagatCasiguran,DumagatCasiguran,Casiguran Dumagat,dgc,Philippine Language
KalingaGuinaangLubuagan_D,KalingaGuinaangLubuagan_D,Central Kalinga,knb,Philippine Language
Balangaw,Balangaw,Balangaw,blw,Philippine Language
KankanayNorthern,KankanayNorthern,North Kankanay,xnn,Philippine Language
IfugaoAmganad,IfugaoAmganad,Central Ifugao,ifa,Philippine Language
IfugaoBatad,IfugaoBatad,East Ifugao,ifb,Philippine Language
IfugaoBayninan,IfugaoBayninan,North Kallahan,ify,Philippine Language
KakidugenIlongot,KakidugenIlongot,Ilongot,ilk,Philippine Language
Pangasinan,Pangasinan,Pangasinan,pag,Philippine Language
Inibaloi,Inibaloi,Inibaloi,ibl,Philippine Language
KallahanKeleyqiq,KallahanKeleyqiq,North Kallahan,ify,Philippine Language
Kapampangan,Kapampangan,Kapampangan,pam,Philippine Language
Yakan,Yakan,Yakan,yka,Austronesian
Puyuma,Puyuma,Puyuma,pyu,Austronesian
Rukai,Rukai,Rukai,dru,Austronesian
Tsou,Tsou,Tsou,tsu,Austronesian
Kanakanabu,Kanakanabu,Kanakanabu,xnb,Austronesian
Saaroa,Saaroa,Saaroa,sxr,Austronesian
Japanese,NA,Japanese,jpn,Language of Interest
