population	region	model	balangao_admx	aytamagbukon_admx	span_admx	eastasian_admx	atamanobo_admx	balangao_se	aytamagbukon_se	span_se	eastasian_se	atamanobo_se	effblocks	qpadm_pval	malder_span	malder_eastasian	malder_joint_ceu_eas	malder_span_se	malder_eastasian_se	malder_joint_ceu_eas_se	malder_span_years	malder_eastasian_years	malder_joint_ceu_eas_years	malder_span_se_years	malder_eastasian_se_years	malder_joint_ceu_eas_se_years
BinukidnonNegros	non_mindanao	4-source	0.699	0.257	-0.011	0.055	NA	0.04	0.021	0.013	0.041	NA	499.591	0.043210794	NA	NA	22.8	NA	NA	9.6	NA	NA	684	NA	NA	288
BlaanKoronadal	mindanao_sulu	5-source	0.034	-0.123	-0.044	0.037	1.096	2.103	2.037	0.167	0.198	3.783	499.601	0.630959674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BlaanSarangani	mindanao_sulu	5-source	0.27	-0.097	-0.026	0.03	0.822	2.4	2.531	0.287	0.17	4.708	499.599	0.294970923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Boholano	non_mindanao	4-source	0.678	0.268	-0.039	0.093	NA	0.053	0.025	0.016	0.052	NA	499.591	0.00608261572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolinao	non_mindanao	4-source	0.858	0.096	0.013	0.033	NA	0.046	0.022	0.015	0.047	NA	499.592	0.00970132342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bontoc	non_mindanao	4-source	0.949	-0.002	0.002	0.052	NA	0.036	0.018	0.012	0.036	NA	499.59	0.290872479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bugkalot	non_mindanao	4-source	0.876	0.148	0.015	-0.039	NA	0.041	0.022	0.014	0.041	NA	499.592	0.151611061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BukdinonMatigsalug	mindanao_sulu	5-source	-0.069	-0.072	-0	0.078	1.064	2.836	3.132	0.376	0.232	5.554	499.597	0.179103253	NA	NA	28.86	NA	NA	12.24	NA	NA	865.8	NA	NA	367.2
BukidnonBinukid	mindanao_sulu	5-source	0.263	0.031	-0.032	0.028	0.71	4.57	5.279	0.574	0.285	9.003	499.597	0.490584144	44.29	NA	NA	22.23	NA	NA	1328.7	NA	NA	666.9	NA	NA
BukidnonHigaonon	mindanao_sulu	5-source	0.305	-0.075	0.01	-0.014	0.774	0.692	0.779	0.097	0.048	1.368	499.596	0.535257901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BukidnonManobo	mindanao_sulu	5-source	0.241	0.054	-0.018	-0.018	0.742	0.865	1.03	0.158	0.083	1.812	499.599	0.998053307	74.08	NA	39.34	27.65	NA	16.32	2222.4	NA	1180.2	829.5	NA	489.6
BukidnonTalaandig	mindanao_sulu	5-source	0.37	0.077	-0.024	0.03	0.547	0.492	0.567	0.083	0.05	0.992	499.598	0.738709918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BukidnonTigwahanon	mindanao_sulu	5-source	0.127	0.029	0	0.089	0.754	2.055	2.567	0.327	0.217	4.487	499.596	0.630616664	NA	NA	40.48	NA	NA	8.22	NA	NA	1214.3999999999999	NA	NA	246.60000000000002
BukidnonUmayamnon	mindanao_sulu	5-source	0.142	-0.125	-0.011	0.012	0.982	0.375	0.419	0.062	0.053	0.742	499.594	0.796834022	7.03	NA	6.22	2.77	NA	2.21	210.9	NA	186.6	83.1	NA	66.3
Cebuano	non_mindanao	4-source	0.713	0.245	-0.022	0.063	NA	0.043	0.021	0.014	0.042	NA	499.58	0.00564310052	22.92	NA	21.91	7.32	NA	8.9	687.6	NA	657.3	219.60000000000002	NA	267
Chavacano	non_mindanao	4-source	0.663	0.173	0.053	0.112	NA	0.036	0.017	0.012	0.036	NA	499.595	0.0362602804	4.47	NA	5.77	1.68	NA	1.85	134.1	NA	173.1	50.4	NA	55.5
Cinamiguin	mindanao_sulu	5-source	0.343	-0.135	0.02	0.04	0.732	1.042	1.23	0.145	0.102	2.202	499.591	0.449630117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cuyonon	non_mindanao	4-source	0.678	0.303	-0.018	0.037	NA	0.04	0.021	0.013	0.041	NA	499.594	0.237963377	18.74	NA	19.75	6.98	NA	3.46	562.1999999999999	NA	592.5	209.4	NA	103.8
