"lon","lat","phoneme_value","phoneme_supported","grammar_value","grammar_supported","cognate_value","cognate_supported","genetic_value","genetic_supported"
119.14448586474,4.03657885193073,0.0220421579977606,FALSE,0.00703689917208573,TRUE,1.28566167176984e-06,TRUE,0.0529672372207416,FALSE
119.181929261075,4.03657885193073,0.0220421120905576,FALSE,0.00703688369484867,TRUE,1.50751267184856e-06,TRUE,0.0529694236137384,FALSE
119.14448586474,4.08179095018668,0.0220420719534251,FALSE,0.00703688463827632,TRUE,1.49414020547648e-06,TRUE,0.0529640829871772,FALSE
119.181929261075,4.08179095018668,0.0220420210488728,FALSE,0.00703686665759133,TRUE,1.75190167774334e-06,TRUE,0.0529667721613801,FALSE
119.21937265741,4.08179095018668,0.0220419673573653,FALSE,0.00703684556873701,TRUE,2.05421850636544e-06,TRUE,0.0529688127058878,FALSE
119.256816053745,4.08179095018668,0.0220419107535347,FALSE,0.00703682083287053,TRUE,2.40881118910041e-06,TRUE,0.052970277133137,FALSE
119.29425945008,4.08179095018668,0.0220418511098628,FALSE,0.00703679181729706,TRUE,2.82474287007397e-06,TRUE,0.0529712247595878,FALSE
119.331702846415,4.08179095018668,0.0220417882974203,FALSE,0.00703675777899868,TRUE,3.31265411298642e-06,TRUE,0.0529717034385534,FALSE
119.369146242749,4.08179095018668,0.0220417221867667,FALSE,0.00703671784523669,TRUE,3.88503906760071e-06,TRUE,0.0529717510123637,FALSE
119.406589639084,4.08179095018668,0.0220416526490402,FALSE,0.00703667099069701,TRUE,4.5565704192606e-06,TRUE,0.0529713965228924,FALSE
119.444033035419,4.08179095018668,0.0220415795572678,FALSE,0.00703661601054914,TRUE,5.34448185506652e-06,TRUE,0.0529706612135602,FALSE
119.107042468405,4.12700304844263,0.0220420302186728,FALSE,0.00703688555889923,TRUE,1.48108681810152e-06,TRUE,0.052956325283951,FALSE
119.14448586474,4.12700304844263,0.0220419767485515,FALSE,0.0070368677458724,TRUE,1.73646179888018e-06,TRUE,0.0529604220568424,FALSE
119.181929261075,4.12700304844263,0.0220419203098991,FALSE,0.00703684685594055,TRUE,2.03595317445456e-06,TRUE,0.0529636867494898,FALSE
