"domain","predictor","beta","se","p_value","or_per_sd","p_at_mean","p_at_mean_plus_sd","N","n_positive"
"Cognate","number_of_loans",0.131411538789854,0.141761571482333,0.353931800924587,1.4237204492585,0.0992958155263872,0.135661697911573,48,5
"Grammar","span_delta",6.57621600547874,9.37957421618172,0.483227535717435,1.46404537872667,0.271997144297864,0.353586785366577,18,5
"Phoneme","span_delta",-1.03713400991579,8.25142658386858,0.899976147267133,0.932257275150108,0.124806771039915,0.117344135709347,32,4
