"domain_x","domain_y","grid_n","grid_slope","grid_r2","grid_p_raw","grid_p_dutilleul","paired_n","paired_slope","paired_r2","paired_p"
"phoneme","grammar",42021,-0.00049942437839848,2.81518706289529e-07,0.913391910781597,0.962051501290717,12,-0.057892125053666,0.000548231916100678,0.942420840179759
"phoneme","cognate",49463,2.96720301270181,0.00833465774725391,5.02693456747989e-92,0.804623682406673,53,5.44178477324497,0.0171781410566437,0.349550316564934
"phoneme","genetic",49354,-0.0939293434715197,0.0909101763318442,0,0.262014220690169,32,-0.0227450729653213,0.044056174910183,0.248906450241073
"grammar","cognate",43420,-5.21494060955979,0.0299492847746584,4.62475369270614e-289,0.348236032776446,22,-1.24806537275183,0.00137233520603369,0.869991139392203
"grammar","genetic",40957,-0.0758303942138483,0.048021821807001,0,0.279661860628605,18,0.014999275062993,0.00884001194436513,0.710574171553138
"cognate","genetic",48384,-0.00104620645610273,0.0185658517102303,3.45306397651158e-199,0.563649177947924,48,0.000450932286555447,0.0334320335076806,0.213533277229876
