"gloss","wordform","feature","loading"
"Two","duwa","Two::duwa",0.040919771724875
"sand","balas","sand::balas",-0.0408953509271278
"belly","tiyán","belly::tiyán",0.040666857857412
"mosquito","namók","mosquito::namók",0.0400557318255638
"you","kamó","you::kamó",0.0400167952220951
"Five","lima","Five::lima",-0.0399329590529659
"we","kitá","we::kitá",0.0399215743216397
"egg","itlóg","egg::itlóg",0.0398567024994582
"left","wala","left::wala",0.0398039394733012
"egg","okoy","egg::okoy",-0.039647859750326
"One.Thousand","libu","One.Thousand::libu",-0.0394044733390426
"what.","anya","what.::anya",-0.0390422328951828
"to.walk","bita","to.walk::bita",-0.0390087111355932
"eye","matá","eye::matá",0.0386898763982489
"skin","panit","skin::panit",0.0385750511893651
"liver","atáy","liver::atáy",0.0384721641231313
"lightning","kilát","lightning::kilát",0.0383460527224322
"thin","impih","thin::impih",-0.0371329624634314
"white","potiʔ","white::potiʔ",-0.0370237543222115
"lightning","kilat","lightning::kilat",-0.0368851559420784
"Eight","walo","Eight::walo",-0.036669418176955
"Eight","walu","Eight::walu",-0.0365292564470847
"branch","salingsíng","branch::salingsíng",0.0365281412846481
"Eight","walú","Eight::walú",0.0361103381811099
"and","tan","and::tan",-0.0360725733197632
"branch","panga","branch::panga",0.0359616613395106
"breast","susu","breast::susu",-0.0357780510155822
"he.she","siyá","he.she::siyá",0.0357267632694307
"other","ibá","other::ibá",0.0354647383428543
"to.burn","silab","to.burn::silab",-0.0353418549583164
"ash","abo","ash::abo",-0.0352903078416425
"thin","manipís","thin::manipís",0.0352631673508212
"Four","opat","Four::opat",0.0351370610539194
"blood","daya","blood::daya",-0.0351197083897873
"to.hide","tagoʔ","to.hide::tagoʔ",-0.0348012355398986
"neck","bɨŋ","neck::bɨŋ",-0.0346559926471398
"long","aba","long::aba",0.0342661597908563
"year","tawon","year::tawon",0.0339813458369994
"mosquito","balangkád","mosquito::balangkád",0.0337864621257979
"eye","'mata","eye::'mata",-0.0337409216395656
"needle","karayom","needle::karayom",-0.0335470545172509
