fid,iid,father,mother,sex,phenotype,population,matched,latitude,longitude
AgtaLopez,LA-07,0,0,0,-9,AgtaLopez,True,13.8833,122.26
AgtaLopez,LA-09,0,0,0,-9,AgtaLopez,True,13.8833,122.26
AgtaLopez,LA-11,0,0,0,-9,AgtaLopez,True,13.8833,122.26
AgtaLopez,LA-12,0,0,0,-9,AgtaLopez,True,13.8833,122.26
AgtaLopez,LA-13,0,0,0,-9,AgtaLopez,True,13.8833,122.26
AgtaLopez,LA-14,0,0,0,-9,AgtaLopez,True,13.8833,122.26
AgtaLopez,LA-15,0,0,0,-9,AgtaLopez,True,13.8833,122.26
AgtaLopez,LA-16,0,0,0,-9,AgtaLopez,True,13.8833,122.26
AgtaMaddela,ILA-01,0,0,0,-9,AgtaMaddela,True,16.3667,121.6667
AgtaMaddela,ILA-02,0,0,0,-9,AgtaMaddela,True,16.3667,121.6667
AgtaMaddela,ILA-03,0,0,0,-9,AgtaMaddela,True,16.3667,121.6667
AgtaMaddela,ILA-04,0,0,0,-9,AgtaMaddela,True,16.3667,121.6667
AgtaMaddela,ILA-05,0,0,0,-9,AgtaMaddela,True,16.3667,121.6667
AgtaMaddela,ILA-15,0,0,0,-9,AgtaMaddela,True,16.3667,121.6667
AgtaManide,PK-01,0,0,0,-9,AgtaManide,True,14.2903,122.6939
AgtaManide,PK-02,0,0,0,-9,AgtaManide,True,14.2903,122.6939
AgtaManide,PK-03,0,0,0,-9,AgtaManide,True,14.2903,122.6939
AgtaManide,PK-04,0,0,0,-9,AgtaManide,True,14.2903,122.6939
AgtaManide,PK-05,0,0,0,-9,AgtaManide,True,14.2903,122.6939
AgtaManide,PK-08,0,0,0,-9,AgtaManide,True,14.2903,122.6939
AgtaManide,PK-11,0,0,0,-9,AgtaManide,True,14.2903,122.6939
AgtaManide,PK-12,0,0,0,-9,AgtaManide,True,14.2903,122.6939
AgtaManide,PK-17,0,0,0,-9,AgtaManide,True,14.2903,122.6939
AgtaMatnog,Mat-05,0,0,0,-9,AgtaMatnog,True,12.5875,124.0833
AgtaMatnog,Mat-09,0,0,0,-9,AgtaMatnog,True,12.5875,124.0833
AgtaMatnog,Mat-10,0,0,0,-9,AgtaMatnog,True,12.5875,124.0833
AgtaMatnog,Mat-12,0,0,0,-9,AgtaMatnog,True,12.5875,124.0833
AgtaMatnog,Mat-13,0,0,0,-9,AgtaMatnog,True,12.5875,124.0833
AgtaMatnog,Mat-14,0,0,0,-9,AgtaMatnog,True,12.5875,124.0833
AgtaMatnog,Mat-15,0,0,0,-9,AgtaMatnog,True,12.5875,124.0833
AgtaMatnog,Mat-16,0,0,0,-9,AgtaMatnog,True,12.5875,124.0833
AgtaMatnog,Mat-18,0,0,0,-9,AgtaMatnog,True,12.5875,124.0833
