"zeros","n","n_evec","geo_slope","geo_std_error","geo_t","geo_p","geo_r2","anc_semipartial_r2","anc_F_p"
"removed",51,1,-0.00752727422582657,0.00880943630130292,-0.854455832175468,0.397010828165825,0.0146811457433971,0.0610762321684478,0.0812411024621391
"kept",94,2,-0.010234393645017,0.00513256369821602,-1.9940120077953,0.0491114622100912,0.0414278612565978,0.176530103251644,0.000105253924552118
