"unit","method","n","n_evec","df_residual","r.squared","adj.r.squared","aic","raw_cor","partial_cor","geo_phylo_cor","term","estimate","std.error","statistic","p.value"
NA,"Moran's I",51,1,48,0.0757573779118448,0.0372472686581716,-23.4016719662974,-0.121165777938315,-0.0996133662556833,0.0496848730237887,"(Intercept)",0.229644163095525,0.0419447298953001,5.47492292044195,1.57242768684085e-06
"per 100 km","Moran's I",51,1,48,0.0757573779118448,0.0372472686581716,-23.4016719662974,-0.121165777938315,-0.0996133662556833,0.0496848730237887,"geodist_H1_span",-0.00600826585148543,0.00866254353874729,-0.693591417418065,0.491281427785365
