language,PC1,PC2,longitude,latitude,subgroup,colour,rotPC1,rotPC2,rotLongitude,rotLatitude
Agta,3.7987743036888997,-2.428069221907774,121.38808,15.11794,Greater Central Philippine,#ED6BB1,0.3184016676714967,0.22679556723557376,134.4801107585776,20.983597913757652
Ata,0.5547352698971526,-0.3459810507852699,122.9,9.715,Central Philippine,#565153,0.04653359447269124,0.03237508875201212,124.19143195163814,13.625875349747368
Atta,-0.3910696302011997,0.20083790269880514,121.29837,18.47131,Cagayan Valley,#79F287,-0.032992006933839496,-0.01909381799428672,121.18183483280997,11.678066459110351
Balangaw,0.7644914903070322,0.2596662700130208,121.28216,17.13492,Meso-Cordilleran,#EA7B81,0.06733339774815274,-0.019160138791955772,124.97858762104349,11.675556589608544
Batak,-0.7438472322145062,-0.47903792218444463,119.08504,10.16456,Palawanic-Kalamian,#87B1F1,-0.06650017892258268,0.03824714089671197,119.91373882233154,13.848099525405674
Binukid,-0.18111121075135728,1.1538014937668968,124.94266,8.19325,Manobo,#F16DEF,-0.010663442596580358,-0.10070510438393027,122.02684551752597,8.58953788418579
Buhid,-0.7365881919904339,-0.33347029113523297,121.222,12.64484,South Mangyan,#85DEF2,-0.06523816221455328,0.025672842334207743,119.96149906282292,13.372232986131818
Casiguran Dumagat,-0.48299818483483614,-0.6163166415831096,121.99354,16.40414,Northeastern Luzon,#95A459,-0.04450847035989225,0.05127023366360747,120.74600140894238,14.340950403315059
Cebuano,-2.0033944771757857,-1.3659197001392633,123.64698,10.20178,Central Philippine,#565153,-0.17943363341171878,0.10956886957982262,115.6398421998798,16.547226163345268
Central Bontok,0.5922044236566945,-0.3344187483777265,121.002,17.11673,Meso-Cordilleran,#EA7B81,0.049828663199129736,0.03153685170708008,124.31613178628302,13.59415278807284
Central Ifugao,-0.3779508332034513,0.31344978783884714,121.00691,16.90069,Meso-Cordilleran,#EA7B81,-0.03136594410478453,-0.028788713554157408,121.24337217322366,11.311169142670431
Central Kalinga,-0.38106564269141535,0.3233858962790274,121.03338,17.38069,Meso-Cordilleran,#EA7B81,-0.031592446537254515,-0.029662715174622215,121.23480032898593,11.278093092791153
Cotabato Bilaan,-0.05357761544427335,1.1383176534608046,125.01141,6.21229,Tboli-Blaan,#5C7193,3.133542890281272e-4,-0.09880930552464856,122.44225559549587,8.661283217560953
Dibabawon,-0.1738526674559675,1.2087307198598678,125.99118,7.85784,Manobo,#F16DEF,-0.009795856954039513,-0.1054302889589961,122.05967875869544,8.410716201211613
East Ifugao,-0.4118286575905152,0.07596486399950982,121.26145,16.84668,Meso-Cordilleran,#EA7B81,-0.035333050438163295,-0.008370373851400313,121.09323949167388,12.083888559484876
Gaddang,1.6700265856201317,-0.3465898151750872,121.26426,16.58369,Cagayan Valley,#79F287,0.14311308517183552,0.037280689310335034,127.84642294579824,13.811524763839545
Hanunoo,-0.7242605534530028,-0.48578241378494413,121.2367,12.41035,South Mangyan,#85DEF2,-0.06483335601360991,0.0389164272733875,119.9768187027187,13.873428253705592
Hiligaynon,-0.7199733953372268,-0.3641009919253295,122.64284,9.74388,Central Philippine,#565153,-0.0639326329857889,0.028397698374290365,120.01090600770537,13.475353474910428
Ibanag,-0.35754012376278976,0.2581991149108232,121.78591,17.64993,Cagayan Valley,#79F287,-0.029838822958075335,-0.023915297159531404,121.30116512696372,11.495600567025708
Ilianen,-0.24589779940692302,0.4534499124491541,124.73172,7.35339,Manobo,#F16DEF,-0.019321226698353594,-0.040337869823748145,121.6991970417234,10.874098478392474
Ilokano,-0.3632569531567982,0.25733254319021553,120.65378,15.70115,Northern Luzon,#7E6E40,-0.030337660326839308,-0.02386512887829304,121.28228693577444,11.497499154549738
Ilongot,-0.4221750885771139,0.45437853424388003,121.49391,16.37807,Meso-Cordilleran,#EA7B81,-0.03458246922125626,-0.04118530876086091,121.12164477283991,10.842027676808975
Inibaloi,-2.0171905532755803,-1.7424110649282887,120.68141,16.45231,Meso-Cordilleran,#EA7B81,-0.18226654615344315,0.14211228697225556,115.53263237216908,17.778811633795357
Iraya,-0.4916702845986217,0.47804463701285904,120.67441,13.35138,North Mangyan,#ECBEBD,-0.040497646545607634,-0.043537138133485975,120.8977885514739,10.753024151168908
Isnag,-0.5837170708274932,-2.995967645535299,121.10666,18.19955,Cagayan Valley,#79F287,-0.0635849326243593,0.2569053042660276,120.02406451248201,22.12308225858256
Itbayaten,0.7418956852429713,-0.3921586847196277,121.93381,20.38116,Yami-Itbayat,#9ECCC9,0.06254040674156693,0.037188362335429666,124.79719984567478,13.80803070667115
Itneg,-0.40817855348642457,0.14054242551105345,120.7103,17.2618,Meso-Cordilleran,#EA7B81,-0.034735966801056097,-0.01394678733568443,121.11583575202471,11.872852645780767
