glottocode,PC1,PC2,language,longitude,latitude,subgroup,colour,rotPC1,rotPC2,rotLongitude,rotLatitude
cuyo1237,-4.16399415570393,2.758768333383345,Cuyonon,119.3,10.3201,Central Philippine,#565153,-0.07667147923445176,-0.08702577256473487,118.8406371043331,8.879406603060696
diba1242,-3.6050450117888113,-3.2444721047776044,"Manobo, Dibabawon",126.018,7.85664,Manobo,#F16DEF,0.06318927087677337,-0.09321956968974997,125.02626137264697,8.605473410374127
dupa1235,2.0268090107400445,0.09716113621174177,Dupaningan Agta,122.188,17.3748,Northeastern Luzon,#95A459,0.004197002865350545,0.04692914046736601,122.41720912343379,14.803833293553158
gadd1244,3.2303993793010743,0.2573589639751894,Gaddang,121.177,16.5468,Cagayan Valley,#79F287,0.004331615076438559,0.07512258781999735,122.42316262045891,16.050745468793018
gian1241,0.14924879467473354,-2.450360047176196,Guiangan (Baguio); Guiangan (Sirib),125.359,6.99967,Bilic,#BA7862,0.05683698794888361,-0.0043429828713935125,124.74531882510091,12.536220041371985
guin1256,6.975649247335621,2.24187338712899,"Bontok, Guina-ang",120.96,17.04,Meso-Cordilleran,#EA7B81,-0.029431089467761004,0.16756878852509727,120.9299387929989,20.139365486490085
hanu1241,-1.8893563600403156,1.1703462043432025,Hanunoo; Hanunóo,121.221,12.4159,South Mangyan,#85DEF2,-0.03291610392111218,-0.03974511518187431,120.77580698717826,10.970489208414058
hili1240,-5.847103083528912,4.658424094664141,Hiligaynon; Ilonggo,122.974,10.4018,Central Philippine,#565153,-0.12570870527797953,-0.11971236595976348,116.6718667007394,7.433775965501503
ibal1244,6.122190080403518,1.6375766280468018,Ibaloi; Inibaloi,120.695,16.4263,Meso-Cordilleran,#EA7B81,-0.018239393556940743,0.146019773291347,121.42491415795658,19.18631674706785
iban1267,3.209510902462116,1.2802714405181912,Ibanag,121.891,17.4201,Cagayan Valley,#79F287,-0.019263779643035175,0.07788823749983123,121.37960861348303,16.173061913997483
ilia1236,-1.5544457805276832,-6.34358911681078,"Manobo, Ilianen (Kibudtungan Dialect)",124.766,7.34448,Manobo,#F16DEF,0.14098279149143994,-0.055886328554165345,128.46683700697596,10.256611433010487
ilok1237,3.965019508015617,1.6040519264980542,Ilokano,120.993,15.9361,Northern Luzon,#7E6E40,-0.024313857909193878,0.09629399169094925,121.1562586982624,16.987093582715538
ilon1239,3.266419163499828,-0.2860754888627688,"Ilongot, Kakiduge:n; Kakiduge:n Ilongot",121.547,16.3785,Meso-Cordilleran,#EA7B81,0.0169460395177799,0.07422657332372351,122.98106102936292,16.011117417259584
iray1237,-1.1332274600576437,-1.0310727459687064,Iraya,120.65,13.381,North Mangyan,#ECBEBD,0.020120606587229556,-0.029338603985833853,123.12146267235826,11.430738192861208
irig1242,-3.285631356677349,2.5185484369933366,Bikol (Rinconada),123.331,13.3896,Central Philippine,#565153,-0.06835851226009897,-0.06758392577106115,119.2082948654802,9.739261560596324
isin1239,3.070721708630091,-0.26660215298189155,Isinay (Dupax),121.12,16.3299,Meso-Cordilleran,#EA7B81,0.01587708278729552,0.0697869233103178,122.93378425808432,15.814764924913424
isna1241,3.5844353293538376,0.13834690643864572,"Isneg, Dibagat-Kabugao-Isneg",121.16,18.2139,Cagayan Valley,#79F287,0.008192642778529007,0.08288847348665132,122.59392437195595,16.3942074537059
itaw1240,3.900389362302094,1.4812381838864837,Itawis; Malaweg,121.58,17.7329,Cagayan Valley,#79F287,-0.02169398571591931,0.09441762516843169,121.27212783957411,16.904107481978155
ivat1242,2.1473714039082608,-1.4184176555862016,"Imorod; Iraralay; Isamorong; Itbayat; Itbayaten; Ivasay; Ivatan, Basco Dialect",121.85,20.77,Yami-Itbayat,#9ECCC9,0.03944105075948571,0.04489276172423239,123.9759483536625,14.713770329047474
kaga1256,-3.6193790954657468,-0.3623064072858982,Kagayanen,119.872,10.4656,Manobo,#F16DEF,-0.0031520012643848983,-0.08440296943352525,122.09218456681816,8.995405371024674
kala1388,-3.244628480938131,-1.2044845488540954,Kalagan,125.328,6.8126,Central Philippine,#565153,0.017409081348325698,-0.07845551116595764,123.00153998991469,9.258443730002398
kama1363,-3.6305134886875248,1.2389183224993945,Kamayo,126.314,8.10796,Central Philippine,#565153,-0.040018822541625344,-0.07957772962679263,120.4616749048384,9.208811351081433
kank1243,5.938319711465933,2.4454222370542062,Kankanaey,120.689,16.8548,Meso-Cordilleran,#EA7B81,-0.037405014135221,0.14435400481172503,120.57727586292364,19.1126447702999
kaya1320,5.358064893617578,1.0574986320728088,"Kallahan, Kayapa Proper",120.9,16.321,Meso-Cordilleran,#EA7B81,-0.00732128540966864,0.12660248097574725,121.90778955127554,18.32754776093842
kele1259,7.128215595028895,2.7492262130693232,"Ifugao, Bayninan; Kallahan, Keleyqiq",121.035,16.7099,Meso-Cordilleran,#EA7B81,-0.04061709925967856,0.17268817283401922,120.43521490813873,20.36578060148775
kina1250,-5.225121336151911,3.288348599395641,Kinaray-a,122.297,10.8131,Central Philippine,#565153,-0.09222032199968426,-0.10975331775382474,118.15295811593691,7.874234995093239
koro1310,-1.2439597862855503,-6.13375883370366,"Bilaan, Koronadal; Koronadal Blaan",125.007,6.20529,Tboli-Blaan,#5C7193,0.13714156168344963,-0.048078628220726706,128.296950857348,10.601922756050248
limo1248,5.501663092403085,1.4480081217404457,"Kalinga, Limos",121.381,17.6081,Meso-Cordilleran,#EA7B81,-0.015848115995274022,0.13114478663353016,121.53067323980018,18.528440406577293
lowe1412,5.406583378796173,0.8912068321914737,Kalinga (Minangali),121.311,17.3441,Meso-Cordilleran,#EA7B81,-0.0033422599949322444,0.12719079344574027,122.08376999003379,18.35356706863444
lubu1243,6.071704736430396,1.3936618287870715,"Kalinga, Guinaang, Lubuagan Dialect",121.0365,17.3879,Meso-Cordilleran,#EA7B81,-0.012789058732272362,0.14408446235984515,121.66596622821285,19.100723710743427
maga1263,0.6351950931455628,0.5623753723215694,Ayta Mag-anchi; Ayta Mag-antsi,120.459,15.1954,Sambalic,#F1C878,-0.010920060078767188,0.016395455155424864,121.74862647005607,13.45341936601164
magi1241,0.837951221212959,-0.3703757576072237,Ayta Mag-indi,120.182,14.9617,Sambalic,#F1C878,0.011178578728871808,0.018099257919346853,122.72598342257153,13.52877348585266
magu1243,-1.3932270118066699,-3.021294709940034,Maguindanaon,124.509,6.9453,Danaw,#C573F1,0.06507474932314525,-0.04163493690350728,125.10965046662785,10.886908024308987
mama1275,-4.248887466840541,0.582518158317579,Mamanwa,125.548,9.44744,Central Philippine,#565153,-0.026882616976900194,-0.09588464415847137,121.0426501382052,8.48760510709764
mans1262,-3.46108816034113,-0.10166838046933759,Mansaka,126.181,6.79221,Central Philippine,#565153,-0.00864489287489793,-0.07993483671035316,121.84925033672012,9.193017568760787
mara1404,-0.9240147047723818,-2.6741225445652312,Maranao,124.175,7.79414,Danaw,#C573F1,0.05857807638622994,-0.029740359350775153,124.82232197918643,11.41296975008273
masb1238,-4.9832710121017385,4.691613932859766,Masbatenyo,123.63579,12.21453,Central Philippine,#565153,-0.123730840879636,-0.09973711288980068,116.759341750116,8.317221893376278
mati1250,-1.8913620884335138,-6.115416955983284,"Manobo, Tigwa, Iglogsad Dialect",125.16,7.72124,Manobo,#F16DEF,0.13466518295251528,-0.06291201643468775,128.187428004343,9.945886190790654
nort2877,6.202928500300235,1.720398169519428,"Kankanay, Northern",120.786,17.1057,Meso-Cordilleran,#EA7B81,-0.019888243970556194,0.1481397515686198,121.35199041684145,19.280077069887284
pamp1243,0.767890819075446,0.7355882494402979,Kapampangan,120.502,14.9603,Central Luzon,#477C65,-0.014483216338488437,0.01999740855861918,121.59103868495983,13.612723033169267
pamp1244,3.0894938240508467,0.028127197549629026,"Atta, Pamplona",121.3,18.4738,Cagayan Valley,#79F287,0.009157268672482965,0.07115402002736325,122.63658690118406,15.875227539502319
pang1290,3.6046406513268905,0.7801044114789706,Pangasinan,120.365,15.9377,Meso-Cordilleran,#EA7B81,-0.006504989917694916,0.0853898020016223,121.94389186876813,16.50483376132205
rata1245,-3.2318817590238185,1.3110798548704665,Ratagnon,121.187,12.2785,Central Philippine,#565153,-0.04041366259110824,-0.0701793750698721,120.44421230585877,9.62447257113977
remo1247,0.16235401318319273,-1.1806676194111025,Sinauna,121.453,14.6254,Central Luzon,#477C65,0.027673019092165994,-1.22720339472987e-5,123.4554833753625,12.727754478545059
romb1245,-4.911340346105405,4.038837567951741,Romblon,122.56,12.4047,Central Philippine,#565153,-0.10848736565165938,-0.10015409017477739,117.43351524216882,8.298780230427692
sang1337,0.2292444889300252,-2.7945371957606344,"Sangil, Saragani Islands",125.378,5.40229,Sangiric,#A852A0,0.06500763535116388,-0.003595133764511228,125.10668221561032,12.569295179185055
