variant,n,n_features,ss_gower,correlation,p_value,n_perm
baseline,94,4648,0.7710416607559236,0.6144791696220379,0.001,999
asc,94,4648,0.7710416607559236,0.6144791696220379,0.001,999
ascwords,94,4648,0.7710416607559236,0.6144791696220379,0.001,999
nocombining_ascwords,94,4121,0.7394914047268258,0.6302542976365871,0.001,999
