"model","predictor","n","n_zeros","n_evec","slope","slope_se","statistic","p.value","r.squared","cor_with_distance","rmse","rmse_loocv"
"A_geography","geodist_H1_span (per 100 km)",28,0,0,0.0218330631325521,0.00575101435791811,3.79638473732758,0.000793297900189174,0.356635294821733,0.597189496576868,0.0765410142725009,0.0836846180602372
"B_ancestry_given_geography","phylo eigenvectors, migration distance scrubbed",28,0,1,NA,NA,4.34051960822555,0.0475964774318989,0.0951768119772377,-0.0745649561169472,0.09077107061608,0.0974482363632916
